Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Rated Blitz game,https://lichess.org/wQOQ9tSh,2024.08.01,-,kirillzolotarjov,sucin73x,0-1,2024.08.01,08:52:43,1631,1634,,,C55,Italian Game: Two Knights Defense,180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... Nf6 4. O-O 4... Bc5 5. Re1 5... O-O 6. c3 6... d6 7. d4 7... exd4 8.
cxd4 8... Bb6 9. Nc3 9... Bg4 10. h3 10... Bxf3 11. gxf3 11... Nxd4 12. Be3 12... Ne6 13. Bxb6 13... axb6 14. f4 14... Nxf4 15. Qf3 15... N6h5 16. Rad1 16... Qg5 17. Kf1 17... Rae8 18. Nd5 18... Nxd5 19. exd5 19... Rxe1 20. Rxe1 20... Nf6 21. Re7 21... Rc8 22.
Bb3 22... Nxd5 23. Bxd5 23... Qxe7 24. Bxb7 24... Re8 25. Bd5 25... Qf6 26. Qg3 26... Qxb2 27.
Kg2 27... Qf6 28. Kh2 28... Qe5",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:02:57 3. 0:03:01 3... 0:02:51 4. 0:03:01 4... 0:02:50 5. 0:03:02 5... 0:02:47 6. 0:03:03 6... 0:02:45 7. 0:03:04 7... 0:02:46 8. 0:03:06 8... 0:02:46 9. 0:03:06 9... 0:02:46 10. 0:03:07 10... 0:02:46 11. 0:03:09 11... 0:02:46 12. 0:03:03 12... 0:02:35 13. 0:03:02 13... 0:02:37 14. 0:03:00 14... 0:02:37 15. 0:03:01 15... 0:02:33 16. 0:03:03 16... 0:02:33 17. 0:03:03 17... 0:02:23 18. 0:03:01 18... 0:02:21 19. 0:03:02 19... 0:02:18 20. 0:03:04 20... 0:02:10 21. 0:02:59 21... 0:02:01 22. 0:02:49 22... 0:01:44 23. 0:02:47 23... 0:01:44 24. 0:02:47 24... 0:01:44 25. 0:02:48 25... 0:01:37 26. 0:02:47 26... 0:01:36 27. 0:02:48 27... 0:01:25 28. 0:02:41 28... 0:01:24
Rated Blitz game,https://lichess.org/CcxDBAe6,2024.08.01,-,Moriato32,maarceeliinhoo,1-0,2024.08.01,08:52:43,1264,1296,,,A00,Polish Opening,180+2,Normal,"1. b4 1... e5 2. Bb2 2... Nc6 3. b5 3... Nd4 4. e3 4... Nxb5 5.
Bxb5 5... c6 6. Bf1 6... d5 7. g3 7... Bd6 8. Bg2 8... Nf6 9. Ne2 9... Bg4 10. h3 10... Bh5 11. g4 11... Bg6 12.
O-O 12... O-O 13. d4 13... e4 14. Nd2 14... c5 15. c3 15... b6 16.
Rb1 16... Rb8 17. Ba3 17... cxd4 18. Bxd6 18... Qxd6 19. cxd4 19... a5 20.
Nf4 20... Nd7 21. Qb3 21... f5 22. Nxg6 22... Qxg6 23. Qxd5 23... Kh8 24. gxf5 24... Qxf5 25. Qxf5 25... Rxf5 26. Bxe4 26... Rg5 27. Bg2 27... Nf6 28. Nf3 28... Rg6 29.
Rfc1 29... Ne4 30. Nh4 30... Rg5 31. Nf3 31... Rg6 32. Rc7 32... h5 33.
Rbc1 33... Nd6 34. R7c6 34... Rd8 35. Ne5 35... Rf6 36. Rxb6 36... Kh7 37. Rcc6 37... Re6 38.
Nf7 38... Rd7 39. Nxd6 39... Rdxd6 40. Rxd6 40... Re8",1. 0:03:00 1... 0:03:00 2. 0:03:02 2... 0:02:57 3. 0:03:03 3... 0:02:58 4. 0:03:02 4... 0:02:59 5. 0:03:02 5... 0:02:59 6. 0:03:00 6... 0:03:00 7. 0:02:55 7... 0:03:01 8. 0:02:56 8... 0:02:45 9. 0:02:53 9... 0:02:29 10. 0:02:52 10... 0:02:29 11. 0:02:51 11... 0:02:30 12. 0:02:50 12... 0:02:27 13. 0:02:50 13... 0:02:27 14. 0:02:46 14... 0:02:23 15. 0:02:44 15... 0:02:18 16. 0:02:41 16... 0:02:18 17. 0:02:39 17... 0:02:17 18. 0:02:39 18... 0:02:18 19. 0:02:40 19... 0:02:15 20. 0:02:32 20... 0:02:11 21. 0:02:22 21... 0:02:04 22. 0:01:52 22... 0:02:04 23. 0:01:51 23... 0:02:02 24. 0:01:49 24... 0:01:50 25. 0:01:50 25... 0:01:51 26. 0:01:42 26... 0:01:48 27. 0:01:43 27... 0:01:48 28. 0:01:42 28... 0:01:48 29. 0:01:37 29... 0:01:49 30. 0:01:23 30... 0:01:46 31. 0:01:23 31... 0:01:38 32. 0:01:23 32... 0:01:27 33. 0:01:22 33... 0:01:17 34. 0:01:21 34... 0:01:11 35. 0:01:21 35... 0:01:08 36. 0:01:13 36... 0:01:01 37. 0:01:03 37... 0:00:55 38. 0:00:56 38... 0:00:54 39. 0:00:51 39... 0:00:51 40. 0:00:52 40... 0:00:50
Rated Blitz game,https://lichess.org/ac4vkxcf,2024.08.01,-,sizgu,SLOT_ST,0-1,2024.08.01,08:52:43,1461,1437,,,A20,English Opening: King's English Variation,180+2,Normal,"1. c4 1... e5 2. g3 2... d5 3. cxd5 3... Qxd5 4. Nf3 4... Nc6 5. Nc3 5... Qd8 6. Bg2 6...
Nf6 7. e3 7... Bb4 8.
a3 8... Ba5 9. b4 9...
Bb6 10. Ng1 10... O-O 11. Nge2 11... Bg4 12. O-O 12... Rb8 13. Bb2 13... Nd7 14. d3 14... f6 15. Qd2 15... Re8 16.
d4 16... exd4 17. Nxd4 17... Nxd4 18. exd4 18... Nf8 19. Rfe1 19... Rxe1 20. Rxe1 20... Bxd4 21. Nb5 21... Bxb2 22. Qxb2 22... a6",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:00 3. 0:03:01 3... 0:03:01 4. 0:03:00 4... 0:02:59 5. 0:02:59 5... 0:02:59 6. 0:03:00 6... 0:02:58 7. 0:02:57 7... 0:02:56 8. 0:02:56 8... 0:02:57 9. 0:02:56 9... 0:02:58 10. 0:02:53 10... 0:02:56 11. 0:02:50 11... 0:02:50 12. 0:02:52 12... 0:02:44 13. 0:02:48 13... 0:02:34 14. 0:02:45 14... 0:02:34 15. 0:02:43 15... 0:02:29 16. 0:02:32 16... 0:02:27 17. 0:02:18 17... 0:02:21 18. 0:02:16 18... 0:02:16 19. 0:02:16 19... 0:02:11 20. 0:02:18 20... 0:02:10 21. 0:02:11 21... 0:02:04 22. 0:02:10 22... 0:02:02
Rated Blitz game,https://lichess.org/skKzCe90,2024.08.01,-,Muszynski,coscienza_olistica,0-1,2024.08.01,08:52:44,1237,1286,,,B12,"Caro-Kann Defense: Advance Variation, Short Variation",180+2,Normal,"1. e4 1... c6 2. d4 2... d5 3. e5 3... Bf5 4. Nf3 4... e6 5. h3 5... c5 6. c3 6... Nc6 7. Be3 7... Qb6 8. b3 8... cxd4 9. Nxd4 9... Bc5 10. b4 10... Bxd4 11.
Bxd4 11... Nxd4 12. Qxd4 12... Qxd4 13. cxd4 13... Ne7 14. Bb5 14... Kf8 15. g4 15... Be4 16.
Rg1 16... a6 17. Be2 17... Nc6 18. a3 18... Nxd4 19. Nd2 19... Nc2 20.
Kd1 20... Nxa1 21. Nxe4 21... dxe4 22. Kd2 22... Nb3 23. Ke3 23... g6 24. Kxe4 24... Rd8 25.
Rg3 25... Nd4 26. Bc4 26... Kg7 27. f4 27... Nc6 28. Rd3 28... Rxd3 29.
Kxd3 29... Rd8 30. Kc3 30... Rd4 31. b5 31...
axb5 32. Bxb5 32... Rxf4 33. Kd3 33... Rf3 34.
Ke4 34... Rxh3 35. a4 35... Rh4 36. Kf4 36... h5 37. Kg3 37... Rxg4 38. Kh3 38... Nxe5 39. a5 39... Rb4 40. Bf1 40... Ra4 41. Kg3 41... Rxa5 42. Kf4 42... Nc6 43.
Be2 43... Rf5 44. Kg3 44... Rg5 45. Kh4 45... Rg4 46. Bxg4 46... hxg4 47. Kxg4 47... b5 48. Kf4 48... b4 49. Ke4 49...
b3 50. Kd3 50... g5 51. Kc3 51... g4 52. Kxb3 52... g3 53. Kc3 53...
g2 54. Kd2 54... g1=Q 55. Ke2",1. 0:03:00 1... 0:03:00 2. 0:02:51 2... 0:03:02 3. 0:02:52 3... 0:03:03 4. 0:02:53 4... 0:03:04 5. 0:02:35 5... 0:03:05 6. 0:02:35 6... 0:03:04 7. 0:02:30 7... 0:03:02 8. 0:02:25 8... 0:02:53 9. 0:02:23 9... 0:02:45 10. 0:01:55 10... 0:02:40 11. 0:01:53 11... 0:02:39 12. 0:01:54 12... 0:02:36 13. 0:01:54 13... 0:02:36 14. 0:01:53 14... 0:02:26 15. 0:01:54 15... 0:02:23 16. 0:01:49 16... 0:02:24 17. 0:01:49 17... 0:02:24 18. 0:01:49 18... 0:02:24 19. 0:01:47 19... 0:02:23 20. 0:01:46 20... 0:02:24 21. 0:01:45 21... 0:02:21 22. 0:01:45 22... 0:02:21 23. 0:01:45 23... 0:02:14 24. 0:01:46 24... 0:02:12 25. 0:01:44 25... 0:02:10 26. 0:01:42 26... 0:02:07 27. 0:01:40 27... 0:02:05 28. 0:01:37 28... 0:02:03 29. 0:01:33 29... 0:02:04 30. 0:01:34 30... 0:01:53 31. 0:01:33 31... 0:01:52 32. 0:01:34 32... 0:01:52 33. 0:01:17 33... 0:01:51 34. 0:01:18 34... 0:01:52 35. 0:01:18 35... 0:01:49 36. 0:01:19 36... 0:01:45 37. 0:01:19 37... 0:01:45 38. 0:01:16 38... 0:01:46 39. 0:01:15 39... 0:01:36 40. 0:01:13 40... 0:01:33 41. 0:01:05 41... 0:01:33 42. 0:01:06 42... 0:01:32 43. 0:01:02 43... 0:01:30 44. 0:01:01 44... 0:01:27 45. 0:01:01 45... 0:01:26 46. 0:01:02 46... 0:01:28 47. 0:01:03 47... 0:01:27 48. 0:01:03 48... 0:01:28 49. 0:01:05 49... 0:01:29 50. 0:01:06 50... 0:01:26 51. 0:01:07 51... 0:01:28 52. 0:01:07 52... 0:01:30 53. 0:01:09 53... 0:01:31 54. 0:01:10 54... 0:01:33 55. 0:01:11
Rated Blitz game,https://lichess.org/yt4vNlKV,2024.08.01,-,Bonnita,GOzdem16,0-1,2024.08.01,08:52:46,1353,1257,,,B00,Nimzowitsch Defense: Declined Variation,180+2,Normal,"1. e4 1... Nc6 2. Nf3 2... d5 3. exd5 3... Bd7 4. Nc3 4... Nb4 5. Bc4 5... Bf5 6. Bb3 6...
Nf6 7. d3 7... g6 8.
Bg5 8... Bg7 9. O-O 9... O-O 10. Re1 10... c6 11. dxc6 11... Nxc6 12. a3 12... Nd4 13. Nxd4 13... Qxd4 14. Rxe7 14... Ng4 15. Re2 15... Qd6 16. g3 16... Bd4 17.
Bf4 17... Qb6 18. Qf1 18... Rfe8 19. Nd5 19... Qc5 20. Rxe8 20... Rxe8 21. Nf6 21... Bxf6 22. c3 22... Bxd3 23. Qg2 23... Be4 24. Qf1 24... Bc6 25. h3 25... Ne5 26.
Re1 26... Nf3",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:02:58 3. 0:02:54 3... 0:02:57 4. 0:02:56 4... 0:02:53 5. 0:02:54 5... 0:02:53 6. 0:02:45 6... 0:02:49 7. 0:02:41 7... 0:02:45 8. 0:02:39 8... 0:02:46 9. 0:02:36 9... 0:02:45 10. 0:02:35 10... 0:02:32 11. 0:02:35 11... 0:02:31 12. 0:02:35 12... 0:02:30 13. 0:02:31 13... 0:02:30 14. 0:02:23 14... 0:02:26 15. 0:02:16 15... 0:02:22 16. 0:02:11 16... 0:02:08 17. 0:02:07 17... 0:02:03 18. 0:01:59 18... 0:01:50 19. 0:01:39 19... 0:01:32 20. 0:01:33 20... 0:01:27 21. 0:01:19 21... 0:01:17 22. 0:01:15 22... 0:00:58 23. 0:01:07 23... 0:00:31 24. 0:00:51 24... 0:00:23 25. 0:00:37 25... 0:00:17 26. 0:00:25 26... 0:00:13
Rated Blitz game,https://lichess.org/suTDkxwi,2024.08.01,-,SortedAmoeba914,Nashid0023,1-0,2024.08.01,08:52:46,1880,1804,,,C56,"Italian Game: Two Knights Defense, Max Lange Attack, Krause Variation",180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. d4 3... exd4 4. Bc4 4... Nf6 5. O-O 5... Bc5 6. e5 6...
Ng4 7. c3 7... Nxf2 8.
Rxf2 8... dxc3 9. Nxc3 9... Bxf2 10. Kxf2 10... O-O 11. Bg5 11... Qe8 12.
Bf4 12... b6 13. Qc2 13... Bb7 14. Ng5 14... g6 15. Qe2 15... Nd4 16.
Qg4 16... h5 17. Qg3 17... c5 18. Nxf7 18... Kg7 19. Bh6 19... Kh7 20.
Bxf8 20... Qxf7 21. Bxf7 21... Rxf8 22. Qxg6",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:02:59 3. 0:03:03 3... 0:02:59 4. 0:03:04 4... 0:03:00 5. 0:03:04 5... 0:03:01 6. 0:03:05 6... 0:03:00 7. 0:03:02 7... 0:02:59 8. 0:03:00 8... 0:03:00 9. 0:03:01 9... 0:03:01 10. 0:03:02 10... 0:03:02 11. 0:02:59 11... 0:03:01 12. 0:02:58 12... 0:02:59 13. 0:02:44 13... 0:02:59 14. 0:02:38 14... 0:02:56 15. 0:02:22 15... 0:02:54 16. 0:02:03 16... 0:02:27 17. 0:01:46 17... 0:02:16 18. 0:01:44 18... 0:02:09 19. 0:01:41 19... 0:02:06 20. 0:01:39 20... 0:02:05 21. 0:01:37 21... 0:02:05 22. 0:01:37
Rated Blitz game,https://lichess.org/wVw2ybUm,2024.08.01,-,mm2758,Asclepiuspath,1-0,2024.08.01,08:52:46,1783,1786,,,D02,"Queen's Pawn Game: London System, with e6",180+2,Time forfeit,"1. d4 1... e6 2. Bf4 2... d5 3. Nf3 3... Nf6 4. Nbd2 4... Bd6 5.
Bg3 5... O-O 6. e3 6... Na6 7. Bxa6 7... bxa6 8. c3 8... a5 9. Ne5 9... Ba6 10. Qa4 10...
c5 11. Nc6 11... Qc7 12. Nxa5 12... cxd4 13. exd4 13... Bxg3 14. hxg3 14... Bd3 15. Nab3 15... h6 16. Nc5 16... Bg6 17.
O-O 17... h5 18. Nf3 18... Ne4 19. Nxe4 19... Bxe4 20. Nd2 20... Bd3 21.
Rfe1 21... a5 22. Qd1 22... Rab8 23. Nb3 23... Bg6 24. g4",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:01 3. 0:02:59 3... 0:03:01 4. 0:02:58 4... 0:02:57 5. 0:02:59 5... 0:02:58 6. 0:02:56 6... 0:02:39 7. 0:02:46 7... 0:02:39 8. 0:02:47 8... 0:02:40 9. 0:02:46 9... 0:02:39 10. 0:02:37 10... 0:02:10 11. 0:02:23 11... 0:02:02 12. 0:02:17 12... 0:01:54 13. 0:02:17 13... 0:01:52 14. 0:02:15 14... 0:01:51 15. 0:02:05 15... 0:01:43 16. 0:01:56 16... 0:01:20 17. 0:01:52 17... 0:01:15 18. 0:01:51 18... 0:01:13 19. 0:01:44 19... 0:01:08 20. 0:01:33 20... 0:00:58 21. 0:01:33 21... 0:00:54 22. 0:01:32 22... 0:00:48 23. 0:01:29 23... 0:00:42 24. 0:01:17
Rated Blitz game,https://lichess.org/dqbrVwqa,2024.08.01,-,MrD0m1n0,Aidyn2005,0-1,2024.08.01,08:52:46,1495,1496,,,C45,Scotch Game: Classical Variation,180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. d4 3... exd4 4. Nxd4 4... Bc5 5.
Be3 5... Nxd4 6. Bxd4 6... Qe7 7. Bxg7 7... Qxe4 8. Be2 8... Qxg2 9.
Bxh8 9... Qxh1 10. Bf1 10... Qe4 11. Be2 11... Qf4 12. f3 12... Qxh2 13. Bd4 13... Qg3 14.
Kf1 14... Bxd4 15. Qxd4 15... d6 16. Nc3 16...
Bh3",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:02:58 3. 0:03:02 3... 0:02:59 4. 0:03:04 4... 0:03:00 5. 0:03:04 5... 0:02:57 6. 0:03:05 6... 0:02:52 7. 0:03:01 7... 0:02:51 8. 0:03:02 8... 0:02:50 9. 0:02:43 9... 0:02:49 10. 0:02:45 10... 0:02:47 11. 0:02:44 11... 0:02:32 12. 0:02:28 12... 0:02:31 13. 0:02:23 13... 0:02:29 14. 0:02:18 14... 0:02:25 15. 0:02:19 15... 0:02:08 16. 0:02:16 16... 0:02:02
Rated Blitz game,https://lichess.org/f6nfm8L1,2024.08.01,-,PulIi,Udayabaskar,1-0,2024.08.01,08:52:46,1607,1631,,,B00,St. George Defense,180+2,Normal,"1. e4 1... a6 2. Nf3 2... b5 3. c4 3... Bb7 4. d3 4... bxc4 5. dxc4 5... Bxe4 6. Nc3 6...
Bxf3 7. Qxf3 7... Nc6 8. Bd3 8... e6 9. O-O 9... Bc5 10. Bf4 10... Nf6 11. Ne4 11... Nxe4 12.
Bxe4 12... Nd4 13. Qg4 13... f5 14. Qxg7 14... fxe4",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:01 3. 0:03:00 3... 0:03:01 4. 0:02:58 4... 0:03:01 5. 0:02:58 5... 0:03:02 6. 0:02:59 6... 0:03:01 7. 0:03:00 7... 0:03:03 8. 0:02:56 8... 0:03:03 9. 0:02:56 9... 0:03:03 10. 0:02:56 10... 0:02:59 11. 0:02:50 11... 0:02:58 12. 0:02:52 12... 0:02:52 13. 0:02:40 13... 0:02:14 14. 0:02:37 14... 0:02:14
Rated Blitz game,https://lichess.org/sRZzzTTY,2024.08.01,-,Vishwajith5129,DarenB,1-0,2024.08.01,08:52:46,1579,1543,,,D00,Queen's Pawn Game,180+2,Normal,"1. d4 1... d5 2. g3 2... Nc6 3. Bg2 3... Bg4 4. Nf3 4... e6 5. e3 5... Bb4 6. Nc3 6...
Qf6 7. O-O 7... h5 8.
a3 8... Bd6 9. Re1 9... h4 10. h3 10... hxg3 11. hxg4 11... gxf2 12. Kxf2 12... e5 13. dxe5 13... Nxe5 14. Nxd5 14... Nxg4 15. Ke2 15... Qe6 16. Nxc7",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:02 3. 0:03:00 3... 0:03:02 4. 0:03:00 4... 0:03:03 5. 0:03:01 5... 0:03:03 6. 0:02:58 6... 0:03:04 7. 0:02:49 7... 0:03:04 8. 0:02:45 8... 0:03:04 9. 0:02:34 9... 0:03:04 10. 0:02:25 10... 0:03:00 11. 0:02:18 11... 0:03:00 12. 0:02:17 12... 0:02:55 13. 0:02:15 13... 0:02:57 14. 0:02:08 14... 0:02:57 15. 0:02:00 15... 0:02:56 16. 0:02:01
