Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Rated Blitz game,https://lichess.org/4DE9JCQr,2024.08.01,-,grey_04,xkerem03,0-1,2024.08.01,12:49:27,1742,1680,,,A40,Queen's Pawn Game: Modern Defense,180+2,Normal,"1. d4 1... g6 2. Nf3 2... Bg7 3. Bg5 3... d6 4. e3 4... h6 5. Bh4 5... g5 6. Bg3 6...
Bg4 7. Be2 7... Nc6 8.
c3 8... Bxf3 9. Bxf3 9... Qd7 10. Nd2 10... O-O-O 11. Qb3 11... e6 12.
O-O-O 12... Nge7 13. h3 13... Nf5 14. Bh2 14... d5 15. Qc2 15... Na5 16. Kb1 16... Qb5 17.
Rc1 17... Bf8 18. c4 18... dxc4 19. Nxc4 19... Nd6 20. Nxa5 20... Qxa5 21. e4 21... Nb5 22. d5 22... Nd4 23. Qxc7 23... Qxc7 24. Rxc7 24... Kb8 25. Rd7 25... Kc8 26.
Rc7 26... Kb8 27. Rxf7 27... Bd6 28. Bxd6 28... Rxd6 29. Bg4 29... exd5 30. exd5 30... Rxd5 31. Rc1 31... Nc6 32. Bf3 32... Rd6 33. b4 33...
Rc8 34. Bg4 34... Rcd8 35. a3 35... Ne5 36. Rfc7 36... Nxg4 37. h4 37... Nxf2",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:02 3. 0:03:02 3... 0:03:03 4. 0:03:00 4... 0:03:03 5. 0:03:00 5... 0:03:05 6. 0:03:01 6... 0:03:00 7. 0:02:56 7... 0:02:56 8. 0:02:56 8... 0:02:57 9. 0:02:56 9... 0:02:59 10. 0:02:56 10... 0:02:59 11. 0:02:50 11... 0:02:46 12. 0:02:41 12... 0:02:38 13. 0:02:38 13... 0:02:38 14. 0:02:36 14... 0:02:40 15. 0:02:23 15... 0:02:36 16. 0:02:20 16... 0:02:29 17. 0:02:12 17... 0:02:21 18. 0:02:11 18... 0:02:21 19. 0:02:06 19... 0:02:16 20. 0:01:57 20... 0:02:14 21. 0:01:36 21... 0:02:10 22. 0:01:29 22... 0:01:58 23. 0:01:26 23... 0:01:57 24. 0:01:22 24... 0:01:58 25. 0:01:22 25... 0:01:59 26. 0:01:23 26... 0:02:00 27. 0:01:22 27... 0:01:57 28. 0:01:16 28... 0:01:59 29. 0:01:08 29... 0:01:41 30. 0:01:04 30... 0:01:42 31. 0:00:51 31... 0:01:39 32. 0:00:44 32... 0:01:40 33. 0:00:36 33... 0:01:15 34. 0:00:29 34... 0:01:13 35. 0:00:24 35... 0:01:14 36. 0:00:09 36... 0:01:10 37. 0:00:10 37... 0:01:06
Rated Blitz game,https://lichess.org/g3tz35Xk,2024.08.01,-,swedness92i,af92,1/2-1/2,2024.08.01,12:49:34,1277,1315,,,B44,Sicilian Defense: Taimanov Variation,180+2,Normal,"1. e4 1... e6 2. d4 2... c5 3. Nf3 3... cxd4 4. Nxd4 4... Nc6 5.
Bc4 5... Nge7 6. Bg5 6... f6 7. Bh4 7... Nxd4 8. Qxd4 8... Nc6 9.
Qe3 9... Ne5 10. Bb3 10... Be7 11. g3 11... Ng4 12. Qf4 12... Ne5 13.
Bxf6 13... Bxf6 14. Nd2 14... O-O 15. O-O-O 15... Nc6 16. a3 16... Bxb2 17. Kxb2 17... Rxf4 18. gxf4 18... Qb6 19. f3 19... Nd4 20. Rhg1 20... Ne2 21. Rg4 21... d5 22. exd5 22... Kh8 23.
dxe6 23... Bxe6 24. Re1 24... Bxg4 25. fxg4 25... Nxf4 26. Nc4 26... Qf6 27. Ka2 27... h6 28.
Ne5 28... Ng2 29. Re2 29... Nf4 30. Re4 30... Rd8 31. h4 31... Rb8 32.
g5 32... hxg5 33. hxg5 33... Qxg5 34. Nf7 34... Kh7 35. Nxg5 35... Kg6 36. Nf3 36... Kf5 37. Ra4 37... Kg4 38. Nd2 38... Kg3 39. Rxa7 39... Ne2 40. Ra4 40... Nc3 41.
Kb2 41... Nxa4 42. Bxa4 42... b5 43. Bb3 43...
g5 44. Ne4 44... Kf4 45. Nf2 45... g4 46. Be6 46... g3 47. Nh3 47... Ke3 48. Kc3 48... g2 49. Kb2 49... Ke2 50.
Kc1 50... Kf1 51. Kd2 51... g1=Q 52. Nxg1 52... Kxg1 53. c4 53... bxc4 54.
Bxc4 54... Kf2 55. Kc3 55... Ke3 56. a4 56... Ke4 57. Bb5 57... Kd5 58.
Kb4 58... Kd6 59. Ka5 59... Kc7 60. Kb4 60... Kb6 61. a5 61... Kc7 62.
Kc5 62... Kb7 63. Kb4 63... Ka7 64. Kc5 64... Rc8 65. Kb4 65... Rb8 66.
Ka4 66... Rh8 67. Kb4 67... Rh4 68. Kc5 68... Rh5 69. Kc6 69... Rh6 70.
Kc7 70... Rh5 71. Kc6 71... Rh6 72. Kc5 72... Rh5 73. Kb4 73... Rh4 74.
Bc4 74... Rd4 75. Kc5 75... Rd1 76. a6 76... Ra1 77. Kc6 77... Rc1 78.
Kc5 78... Ra1 79. Bb5 79... Ra5 80. Kc6 80... Ra1 81. Kc5 81... Ra5 82.
Kb4 82... Ra1 83. Kb3 83... Rb1 84. Kc4 84... Rc1 85. Kb4 85... Rb1 86.
Ka5 86... Ra1 87. Kb4 87... Rb1 88. Kc5 88... Rc1 89. Kb4 89... Rh1 90.
Ka5 90... Rh5 91. Kb4 91... Rh4 92. Kc5 92... Rh5 93. Kc6 93... Rh6 94.
Kc7 94... Rb6 95. Bd3 95... Rh6 96. Be2 96... Rh7 97. Kc6 97... Rh6 98.
Kc7 98... Re6 99. Bd3 99... Rb6 100. Kc8 100... Rxa6 101. Bxa6",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:02 3. 0:03:00 3... 0:03:04 4. 0:03:01 4... 0:03:06 5. 0:02:57 5... 0:03:05 6. 0:02:55 6... 0:03:06 7. 0:02:56 7... 0:03:06 8. 0:02:57 8... 0:03:07 9. 0:02:51 9... 0:03:05 10. 0:02:47 10... 0:03:04 11. 0:02:41 11... 0:03:03 12. 0:02:40 12... 0:03:02 13. 0:02:35 13... 0:03:02 14. 0:02:32 14... 0:03:02 15. 0:02:31 15... 0:03:01 16. 0:02:29 16... 0:03:02 17. 0:02:28 17... 0:03:04 18. 0:02:29 18... 0:03:02 19. 0:02:21 19... 0:03:01 20. 0:02:18 20... 0:03:00 21. 0:02:15 21... 0:02:36 22. 0:02:11 22... 0:02:36 23. 0:02:10 23... 0:02:35 24. 0:02:07 24... 0:02:32 25. 0:02:04 25... 0:02:32 26. 0:01:58 26... 0:02:32 27. 0:01:59 27... 0:02:30 28. 0:01:53 28... 0:02:17 29. 0:01:45 29... 0:02:12 30. 0:01:45 30... 0:02:02 31. 0:01:31 31... 0:01:55 32. 0:01:30 32... 0:01:56 33. 0:01:31 33... 0:01:56 34. 0:01:32 34... 0:01:57 35. 0:01:33 35... 0:01:59 36. 0:01:34 36... 0:01:58 37. 0:01:30 37... 0:01:57 38. 0:01:26 38... 0:01:58 39. 0:01:25 39... 0:01:57 40. 0:01:25 40... 0:01:58 41. 0:01:25 41... 0:01:59 42. 0:01:26 42... 0:02:00 43. 0:01:27 43... 0:02:00 44. 0:01:28 44... 0:02:00 45. 0:01:28 45... 0:02:01 46. 0:01:25 46... 0:02:01 47. 0:01:22 47... 0:01:59 48. 0:01:05 48... 0:01:49 49. 0:00:49 49... 0:01:47 50. 0:00:49 50... 0:01:48 51. 0:00:50 51... 0:01:48 52. 0:00:50 52... 0:01:49 53. 0:00:49 53... 0:01:46 54. 0:00:51 54... 0:01:46 55. 0:00:51 55... 0:01:46 56. 0:00:48 56... 0:01:41 57. 0:00:48 57... 0:01:41 58. 0:00:49 58... 0:01:40 59. 0:00:50 59... 0:01:41 60. 0:00:49 60... 0:01:39 61. 0:00:46 61... 0:01:40 62. 0:00:46 62... 0:01:39 63. 0:00:43 63... 0:01:41 64. 0:00:41 64... 0:01:40 65. 0:00:41 65... 0:01:41 66. 0:00:42 66... 0:01:42 67. 0:00:42 67... 0:01:43 68. 0:00:43 68... 0:01:44 69. 0:00:42 69... 0:01:43 70. 0:00:41 70... 0:01:41 71. 0:00:40 71... 0:01:41 72. 0:00:41 72... 0:01:42 73. 0:00:42 73... 0:01:43 74. 0:00:41 74... 0:01:41 75. 0:00:39 75... 0:01:40 76. 0:00:36 76... 0:01:40 77. 0:00:34 77... 0:01:35 78. 0:00:33 78... 0:01:34 79. 0:00:32 79... 0:01:34 80. 0:00:32 80... 0:01:25 81. 0:00:31 81... 0:01:13 82. 0:00:31 82... 0:01:12 83. 0:00:31 83... 0:01:13 84. 0:00:32 84... 0:01:12 85. 0:00:25 85... 0:00:58 86. 0:00:24 86... 0:00:59 87. 0:00:25 87... 0:00:59 88. 0:00:27 88... 0:01:01 89. 0:00:28 89... 0:01:00 90. 0:00:25 90... 0:01:00 91. 0:00:26 91... 0:01:01 92. 0:00:27 92... 0:01:02 93. 0:00:28 93... 0:01:02 94. 0:00:28 94... 0:01:02 95. 0:00:24 95... 0:01:00 96. 0:00:21 96... 0:00:58 97. 0:00:22 97... 0:00:59 98. 0:00:23 98... 0:01:00 99. 0:00:22 99... 0:00:58 100. 0:00:20 100... 0:00:57 101. 0:00:19
Rated Blitz game,https://lichess.org/BRkkXRe1,2024.08.01,-,tomekzkielc,msr1234,1-0,2024.08.01,12:49:34,2015,2015,,,B32,Sicilian Defense: Open,180+2,Normal,"1. e4 1... c5 2. Nf3 2... Nc6 3. d4 3... cxd4 4. Nxd4 4... d6 5. Be3 5... Bd7 6. Bd3 6...
Nf6 7. f3 7... a6 8.
c4 8... e6 9. O-O 9...
Be7 10. Nc3 10... O-O 11. Nb3 11... Ne5 12. Be2 12... Rc8 13. Nd2 13... Bc6 14. Rc1 14... d5 15. f4 15... d4 16.
fxe5 16... dxe3 17. exf6 17... exd2 18. fxe7 18... Qb6 19. Kh1 19... dxc1=Q 20. exf8=Q 20... Rxf8 21. Qxc1",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:01 3. 0:03:02 3... 0:03:02 4. 0:03:04 4... 0:03:04 5. 0:03:02 5... 0:03:05 6. 0:03:00 6... 0:03:05 7. 0:03:01 7... 0:03:05 8. 0:03:01 8... 0:03:06 9. 0:03:01 9... 0:03:07 10. 0:03:01 10... 0:03:09 11. 0:02:53 11... 0:03:08 12. 0:02:53 12... 0:03:09 13. 0:02:41 13... 0:02:43 14. 0:02:22 14... 0:02:42 15. 0:02:09 15... 0:02:30 16. 0:01:47 16... 0:02:30 17. 0:01:45 17... 0:02:19 18. 0:01:34 18... 0:01:57 19. 0:01:25 19... 0:01:57 20. 0:01:23 20... 0:01:57 21. 0:01:22
Rated Blitz game,https://lichess.org/bgtD4vlC,2024.08.01,-,ahmad_kt,Mohsennoori,0-1,2024.08.01,12:49:34,1492,1503,,,C42,Russian Game: Three Knights Game,180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nf6 3. Nc3 3... Bc5 4. d4 4... exd4 5.
Nxd4 5... d5 6. e5 6... Ng4 7. h3 7... Nxe5 8. Bf4 8... Qe7 9. Be2 9... c6 10. Qd2 10...
O-O 11. O-O-O 11... b5 12. Rde1 12... Qf6 13. g4 13... Nc4 14. Bxc4 14... dxc4 15. g5 15... Qxd4 16. Qe2 16... Bf5",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:02:58 3... 0:03:03 4. 0:02:57 4... 0:03:04 5. 0:02:58 5... 0:03:04 6. 0:02:58 6... 0:03:02 7. 0:02:57 7... 0:03:02 8. 0:02:45 8... 0:02:57 9. 0:02:42 9... 0:02:53 10. 0:02:41 10... 0:02:48 11. 0:02:38 11... 0:02:47 12. 0:02:39 12... 0:02:46 13. 0:02:27 13... 0:02:45 14. 0:02:16 14... 0:02:46 15. 0:02:16 15... 0:02:47 16. 0:02:14 16... 0:02:38
Rated Blitz game,https://lichess.org/FDRxoJMi,2024.08.01,-,RaviS7,khaldoun89,1-0,2024.08.01,12:49:34,1675,1590,,,D21,Queen's Gambit Accepted: Normal Variation,180+2,Normal,"1. d4 1... d5 2. c4 2... dxc4 3. Nf3 3... c6 4. Nc3 4... b5 5. Bg5 5... Bf5 6. e3 6...
Qc8 7. Be2 7... e6 8.
O-O 8... Be7 9. Bf4 9... Nf6 10. b3 10... cxb3 11. axb3 11... O-O 12.
Rc1 12... Qb7 13. Nh4 13... Nd5 14. Nxf5 14... exf5 15. Nxd5 15... cxd5 16. Bd3 16... g6 17. Bh6 17... Re8 18. Qf3 18... Bf8 19. Bg5 19... Bg7 20. Bb1 20... Nd7 21.
Ba2 21... b4 22. Qf4 22... Re4 23. Qg3 23... f6 24. Bf4 24... g5 25.
Bd6 25... Qa6 26. Bb1 26... f4 27. exf4 27... gxf4 28. Bxf4 28... Rxd4 29. Bh6 29... Kf7 30. Qxg7 30... Ke6 31. Rce1 31... Ne5 32. f4",1. 0:03:00 1... 0:03:00 2. 0:03:02 2... 0:03:00 3. 0:03:04 3... 0:02:56 4. 0:03:06 4... 0:02:57 5. 0:03:05 5... 0:02:56 6. 0:03:06 6... 0:02:52 7. 0:03:03 7... 0:02:47 8. 0:03:03 8... 0:02:47 9. 0:03:03 9... 0:02:46 10. 0:03:03 10... 0:02:35 11. 0:02:59 11... 0:02:37 12. 0:02:59 12... 0:02:35 13. 0:02:57 13... 0:02:32 14. 0:02:53 14... 0:02:33 15. 0:02:53 15... 0:02:34 16. 0:02:52 16... 0:02:33 17. 0:02:48 17... 0:02:30 18. 0:02:47 18... 0:02:30 19. 0:02:48 19... 0:02:29 20. 0:02:42 20... 0:02:06 21. 0:02:43 21... 0:02:05 22. 0:02:24 22... 0:01:57 23. 0:02:17 23... 0:01:58 24. 0:02:10 24... 0:01:58 25. 0:02:08 25... 0:01:53 26. 0:02:05 26... 0:01:53 27. 0:02:03 27... 0:01:44 28. 0:01:58 28... 0:01:45 29. 0:01:46 29... 0:00:35 30. 0:01:40 30... 0:00:36 31. 0:01:30 31... 0:00:33 32. 0:01:24
Rated Blitz game,https://lichess.org/MJEUxAGW,2024.08.01,-,jmmartin,mgttt,0-1,2024.08.01,12:49:34,1694,1724,,,C00,French Defense: Knight Variation,180+2,Normal,"1. e4 1... e6 2. Nf3 2... d5 3. exd5 3... exd5 4. d4 4... Nf6 5. Nc3 5... Bd6 6. Bg5 6...
c6 7. Ne5 7... O-O 8.
Bd3 8... Re8 9. O-O 9... Bxe5 10. dxe5 10... Rxe5 11. Qf3 11... Rxg5",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:02 3. 0:03:02 3... 0:03:04 4. 0:03:03 4... 0:03:05 5. 0:03:05 5... 0:03:07 6. 0:03:06 6... 0:03:07 7. 0:03:05 7... 0:03:08 8. 0:03:05 8... 0:03:05 9. 0:03:06 9... 0:03:06 10. 0:03:06 10... 0:03:08 11. 0:03:06 11... 0:03:01
Rated Blitz game,https://lichess.org/ZpPI05LI,2024.08.01,-,Alirezahamidian1969,Semi8512,0-1,2024.08.01,12:49:34,1559,1541,,,B06,Modern Defense: Two Knights Variation,180+2,Normal,"1. e4 1... g6 2. Nc3 2... Bg7 3. d4 3... d6 4. Nf3 4... b6 5. Bc4 5... e6 6. O-O 6... Ne7 7. Bg5 7... h6 8. Bh4 8... g5 9. Bg3 9...
Bb7 10. d5 10... e5 11. Qe2 11... Nd7 12. b4 12... a6 13. a4 13...
c5 14. dxc6 14... Bxc6 15. Nd5 15... Nxd5 16. exd5 16... Bb7 17. Rad1 17... O-O 18. Qd3 18... Nf6 19. Qf5 19... Bc8 20.
Qd3 20... e4 21. Qe3 21... exf3 22. Qxf3 22... Nh7 23. Bd3 23... f5 24.
Qh5 24... f4 25. Qg6 25... Nf6 26. Bh4 26... gxh4 27. Rfe1 27... Qd7 28.
Re6 28... Qf7 29. Qf5 29... Bxe6 30. dxe6 30... Qe7 31. Re1 31... Rae8 32.
c4 32... Qf7 33. exf7 33... Rxf7 34. Rxe8 34... Nxe8 35. Qh7 35... Kf8 36.
Bg6 36... Re7 37. Bxe8 37... Re1",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:00 3. 0:02:59 3... 0:03:02 4. 0:03:00 4... 0:03:01 5. 0:03:00 5... 0:03:01 6. 0:02:58 6... 0:03:01 7. 0:02:57 7... 0:03:00 8. 0:02:57 8... 0:03:01 9. 0:02:57 9... 0:02:54 10. 0:02:57 10... 0:02:46 11. 0:02:53 11... 0:02:45 12. 0:02:51 12... 0:02:45 13. 0:02:48 13... 0:02:37 14. 0:02:39 14... 0:02:31 15. 0:02:23 15... 0:02:26 16. 0:02:04 16... 0:02:22 17. 0:02:00 17... 0:02:22 18. 0:01:52 18... 0:02:18 19. 0:01:51 19... 0:02:12 20. 0:01:39 20... 0:02:07 21. 0:01:38 21... 0:02:07 22. 0:01:39 22... 0:01:50 23. 0:01:38 23... 0:01:40 24. 0:01:37 24... 0:01:39 25. 0:01:36 25... 0:01:27 26. 0:01:20 26... 0:01:25 27. 0:01:18 27... 0:01:16 28. 0:01:17 28... 0:00:52 29. 0:00:56 29... 0:00:48 30. 0:00:57 30... 0:00:45 31. 0:00:51 31... 0:00:43 32. 0:00:39 32... 0:00:29 33. 0:00:35 33... 0:00:25 34. 0:00:32 34... 0:00:22 35. 0:00:32 35... 0:00:22 36. 0:00:31 36... 0:00:23 37. 0:00:28 37... 0:00:21
Rated Blitz game,https://lichess.org/bKDQtTRD,2024.08.01,-,Saharsh_potturi123,ethanwe,1-0,2024.08.01,12:49:34,1403,1454,,,B38,"Sicilian Defense: Accelerated Dragon, Maróczy Bind",180+2,Normal,"1. e4 1... c5 2. Nf3 2... Nc6 3. d4 3... cxd4 4. Nxd4 4... g6 5. c4 5... Bg7 6. Be3 6...
Nf6 7. Nc3 7... O-O 8.
Be2 8... a6 9. O-O 9... d6 10. Qd2 10... Re8 11. a3 11... Bd7 12.
b4 12... Nxd4 13. Bxd4 13... Rc8 14. c5 14... dxc5 15. Bxc5 15... b6 16.
Bd4 16... Ra8 17. Qe3 17... b5 18. Rac1",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:01 3. 0:03:00 3... 0:03:03 4. 0:03:01 4... 0:03:05 5. 0:03:00 5... 0:03:03 6. 0:03:00 6... 0:02:58 7. 0:03:00 7... 0:02:59 8. 0:02:49 8... 0:02:59 9. 0:02:49 9... 0:02:58 10. 0:02:41 10... 0:02:53 11. 0:02:33 11... 0:02:43 12. 0:02:34 12... 0:02:37 13. 0:02:32 13... 0:02:25 14. 0:02:27 14... 0:02:19 15. 0:02:25 15... 0:02:15 16. 0:02:15 16... 0:01:32 17. 0:02:13 17... 0:01:17 18. 0:02:13
Rated Blitz game,https://lichess.org/y7XdnwUn,2024.08.01,-,Hpsk,Honningsvaag,1-0,2024.08.01,12:49:33,1869,1898,,,C54,"Italian Game: Classical Variation, Giuoco Pianissimo",180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... Bc5 4. c3 4... Nf6 5. d3 5... O-O 6. b4 6...
Bb6 7. a4 7... a5 8.
b5 8... Ne7 9. Nxe5 9... d5 10. exd5 10... Nexd5 11. d4 11... Ne4 12.
Qd3 12... Bf5 13. Qf3 13... Bg6 14. O-O 14... f6 15. Nxg6",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:02 3... 0:03:01 4. 0:03:03 4... 0:03:02 5. 0:03:04 5... 0:03:02 6. 0:03:05 6... 0:03:03 7. 0:03:06 7... 0:03:04 8. 0:03:06 8... 0:03:03 9. 0:03:07 9... 0:03:04 10. 0:03:07 10... 0:03:05 11. 0:03:06 11... 0:02:58 12. 0:02:56 12... 0:02:59 13. 0:02:38 13... 0:02:48 14. 0:02:36 14... 0:02:43 15. 0:02:35
Rated Blitz game,https://lichess.org/Q4Pwtrst,2024.08.01,-,Sergey0913,Zhor1k_Kharavidi,0-1,2024.08.01,12:49:34,1332,1334,,,D02,Queen's Pawn Game: Zukertort Variation,180+2,Normal,"1. d4 1... d5 2. Nf3 2... Bf5 3. Bf4 3... Nc6 4. e3 4... Nf6 5. Nbd2 5... e6 6. c3 6... Bd6 7. Bg3 7... Qd7 8. Be2 8... O-O-O 9. O-O 9...
Rdg8 10. b4 10... h5 11. Qb3 11... Bxg3 12. hxg3 12... h4 13. Nxh4 13... g5 14. Nxf5 14... exf5 15. Nf3 15... f4 16.
Nxg5 16... Rxg5 17. exf4 17... Rg6 18. Qd1 18... Rgh6 19. f3 19... Qe6 20. Kf2 20... Ne7 21.
g4 21... R6h7 22. Bd3 22... Rg7 23. Bf5 23... Nxf5 24. gxf5 24... Qxf5 25. Qd2 25... Qh5 26. Rg1 26... Qh4 27. Ke3 27... Qg3 28. Qf2 28... Qg6 29. Kd2 29... Kb8 30.
a4 30... a6 31. Rgb1 31... Nd7 32. b5 32... axb5 33. axb5 33... Nb6 34.
Rb2 34... Nc4 35. Kc1 35... Nxb2 36. Kxb2 36... Re8 37. Kb3 37... Qd3 38.
Qa2 38... Qc4 39. Kb2 39... Re2 40. Ka3 40... Rxa2 41. Rxa2",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:00 3. 0:03:02 3... 0:03:01 4. 0:03:04 4... 0:03:02 5. 0:03:05 5... 0:03:03 6. 0:03:06 6... 0:03:03 7. 0:03:06 7... 0:03:03 8. 0:03:05 8... 0:03:04 9. 0:03:03 9... 0:03:05 10. 0:03:02 10... 0:03:03 11. 0:03:01 11... 0:02:58 12. 0:03:01 12... 0:02:59 13. 0:02:59 13... 0:02:57 14. 0:02:59 14... 0:02:59 15. 0:03:00 15... 0:02:58 16. 0:03:00 16... 0:02:52 17. 0:03:00 17... 0:02:45 18. 0:03:01 18... 0:02:45 19. 0:02:54 19... 0:02:40 20. 0:02:54 20... 0:02:34 21. 0:02:53 21... 0:02:15 22. 0:02:53 22... 0:02:14 23. 0:02:54 23... 0:02:14 24. 0:02:54 24... 0:02:13 25. 0:02:44 25... 0:02:12 26. 0:02:43 26... 0:02:13 27. 0:02:41 27... 0:02:05 28. 0:02:40 28... 0:02:05 29. 0:02:39 29... 0:02:03 30. 0:02:40 30... 0:02:04 31. 0:02:38 31... 0:02:05 32. 0:02:39 32... 0:02:06 33. 0:02:40 33... 0:02:04 34. 0:02:37 34... 0:02:03 35. 0:02:35 35... 0:02:04 36. 0:02:36 36... 0:01:17 37. 0:02:36 37... 0:01:07 38. 0:02:33 38... 0:01:07 39. 0:02:32 39... 0:01:01 40. 0:02:32 40... 0:01:01 41. 0:02:33
