Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Rated Blitz game,https://lichess.org/JoddbiVU,2024.08.01,-,Pavel2891,Chess065,0-1,2024.08.01,11:22:07,1884,1855,,,C34,King's Gambit Accepted: Schallopp Defense,180+2,Normal,"1. e4 1... e5 2. f4 2... exf4 3. Nf3 3... Nf6 4. Bc4 4... d6 5. Ng5 5... d5 6. exd5 6...
Bc5 7. Nxf7 7... Kxf7 8. d6 8... Be6 9. Bxe6 9... Kxe6 10. d4 10...
Bxd6 11. O-O 11... Re8 12. Bxf4 12... Bxf4 13. Rxf4 13... Nc6 14. Nc3 14... Kf7 15. d5 15... Ne7 16. Ne4 16... Nxd5 17.
Nxf6 17... Nxf6 18. Rxf6 18... gxf6 19. Qh5 19... Kg7 20. Qg4 20... Kh8 21. Rd1 21... Qe7 22.
Rd7 22... Qe3 23. Kh1 23... Qe1",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:02 3... 0:03:02 4. 0:03:03 4... 0:03:02 5. 0:02:56 5... 0:03:03 6. 0:02:56 6... 0:02:59 7. 0:02:49 7... 0:02:57 8. 0:02:48 8... 0:02:57 9. 0:02:48 9... 0:02:58 10. 0:02:47 10... 0:02:59 11. 0:02:48 11... 0:02:55 12. 0:02:44 12... 0:02:52 13. 0:02:45 13... 0:02:53 14. 0:02:39 14... 0:02:54 15. 0:02:36 15... 0:02:54 16. 0:02:21 16... 0:02:54 17. 0:02:17 17... 0:02:53 18. 0:02:15 18... 0:02:50 19. 0:02:15 19... 0:02:51 20. 0:02:16 20... 0:02:51 21. 0:02:17 21... 0:02:50 22. 0:02:17 22... 0:02:49 23. 0:02:15 23... 0:02:46
Rated Blitz tournament https://lichess.org/tournament/qIEdAbAP,https://lichess.org/XXAJi7ju,2024.08.01,-,tommbass,PROKOPY,1/2-1/2,2024.08.01,11:22:11,1759,1712,,,D30,Queen's Gambit Declined,180+2,Normal,"1. d4 1... e6 2. c4 2... d5 3. cxd5 3... exd5 4. a3 4... c5 5. Nc3 5... cxd4 6. Qxd4 6...
Nc6 7. Qxd5 7... Qxd5 8. Nxd5 8... Bd6 9. Bf4 9... Bxf4 10. Nxf4 10... Nf6 11. g3 11... O-O 12. Bg2 12... Bf5 13.
Ngh3 13... Bc2 14. O-O 14... Nd4 15. e3 15... Nb3 16. Ra2 16... Nd2 17.
Rc1 17... Bb3 18. Raa1 18... Ba4 19. Ra2 19... Bb3 20. Raa1 20... Nfe4 21. Bxe4 21... Nxe4 22. f3 22... Nd2 23. Nf2 23... Nxf3 24. Kg2 24... Nd2 25. N4d3 25... Bd5 26. Kg1 26... Nb3 27. e4 27... Bc6 28. Rxc6 28... bxc6 29. Rd1 29... Rad8 30. Kf1 30... Nd4 31.
Rc1 31... Nf3 32. Rxc6 32... Nxh2 33. Kg2 33... Ng4 34. Kf3 34... Nxf2 35.
Nxf2 35... Rc8 36. Ra6 36... Ra8 37. b4 37... Rfb8 38. Ra5 38... a6 39.
Rd5 39... Rb5 40. Rd4 40... h6 41. Nd3 41... Rh5 42. e5 42... Re8 43.
Kf4 43... g6 44. g4 44... Rh1 45. Rd6 45... g5 46. Ke4 46... Rg1 47.
Kf3 47... Rf1 48. Ke2 48... Rh1 49. Ke3 49... Kg7 50. a4 50... Rh3 51.
Ke4 51... Ra8 52. a5 52... Rg3 53. e6 53... fxe6 54. Rxe6 54... Rxg4 55. Ke3 55... Rf8 56. Rxa6 56... Re8 57. Kd2 57... Rd8 58. Ra7 58... Kg6 59. b5 59... Kh5 60.
b6 60... Rgd4 61. b7 61... Rxd3 62. Kc2 62... Rd2 63. Kc3 63... R2d3 64. Kc4 64... R3d4 65. Kc5 65... R4d5 66. Kc6 66... R5d6 67. Kb5 67... Rd5 68. Kc6 68... R8d6 69. Kc7 69... Rd7 70. Kc6 70... R7d6 71. Kc7 71... Rd7 72. Kc6 72... R7d6",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:02 3. 0:03:01 3... 0:03:04 4. 0:03:02 4... 0:03:05 5. 0:03:04 5... 0:03:03 6. 0:03:05 6... 0:03:03 7. 0:03:05 7... 0:03:02 8. 0:03:05 8... 0:03:01 9. 0:03:06 9... 0:02:58 10. 0:03:06 10... 0:02:59 11. 0:03:05 11... 0:02:59 12. 0:03:06 12... 0:02:54 13. 0:02:57 13... 0:02:50 14. 0:02:55 14... 0:02:46 15. 0:02:53 15... 0:02:42 16. 0:02:46 16... 0:02:36 17. 0:02:42 17... 0:02:31 18. 0:02:42 18... 0:02:23 19. 0:02:38 19... 0:02:21 20. 0:02:39 20... 0:02:21 21. 0:02:37 21... 0:02:23 22. 0:02:36 22... 0:02:23 23. 0:02:35 23... 0:02:23 24. 0:02:35 24... 0:02:22 25. 0:02:31 25... 0:02:20 26. 0:02:25 26... 0:02:20 27. 0:02:16 27... 0:02:17 28. 0:02:15 28... 0:02:10 29. 0:02:12 29... 0:02:08 30. 0:02:11 30... 0:02:05 31. 0:02:04 31... 0:02:01 32. 0:02:00 32... 0:01:57 33. 0:02:00 33... 0:01:57 34. 0:01:57 34... 0:01:44 35. 0:01:56 35... 0:01:44 36. 0:01:53 36... 0:01:44 37. 0:01:53 37... 0:01:43 38. 0:01:52 38... 0:01:40 39. 0:01:49 39... 0:01:36 40. 0:01:48 40... 0:01:34 41. 0:01:49 41... 0:01:27 42. 0:01:46 42... 0:01:19 43. 0:01:44 43... 0:01:16 44. 0:01:44 44... 0:01:13 45. 0:01:38 45... 0:01:11 46. 0:01:33 46... 0:01:05 47. 0:01:30 47... 0:01:02 48. 0:01:28 48... 0:00:59 49. 0:01:27 49... 0:00:58 50. 0:01:23 50... 0:00:56 51. 0:01:23 51... 0:00:51 52. 0:01:23 52... 0:00:48 53. 0:01:17 53... 0:00:46 54. 0:01:18 54... 0:00:42 55. 0:01:13 55... 0:00:39 56. 0:01:11 56... 0:00:39 57. 0:01:11 57... 0:00:40 58. 0:01:11 58... 0:00:41 59. 0:01:12 59... 0:00:40 60. 0:01:12 60... 0:00:41 61. 0:01:11 61... 0:00:42 62. 0:01:12 62... 0:00:43 63. 0:01:13 63... 0:00:45 64. 0:01:14 64... 0:00:46 65. 0:01:15 65... 0:00:47 66. 0:01:16 66... 0:00:47 67. 0:01:17 67... 0:00:48 68. 0:01:17 68... 0:00:49 69. 0:01:17 69... 0:00:51 70. 0:01:18 70... 0:00:51 71. 0:01:18 71... 0:00:48 72. 0:01:19 72... 0:00:49
Rated Blitz game,https://lichess.org/T7V9rBIl,2024.08.01,-,Sergey0913,bbbb1350,0-1,2024.08.01,11:22:12,1316,1365,,,D02,Queen's Pawn Game: London System,180+2,Time forfeit,"1. d4 1... d5 2. Nf3 2... Nf6 3. Bf4 3... e6 4. e3 4... Bb4 5. c3 5... Ba5 6. Nbd2 6...
h6 7. a3 7... Nc6 8.
b4 8... Bb6 9. a4 9...
a6 10. a5 10... Ba7 11. b5 11... Ne7 12. c4 12... dxc4 13. Bxc4 13... O-O 14. O-O 14... Nh5 15. Be5 15... f6 16.
Bg3 16... Nxg3 17. hxg3 17... Nf5 18. Ne4 18... Kh8 19. Nh4 19... Nxh4 20. gxh4 20... f5 21.
Nc5 21... Qxh4 22. Nxe6 22... Bxe6 23. Bxe6 23... Rf6 24. d5 24... Rg6 25. g3 25... Qh3 26.
Qf3 26... Rg5 27. Bxf5 27... Rxf5 28. Qe4 28... Rh5 29. Rfd1 29... Qh2 30. Kf1 30... Rf8 31. Qg2 31... Qxg2 32. Kxg2 32... Rg5 33. bxa6 33... bxa6 34. Rab1 34... Rd8 35.
Rb7 35... Bc5 36. Rxc7 36... Rdxd5 37. Rxd5 37... Rxd5 38. Ra7 38... Bb4 39.
Rxa6 39... Bxa5 40. Kf3 40... Be1 41. Ke2 41... Bb4 42. g4 42... Rd2 43. Kf3 43... Kh7 44.
Kg3 44... Be7 45. f4 45... Rd3 46. Re6 46... Bf6 47. Kf3 47... Ra3 48.
Ke4 48... Ra4 49. Kf5 49... Ra3 50. g5 50... hxg5 51. fxg5 51... Bc3",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:01 3. 0:03:02 3... 0:03:02 4. 0:03:02 4... 0:03:04 5. 0:03:03 5... 0:03:05 6. 0:03:05 6... 0:03:05 7. 0:03:07 7... 0:03:06 8. 0:03:08 8... 0:03:06 9. 0:03:09 9... 0:03:07 10. 0:03:11 10... 0:03:08 11. 0:03:12 11... 0:03:07 12. 0:03:11 12... 0:03:08 13. 0:03:13 13... 0:03:09 14. 0:03:14 14... 0:03:10 15. 0:03:13 15... 0:03:10 16. 0:03:13 16... 0:03:11 17. 0:03:15 17... 0:03:11 18. 0:03:12 18... 0:03:08 19. 0:03:12 19... 0:03:08 20. 0:03:14 20... 0:03:06 21. 0:03:10 21... 0:03:06 22. 0:03:11 22... 0:03:06 23. 0:03:13 23... 0:03:07 24. 0:03:11 24... 0:03:08 25. 0:03:10 25... 0:02:54 26. 0:03:09 26... 0:02:55 27. 0:03:08 27... 0:02:44 28. 0:03:02 28... 0:02:44 29. 0:02:59 29... 0:02:45 30. 0:02:59 30... 0:02:41 31. 0:02:48 31... 0:02:35 32. 0:02:50 32... 0:02:31 33. 0:02:51 33... 0:02:32 34. 0:02:50 34... 0:02:31 35. 0:02:49 35... 0:02:25 36. 0:02:48 36... 0:02:26 37. 0:02:48 37... 0:02:27 38. 0:02:48 38... 0:02:24 39. 0:02:48 39... 0:02:25 40. 0:02:49 40... 0:02:22 41. 0:02:48 41... 0:02:20 42. 0:02:45 42... 0:02:20 43. 0:02:45 43... 0:02:17 44. 0:02:39 44... 0:02:16 45. 0:02:40 45... 0:02:16 46. 0:02:37 46... 0:02:15 47. 0:02:38 47... 0:02:09 48. 0:02:39 48... 0:02:09 49. 0:02:39 49... 0:02:08 50. 0:02:38 50... 0:02:08 51. 0:02:39 51... 0:02:05
Rated Blitz game,https://lichess.org/82OHQnr2,2024.08.01,-,Kalalay,Ahmed289,1/2-1/2,2024.08.01,11:22:12,1836,1807,,,C24,Bishop's Opening: Berlin Defense,180+2,Normal,"1. e4 1... e5 2. Bc4 2... Nf6 3. d3 3... h6 4. Nc3 4... Nc6 5. Nd5 5... Bc5 6. Nf3 6... d6 7. Be3 7... Bxe3 8.
fxe3 8... Bd7 9. Rf1 9... a6 10. c3 10... Nxd5 11. exd5 11... Na5 12.
b3 12... Nxc4 13. bxc4 13... Bg4 14. e4 14... Qe7 15. h3 15... Bh5 16.
Qa4 16... Qd7 17. Qxd7 17... Kxd7 18. g4 18... Bg6 19. Nh4 19... Rhf8 20. Nxg6 20... fxg6 21. Ke2 21... Rf4 22. Rxf4 22... exf4 23. Kf3 23... g5 24. h4 24... Rf8 25. h5 25... c6 26. d4 26... Kc7 27. Rb1 27... Re8 28. a4 28... a5 29. Rb2 29... b6 30.
dxc6 30... Kxc6 31. d5 31... Kc7 32. Rb5 32... Re5 33. Rb2 33... Re8 34. Rd2 34... Re5 35.
Rh2 35... Re8 36. Rh3 36... Re5 37. Rh2 37... Re8 38. Rh3 38... Re5 39.
Rh2",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:01 3... 0:03:02 4. 0:03:02 4... 0:03:02 5. 0:03:03 5... 0:03:02 6. 0:03:03 6... 0:03:03 7. 0:03:02 7... 0:03:02 8. 0:03:04 8... 0:03:00 9. 0:03:06 9... 0:03:01 10. 0:03:04 10... 0:02:51 11. 0:03:03 11... 0:02:51 12. 0:03:03 12... 0:02:51 13. 0:03:05 13... 0:02:50 14. 0:03:06 14... 0:02:47 15. 0:03:06 15... 0:02:48 16. 0:03:03 16... 0:02:42 17. 0:03:04 17... 0:02:44 18. 0:03:05 18... 0:02:44 19. 0:03:07 19... 0:02:44 20. 0:03:00 20... 0:02:46 21. 0:03:00 21... 0:02:45 22. 0:03:01 22... 0:02:45 23. 0:03:02 23... 0:02:47 24. 0:03:02 24... 0:02:44 25. 0:02:59 25... 0:02:29 26. 0:02:59 26... 0:02:29 27. 0:02:56 27... 0:02:22 28. 0:02:53 28... 0:02:12 29. 0:02:48 29... 0:02:12 30. 0:02:46 30... 0:02:13 31. 0:02:47 31... 0:02:12 32. 0:02:43 32... 0:02:11 33. 0:02:37 33... 0:02:10 34. 0:02:37 34... 0:02:07 35. 0:02:36 35... 0:02:07 36. 0:02:36 36... 0:02:08 37. 0:02:38 37... 0:02:08 38. 0:02:40 38... 0:02:09 39. 0:02:41
Rated Blitz game,https://lichess.org/fQaHXV40,2024.08.01,-,himera2018,Premier23,1-0,2024.08.01,11:22:12,2280,2175,,,A13,English Opening: Agincourt Defense,180+2,Normal,"1. Nf3 1... d5 2. c4 2... e6 3. d3 3... Nf6 4. b3 4...
Be7 5. Bb2 5... O-O 6. Nbd2 6... c5 7. g3 7... Nc6 8.
Bg2 8... a6 9. O-O 9... b5 10. cxd5 10...
exd5 11. d4 11... c4 12. a4 12... Bb7 13.
Rc1 13... Rc8 14. Ne5 14...
Na5 15. axb5 15... axb5 16. bxc4 16... dxc4 17. Bxb7 17... Nxb7 18. e4 18...
Qb6 19. Qf3 19... Rfd8 20. d5 20... Nd6 21. Nc6 21...
Re8 22. Nxe7 22... Rxe7 23.
e5 23... Nd7 24. exd6 24... Qxd6 25. Rfe1 25...
Rxe1 26. Rxe1 26... b4 27. Nxc4 27... Rxc4 28.
Re8 28... Nf8 29. Be5 29... Qd7 30. Rb8 30... Qh3 31. Qe3 31... Qf5 32. Rxf8 32... Kxf8 33. Bd6 33... Kg8 34. Qe8",1. 0:03:00 0. 0:03:00 1... 0:03:01 0. 0:02:55 2. 0:03:01 0. 0:02:55 2... 0:02:57 0. 0:02:39 3. 0:02:56 0. 0:02:40 3... 0:02:57 0. 0:02:41 4. 0:02:57 0. 0:02:42 4... 0:02:57 0. 0:02:39 5. 0:02:58 0. 0:02:40 5... 0:02:59 0. 0:02:41 6. 0:03:00 0. 0:02:15 6... 0:02:52 0. 0:02:15 7. 0:02:49 0. 0:02:08 7... 0:02:32 0. 0:01:35 8. 0:02:22 0. 0:01:35 8... 0:02:17 0. 0:01:31 9. 0:02:16 0. 0:01:33 9... 0:02:11 0. 0:01:25 10. 0:02:07 0. 0:01:24 10... 0:02:06 0. 0:00:53 11. 0:02:04 0. 0:00:34 11... 0:01:56 0. 0:00:36 12. 0:01:48 0. 0:00:20 12... 0:01:46 0. 0:00:20 13. 0:01:18 1. 0:00:15 13... 0:01:19 1. 0:00:15 14. 0:00:29 1. 0:00:12 14... 0:00:30 1. 0:00:13 15. 0:00:30 1. 0:00:13 15... 0:00:29 1. 0:00:09 16. 0:00:24 1. 0:00:06 16... 0:00:22 1. 0:00:04 17. 0:00:23 1. 0:00:05 17... 0:00:22
Rated Blitz game,https://lichess.org/rNLyqC8N,2024.08.01,-,Xaraxus,rscdo,1-0,2024.08.01,11:22:12,1589,1583,,,B22,Sicilian Defense: Alapin Variation,180+2,Normal,"1. e4 1... c5 2. c3 2... e6 3. d4 3... cxd4 4. cxd4 4... d6 5. a3 5... Nf6 6. Nc3 6...
a6 7. Nf3 7... b5 8.
Bd3 8... Bb7 9. O-O 9... Qc7 10. Bc2 10... Be7 11. Re1 11... O-O 12.
Qd3 12... Rd8 13. b4 13... e5 14. d5 14... Qc4 15. Qe3 15... Rc8 16.
Bb2 16... Ng4 17. Qd3 17... Qxd3 18. Bxd3 18... Bg5 19. h3 19... Nxf2 20.
Kxf2 20... Bf6 21. g4 21... g5 22. Ne2 22... Nd7 23. Ng3 23... Nf8 24.
Rac1 24... Kg7 25. Nf5 25... Kg6 26. Nxd6 26... Rxc1 27. Rxc1 27... h5 28. Nxb7 28... hxg4 29. hxg4 29... Ra7 30. Nd6 30... Kg7 31. Rc6 31... Ng6 32. Nf5 32... Kf8 33. Rxf6 33... Nf4 34.
Bf1 34... Nd3 35. Bxd3",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:01 3... 0:03:02 4. 0:03:03 4... 0:03:03 5. 0:03:02 5... 0:03:04 6. 0:03:03 6... 0:03:05 7. 0:02:59 7... 0:03:06 8. 0:02:53 8... 0:03:04 9. 0:02:48 9... 0:03:00 10. 0:02:46 10... 0:02:47 11. 0:02:41 11... 0:02:46 12. 0:02:41 12... 0:02:44 13. 0:02:30 13... 0:02:43 14. 0:02:25 14... 0:02:41 15. 0:02:09 15... 0:02:39 16. 0:02:05 16... 0:02:36 17. 0:02:06 17... 0:02:30 18. 0:02:08 18... 0:02:22 19. 0:02:05 19... 0:01:50 20. 0:01:55 20... 0:01:48 21. 0:01:42 21... 0:01:34 22. 0:01:40 22... 0:01:29 23. 0:01:38 23... 0:01:23 24. 0:01:34 24... 0:01:09 25. 0:01:35 25... 0:01:03 26. 0:01:36 26... 0:01:04 27. 0:01:33 27... 0:01:03 28. 0:01:30 28... 0:00:59 29. 0:01:26 29... 0:00:51 30. 0:01:18 30... 0:00:39 31. 0:01:12 31... 0:00:37 32. 0:01:08 32... 0:00:33 33. 0:01:09 33... 0:00:32 34. 0:01:00 34... 0:00:32 35. 0:01:00
Rated Blitz game,https://lichess.org/bdmda1Yb,2024.08.01,-,Fi_f-I,Berlinar,0-1,2024.08.01,11:22:12,1990,2060,,,C00,French Defense: Knight Variation,180+2,Normal,"1. e4 1... e6 2. Nf3 2... d5 3. exd5 3... exd5 4. d4 4... Bd6 5. Bd3 5... Bg4 6. O-O 6...
c6 7. h3 7... Bh5 8.
Re1 8... Ne7 9. Bg5 9... f6 10. Bd2 10... Qc7 11. g4 11... Bg6 12.
Qe2 12... Kf8 13. Qe6 13... Bf7 14. Qe2 14... Nd7 15. Nh4 15... Re8 16.
Qf3 16... b5 17. Nc3 17... Nb6 18. Nf5 18... Nxf5 19. Bxf5 19... Nc4 20.
Rxe8 20... Bxe8 21. Bc1 21... Qe7 22. b3 22...
Qe1 23. Kg2 23... Nd2 24. Bxd2 24... Qxa1 25. g5 25... g6 26. gxf6 26... gxf5 27. Bh6 27... Kf7 28. Qh5 28... Ke6 29.
Qe2 29... Kd7 30. Bg7 30... Rg8 31. Nd1 31... Qxd4 32. Ne3 32... Qxf6 33.
Nxf5 33... Rxg7 34. Nxg7 34... Qxg7 35. Kf1 35... Qe5",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:01 3. 0:02:59 3... 0:03:03 4. 0:03:00 4... 0:03:04 5. 0:03:01 5... 0:03:04 6. 0:03:01 6... 0:03:05 7. 0:03:00 7... 0:03:05 8. 0:03:01 8... 0:03:06 9. 0:02:59 9... 0:03:06 10. 0:02:58 10... 0:03:02 11. 0:02:37 11... 0:03:02 12. 0:02:29 12... 0:03:00 13. 0:02:15 13... 0:02:56 14. 0:01:58 14... 0:02:48 15. 0:01:56 15... 0:02:40 16. 0:01:56 16... 0:02:23 17. 0:01:47 17... 0:02:21 18. 0:01:45 18... 0:02:20 19. 0:01:43 19... 0:02:16 20. 0:01:42 20... 0:02:13 21. 0:01:37 21... 0:02:04 22. 0:01:34 22... 0:02:04 23. 0:01:33 23... 0:01:57 24. 0:01:06 24... 0:01:56 25. 0:01:08 25... 0:01:45 26. 0:00:10 26... 0:01:45 27. 0:00:12 27... 0:01:45 28. 0:00:13 28... 0:01:40 29. 0:00:13 29... 0:01:41 30. 0:00:11 30... 0:01:37 31. 0:00:12 31... 0:01:34 32. 0:00:12 32... 0:01:27 33. 0:00:08 33... 0:01:07 34. 0:00:08 34... 0:01:08 35. 0:00:09 35... 0:01:01
Rated Blitz game,https://lichess.org/oDhWmeKR,2024.08.01,-,ivankunev1972,mahmood2x,1-0,2024.08.01,11:22:12,1872,1894,,,C48,Four Knights Game: Spanish Variation,180+2,Time forfeit,"1. e4 1... e5 2. Nf3 2... Nf6 3. Nc3 3... Nc6 4. Bb5 4... d6 5. d4 5... Bd7 6. dxe5 6...
Nxe5 7. Nxe5 7... dxe5 8. Bxd7 8... Nxd7 9. O-O 9... Bc5 10. Qe2 10...
O-O 11. Rd1 11... Qe7 12. Nd5 12... Qd8 13. b4 13... Bd6 14. c4 14...
c6 15. c5 15... Bc7 16. Nxc7 16... Qxc7 17. Bb2 17... Rae8 18. f3 18... b6 19. Rac1 19... Re6 20. a4 20... Rb8 21.
cxb6 21... Qxb6 22. Kh1 22... Nf6 23. Bc3 23... c5 24. a5 24... Qc7 25. bxc5 25... Qxc5 26. Bd4 26... Qxa5 27. Rc5 27... Qa4 28. Bxe5 28... Nd7 29. Bxb8 29... Nxc5 30. Rd8 30... Re8 31.
Rxe8 31... Qxe8 32. Bxa7",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:02:52 3. 0:03:01 3... 0:02:43 4. 0:03:01 4... 0:02:41 5. 0:03:02 5... 0:02:41 6. 0:03:01 6... 0:02:34 7. 0:02:59 7... 0:02:33 8. 0:02:55 8... 0:02:34 9. 0:02:47 9... 0:02:30 10. 0:02:46 10... 0:02:29 11. 0:02:47 11... 0:02:29 12. 0:02:47 12... 0:02:18 13. 0:02:46 13... 0:02:19 14. 0:02:47 14... 0:02:18 15. 0:02:39 15... 0:02:01 16. 0:02:37 16... 0:02:02 17. 0:02:30 17... 0:01:57 18. 0:02:31 18... 0:01:56 19. 0:02:30 19... 0:01:44 20. 0:02:27 20... 0:01:32 21. 0:02:25 21... 0:01:30 22. 0:02:25 22... 0:01:25 23. 0:02:21 23... 0:01:19 24. 0:02:20 24... 0:00:56 25. 0:02:18 25... 0:00:41 26. 0:02:09 26... 0:00:32 27. 0:02:07 27... 0:00:09 28. 0:02:00 28... 0:00:05 29. 0:02:00 29... 0:00:04 30. 0:02:00 30... 0:00:05 31. 0:02:01 31... 0:00:06 32. 0:01:59
Rated Blitz game,https://lichess.org/BQ1ghBmc,2024.08.01,-,aaryansarnaik,Kristina_03,0-1,2024.08.01,11:22:12,1325,1371,,,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",180+2,Time forfeit,"1. e4 1... c5 2. Nf3 2... Nc6 3. Bb5 3... g6 4. Bxc6 4... bxc6 5.
Nc3 5... Bg7 6. b3 6... e5 7. Bb2 7... d6 8. Rb1 8... Ne7 9. a4 9... O-O 10. Ne2 10... Bb7 11. Ng3 11... a6 12.
h4 12... h5 13. c3 13... Rc8 14. d4 14... Kh8 15. dxe5 15... dxe5 16. Qxd8 16... Rcxd8 17. Ng5 17... Bc8 18. c4 18...
f6 19. Nf3 19... Bh6 20. O-O 20... Rd3 21. Bc1 21... Bxc1 22. Rfxc1 22... Bg4 23. Ne1 23... Rd2 24. f3 24... Be6 25.
Nf1 25... Ra2",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:00 3. 0:03:03 3... 0:03:00 4. 0:03:04 4... 0:03:02 5. 0:03:02 5... 0:03:03 6. 0:03:02 6... 0:03:04 7. 0:03:02 7... 0:03:02 8. 0:03:03 8... 0:03:03 9. 0:03:03 9... 0:03:03 10. 0:03:02 10... 0:02:47 11. 0:02:58 11... 0:02:39 12. 0:02:59 12... 0:02:06 13. 0:02:59 13... 0:02:03 14. 0:03:00 14... 0:01:15 15. 0:03:00 15... 0:01:15 16. 0:03:00 16... 0:01:14 17. 0:03:01 17... 0:00:58 18. 0:02:56 18... 0:00:59 19. 0:02:43 19... 0:00:51 20. 0:02:39 20... 0:00:48 21. 0:02:37 21... 0:00:46 22. 0:02:39 22... 0:00:45 23. 0:02:37 23... 0:00:41 24. 0:02:35 24... 0:00:28 25. 0:02:35 25... 0:00:23
Rated Blitz game,https://lichess.org/wLPj8FqP,2024.08.01,-,mansur1991,Johannes14,0-1,2024.08.01,11:22:12,1648,1675,,,D38,Queen's Gambit Declined: Ragozin Defense,180+2,Time forfeit,"1. d4 1... d5 2. Nf3 2... Nf6 3. c4 3... e6 4. Nc3 4... Bb4 5. Qc2 5... O-O 6. Bg5 6... Nbd7 7. e3 7... Be7 8. cxd5 8... Nxd5 9. Nxd5 9...
Bxg5 10. Nxc7 10... Rb8 11. Nxe6 11... fxe6 12. Nxg5 12... Qxg5 13. Bd3 13...
Qxg2 14. O-O-O 14... Nf6 15.
Rhg1 15... Qd5 16. Kb1 16...
Bd7 17. e4 17... Qc6 18. e5 18... Qxc2 19. Bxc2 19... Nd5 20. Rg5 20...
Rxf2 21. Rdg1 21... g6 22. h4 22... Nf4 23.
h5 23... Be8 24. hxg6 24... Nxg6 25. Bb3 25...
Bf7 26. Bc2 26... Kg7 27. Be4 27... Rd8 28.
d5 28... exd5",1. 0:03:00 0. 0:03:00 1... 0:03:00 0. 0:03:01 2. 0:03:01 0. 0:03:02 2... 0:03:02 0. 0:03:02 3. 0:03:02 0. 0:03:02 3... 0:03:02 0. 0:02:55 4. 0:03:01 0. 0:02:50 4... 0:02:53 0. 0:02:48 5. 0:02:45 0. 0:02:41 5... 0:02:31 0. 0:02:29 6. 0:02:27 0. 0:02:13 6... 0:02:27 0. 0:02:09 7. 0:02:04 0. 0:01:58 7... 0:01:42 0. 0:01:41 8. 0:01:28 0. 0:01:30 8... 0:01:07 1. 0:01:27 9. 0:01:00 1. 0:00:59 9... 0:00:57 1. 0:00:57 10. 0:00:53 1. 0:00:56 10... 0:00:26 1. 0:00:52 11. 0:00:22 1. 0:00:47 11... 0:00:19 1. 0:00:40 12. 0:00:17 2. 0:00:33 12... 0:00:08 2. 0:00:31 13. 0:00:06 2. 0:00:25 13... 0:00:04 2. 0:00:21 14. 0:00:03 3. 0:00:18 14... 0:00:03 3. 0:00:18
