Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Rated Blitz game,https://lichess.org/Xyde3236,2024.08.01,-,laimas,msglacayo,1-0,2024.08.01,05:11:54,1822,1778,,,D31,Queen's Gambit Declined: Queen's Knight Variation,180+2,Normal,"1. d4 1... d5 2. c4 2... e6 3. Nc3 3... dxc4 4. e4 4... Nf6 5. Bxc4 5... Be7 6. Nf3 6...
a6 7. a3 7... b5 8.
Ba2 8... c5 9. d5 9...
exd5 10. exd5 10... Bd6 11. O-O 11... O-O 12.
Bg5 12... Nbd7 13. Qc2 13... Qc7 14. h3 14... b4 15. axb4 15... cxb4 16. Bb1 16... bxc3 17. Bxf6 17... Nxf6 18. Ng5 18... h6 19. Nh7 19... Nxd5 20. Nxf8 20... Bxf8 21. Qh7",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:03:01 3. 0:03:00 3... 0:03:02 4. 0:03:01 4... 0:03:04 5. 0:02:58 5... 0:03:04 6. 0:02:57 6... 0:03:04 7. 0:02:57 7... 0:03:05 8. 0:02:56 8... 0:03:05 9. 0:02:50 9... 0:03:02 10. 0:02:52 10... 0:03:01 11. 0:02:52 11... 0:03:02 12. 0:02:51 12... 0:03:01 13. 0:02:45 13... 0:03:00 14. 0:02:44 14... 0:02:53 15. 0:02:26 15... 0:02:52 16. 0:02:16 16... 0:02:48 17. 0:02:13 17... 0:02:49 18. 0:02:13 18... 0:02:48 19. 0:02:10 19... 0:02:32 20. 0:02:03 20... 0:02:32 21. 0:02:01
Rated Blitz game,https://lichess.org/Kx6QbdbU,2024.08.01,-,PrincipeCoronado,kirschsaft,1-0,2024.08.01,05:11:54,2108,2067,,,A46,Indian Defense: Spielmann-Indian,180+2,Normal,"1. d4 1... Nf6 2. Nf3 2... c5 3. e3 3... g6 4. c4 4... Bg7 5. Nc3 5... O-O 6. Be2 6... b6 7. O-O 7... Bb7 8. Bd2 8... cxd4 9. exd4 9...
d5 10. cxd5 10... Nxd5 11. Qb3 11... e6 12. Rac1 12... Nc6 13. Be3 13... Nxe3 14. fxe3 14... Bh6 15. Nd1 15... Re8 16.
Rc2 16... Qd5 17. Bc4 17... Qh5 18. Bb5 18... Rec8 19. Bxc6 19... Rxc6 20. Ne5 20... Rxc2 21. Qxc2 21... Rf8 22. Qc7 22... Be4 23. Nd7 23... Qg4 24. Nf6",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:02 3. 0:03:01 3... 0:03:01 4. 0:03:01 4... 0:03:02 5. 0:03:02 5... 0:03:04 6. 0:03:02 6... 0:03:04 7. 0:03:02 7... 0:03:02 8. 0:03:03 8... 0:03:04 9. 0:03:03 9... 0:03:06 10. 0:03:02 10... 0:03:06 11. 0:02:52 11... 0:03:05 12. 0:02:50 12... 0:03:05 13. 0:02:43 13... 0:02:41 14. 0:02:45 14... 0:02:31 15. 0:02:29 15... 0:02:14 16. 0:02:27 16... 0:02:14 17. 0:02:03 17... 0:02:08 18. 0:01:50 18... 0:01:44 19. 0:01:49 19... 0:01:40 20. 0:01:47 20... 0:01:34 21. 0:01:45 21... 0:01:22 22. 0:01:39 22... 0:01:16 23. 0:01:20 23... 0:01:07 24. 0:01:18
Rated Blitz game,https://lichess.org/QoQAVeYL,2024.08.01,-,theknightprowler,mysterno,1-0,2024.08.01,05:11:54,1893,1864,,,C20,King's Pawn Game: MacLeod Attack,180+2,Time forfeit,"1. e4 1... e5 2. c3 2... Nf6 3. Qe2 3... b6 4. h3 4... Ba6 5. d3 5... Be7 6. Qf3 6...
O-O 7. g4 7... d5 8.
g5 8... dxe4 9. dxe4 9... Bxf1 10. gxf6 10... Bxf6 11. Kxf1 11... Qd7 12.
Ne2 12... Na6 13. Nd2 13... Rad8 14. Ng3 14... Qd3 15. Qxd3 15... Rxd3 16. Ke2 16... Rfd8 17. Nb3 17... g6 18. h4 18...
h5 19. Nf1 19... c5 20. Ne3 20... R3d6 21. Rg1 21... Nc7 22. Nf5 22... R6d7 23. Ng3 23... Bxh4 24. Nxh5 24... c4 25.
Nd2 25... Kf8 26. Ng3 26... Bxg3 27. Rxg3 27... Ne6 28. Nxc4 28... Nf4 29. Kf1 29... f6 30. Bxf4 30... exf4 31. Rxg6 31... Kf7 32. Rg4 32... Rd1 33. Rxd1 33... Rxd1 34. Ke2 34... Rb1 35. Rxf4 35... b5 36. Nd6 36... Ke6 37. Nb7 37... Rxb2 38. Kd3 38... Rxa2 39.
f3 39... a5 40. Rf5 40... b4 41. cxb4 41... axb4 42. Rb5 42... Ra3 43.
Ke2 43... Ra2 44. Ke3 44... Ra3 45. Kf4 45... b3 46. Nc5 46... Ke7 47.
Nxb3 47... Ra1 48. Nd4",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:00 3. 0:03:01 3... 0:02:56 4. 0:03:01 4... 0:02:56 5. 0:02:59 5... 0:02:38 6. 0:02:58 6... 0:02:30 7. 0:02:57 7... 0:02:30 8. 0:02:58 8... 0:02:31 9. 0:02:59 9... 0:02:24 10. 0:02:58 10... 0:02:20 11. 0:02:57 11... 0:02:08 12. 0:02:52 12... 0:01:43 13. 0:02:49 13... 0:01:30 14. 0:02:49 14... 0:01:11 15. 0:02:49 15... 0:01:12 16. 0:02:50 16... 0:01:13 17. 0:02:40 17... 0:01:03 18. 0:02:37 18... 0:01:03 19. 0:02:31 19... 0:01:00 20. 0:02:24 20... 0:00:41 21. 0:02:17 21... 0:00:36 22. 0:02:13 22... 0:00:31 23. 0:02:13 23... 0:00:30 24. 0:02:13 24... 0:00:22 25. 0:02:09 25... 0:00:21 26. 0:02:09 26... 0:00:20 27. 0:02:10 27... 0:00:21 28. 0:02:09 28... 0:00:17 29. 0:02:05 29... 0:00:15 30. 0:02:04 30... 0:00:15 31. 0:02:05 31... 0:00:16 32. 0:02:05 32... 0:00:16 33. 0:02:05 33... 0:00:17 34. 0:02:06 34... 0:00:17 35. 0:02:06 35... 0:00:17 36. 0:02:06 36... 0:00:17 37. 0:01:48 37... 0:00:18 38. 0:01:49 38... 0:00:18 39. 0:01:45 39... 0:00:16 40. 0:01:45 40... 0:00:15 41. 0:01:45 41... 0:00:15 42. 0:01:44 42... 0:00:13 43. 0:01:44 43... 0:00:12 44. 0:01:43 44... 0:00:13 45. 0:01:44 45... 0:00:09 46. 0:01:44 46... 0:00:07 47. 0:01:45 47... 0:00:06 48. 0:01:45
Rated Blitz game,https://lichess.org/p1Q6PMYU,2024.08.01,-,picomirandola,stalin57,0-1,2024.08.01,05:11:54,2150,2188,,,E21,Nimzo-Indian Defense: Three Knights Variation,180+2,Time forfeit,"1. d4 1... Nf6 2. c4 2... e6 3. Nc3 3... Bb4 4. Nf3 4... Bxc3 5.
bxc3 5... b6 6. e3 6... Bb7 7. Be2 7... d6 8. O-O 8... Nbd7 9. a4 9... a5 10. Nd2 10...
O-O 11. f3 11... e5 12. e4 12... Qe7 13. Ba3 13... c5 14. d5 14...
Ne8 15. Re1 15... f5 16. Qb3 16... Ba6 17. Bd3 17... f4 18. Rab1 18... g5 19. Qd1 19... Rf7 20. Nf1 20... Rg7 21.
h3 21... h5 22. Nh2 22... Nef6 23. Be2 23... Kh8 24. Qd3 24... Rag8 25.
Bc1 25... g4 26. fxg4 26... hxg4 27. Bxg4 27... Nxg4 28. Nxg4 28... Qh4 29.
Bd2 29... Rh7 30. Qf3 30... Bxc4 31. Rec1 31... Rxg4 32. Qxg4 32... Qxg4 33. hxg4 33... Bd3 34. Rb2 34... Bxe4 35. Be1 35... Rg7 36. Bh4 36... Rxg4 37. Be7 37... Rg6 38.
c4 38... Kg7 39. Re2 39... Bf5 40. Kf2 40... Kf7 41. Bd8 41... Rg3 42.
Rb2 42... Be4 43. Rg1 43... Ra3 44. Bxb6 44... Rxa4 45. Bc7 45... Rxc4 46.
Bxd6 46... Bxd5 47. Rh1 47... Ke6 48. Rh6 48... Kf5 49. Rd2 49... Rd4 50. Rxd4 50... cxd4 51. Bc7 51... Nf6 52. Rh8 52... a4 53. Rf8 53...
Ke6 54. Bd8 54... Ne4 55. Ke2 55... Nc3 56. Kd3 56... Bxg2 57. Rf6 57... Kd5 58. Ba5 58... e4 59. Kd2 59... e3 60.
Ke1 60... f3 61. Rf5 61... Ke4 62. Rf8 62... f2",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:02 3... 0:03:02 4. 0:03:04 4... 0:03:01 5. 0:03:05 5... 0:03:03 6. 0:03:01 6... 0:03:03 7. 0:03:02 7... 0:03:04 8. 0:03:03 8... 0:03:04 9. 0:03:04 9... 0:03:04 10. 0:03:01 10... 0:03:01 11. 0:03:00 11... 0:03:01 12. 0:03:00 12... 0:02:54 13. 0:02:54 13... 0:02:47 14. 0:02:50 14... 0:02:43 15. 0:02:46 15... 0:02:44 16. 0:02:45 16... 0:02:35 17. 0:02:39 17... 0:02:24 18. 0:02:35 18... 0:02:23 19. 0:02:29 19... 0:02:23 20. 0:02:20 20... 0:02:23 21. 0:02:21 21... 0:02:24 22. 0:02:21 22... 0:02:24 23. 0:02:17 23... 0:02:25 24. 0:02:11 24... 0:02:25 25. 0:01:36 25... 0:02:25 26. 0:01:36 26... 0:02:26 27. 0:01:35 27... 0:02:20 28. 0:01:36 28... 0:02:13 29. 0:01:26 29... 0:02:06 30. 0:01:25 30... 0:02:05 31. 0:01:03 31... 0:01:43 32. 0:01:02 32... 0:01:44 33. 0:01:03 33... 0:01:44 34. 0:00:52 34... 0:01:44 35. 0:00:53 35... 0:01:37 36. 0:00:45 36... 0:01:32 37. 0:00:46 37... 0:01:32 38. 0:00:46 38... 0:01:30 39. 0:00:40 39... 0:01:21 40. 0:00:35 40... 0:01:21 41. 0:00:36 41... 0:01:21 42. 0:00:33 42... 0:01:13 43. 0:00:33 43... 0:01:11 44. 0:00:33 44... 0:01:11 45. 0:00:34 45... 0:01:07 46. 0:00:33 46... 0:01:02 47. 0:00:33 47... 0:01:00 48. 0:00:33 48... 0:00:59 49. 0:00:30 49... 0:00:56 50. 0:00:25 50... 0:00:57 51. 0:00:27 51... 0:00:55 52. 0:00:23 52... 0:00:53 53. 0:00:17 53... 0:00:50 54. 0:00:19 54... 0:00:49 55. 0:00:18 55... 0:00:49 56. 0:00:19 56... 0:00:46 57. 0:00:18 57... 0:00:46 58. 0:00:18 58... 0:00:46 59. 0:00:18 59... 0:00:46 60. 0:00:18 60... 0:00:47 61. 0:00:15 61... 0:00:45 62. 0:00:03 62... 0:00:45
Rated Blitz game,https://lichess.org/u5gw7fnb,2024.08.01,-,stas1941,Passarowitz,1-0,2024.08.01,05:11:59,1939,1950,,,C02,"French Defense: Advance Variation, Main Line",180+2,Normal,"1. e4 1... e6 2. d4 2... d5 3. e5 3... c5 4. c3 4... Nc6 5. a3 5... Qb6 6. Nf3 6... Bd7 7. Be2 7... Nge7 8.
O-O 8... Nf5 9. dxc5 9... Bxc5 10. g4 10... Nfe7 11. b4 11... Ng6 12.
bxc5 12... Qxc5 13. h3 13... Ngxe5 14. Nxe5 14... Nxe5 15. Qd4 15... Qc7 16.
Bf4 16... f6 17. g5 17... O-O 18. gxf6 18... gxf6 19. Kh2 19... Kf7 20.
Bh5 20... Ke7 21. Re1 21... Rac8 22. Qb4 22... Kd8 23. Qxf8 23... Be8 24. Qxf6",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:02 3... 0:03:02 4. 0:03:04 4... 0:03:04 5. 0:03:05 5... 0:03:05 6. 0:03:06 6... 0:03:05 7. 0:03:07 7... 0:03:04 8. 0:03:07 8... 0:03:05 9. 0:03:07 9... 0:03:05 10. 0:03:07 10... 0:03:02 11. 0:03:07 11... 0:03:01 12. 0:03:07 12... 0:03:03 13. 0:03:07 13... 0:03:03 14. 0:03:07 14... 0:03:05 15. 0:03:06 15... 0:03:06 16. 0:03:05 16... 0:03:07 17. 0:02:59 17... 0:03:05 18. 0:02:58 18... 0:03:04 19. 0:02:47 19... 0:03:03 20. 0:02:47 20... 0:03:05 21. 0:02:44 21... 0:02:45 22. 0:02:43 22... 0:02:41 23. 0:02:43 23... 0:02:42 24. 0:02:42
Rated Blitz tournament https://lichess.org/tournament/R6iDrz13,https://lichess.org/szLKLYby,2024.08.01,-,pranav00_22,PT7GOAT,1-0,2024.08.01,05:12:11,1496,969,,,C41,Philidor Defense,180+2,Normal,"1. e4 1... e5 2. Nf3 2... d6 3. Bc4 3... f6 4. h3 4... Ne7 5. O-O 5... Nec6 6. Nc3 6... Nd4 7. Nxd4 7... exd4 8.
Nb5 8... Nc6 9. c3 9... a6 10. Nxd4 10... b5 11. Nxc6 11... Qd7 12.
Bd5 12... Qf7 13. Bxf7 13... Kxf7 14. f4 14... Be6 15. e5 15... Bf5 16. exd6 16... cxd6 17. Re1 17... Be7 18. Qb3 18... Kg6 19. Rxe7 19... Rhe8 20. Qf7 20... Kh6 21. Qxg7 21... Kh5 22. g4 22... Bxg4 23. Qxg4 23... Kh6 24. d4 24...
Rxe7 25. f5 25... Re3 26. Bxe3",1. 0:01:30 1... 0:03:00 2. 0:01:30 2... 0:03:01 3. 0:01:29 3... 0:03:02 4. 0:01:29 4... 0:03:02 5. 0:01:28 5... 0:03:03 6. 0:01:28 6... 0:03:04 7. 0:01:27 7... 0:03:04 8. 0:01:26 8... 0:03:00 9. 0:01:24 9... 0:02:58 10. 0:01:22 10... 0:02:56 11. 0:01:20 11... 0:02:53 12. 0:01:16 12... 0:02:49 13. 0:01:15 13... 0:02:49 14. 0:01:13 14... 0:02:47 15. 0:01:10 15... 0:02:46 16. 0:01:08 16... 0:02:46 17. 0:01:07 17... 0:02:44 18. 0:01:06 18... 0:02:41 19. 0:01:04 19... 0:02:41 20. 0:01:02 20... 0:02:40 21. 0:01:01 21... 0:02:38 22. 0:01:01 22... 0:02:38 23. 0:00:58 23... 0:02:37 24. 0:00:57 24... 0:02:38 25. 0:00:56 25... 0:02:21 26. 0:00:56
Rated Blitz game,https://lichess.org/J7wQdDGn,2024.08.01,-,Rizoqul,Nizam1990,1/2-1/2,2024.08.01,05:12:11,1517,1509,,,A01,Nimzo-Larsen Attack,180+2,Time forfeit,"1. b3 1... d6 2. Bb2 2... Nf6 3. Nc3 3... e5 4. e3 4... Nc6 5. g3 5... Bf5 6. Bg2 6...
Be7 7. Bxc6 7... bxc6 8. Nge2 8... Qb8 9. d3 9... d5 10. f4 10... e4 11. d4 11... O-O 12.
Qd2 12... Bg4 13. h3",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:02:52 3. 0:03:01 3... 0:02:52 4. 0:03:01 4... 0:02:51 5. 0:03:02 5... 0:02:45 6. 0:03:02 6... 0:02:42 7. 0:03:02 7... 0:02:43 8. 0:02:57 8... 0:02:42 9. 0:02:51 9... 0:02:40 10. 0:02:48 10... 0:02:40 11. 0:02:46 11... 0:02:37 12. 0:02:41 12... 0:02:37 13. 0:02:41
Rated Blitz game,https://lichess.org/KeSvTaIR,2024.08.01,-,sussybakaChess3,white466,0-1,2024.08.01,05:12:11,1137,1062,,,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,180+2,Normal,"1. e4 1... c5 2. Nf3 2... Nc6 3. Bb5 3... e6 4. Bxc6 4... bxc6 5.
d4 5... d5 6. Nc3 6...
Nf6 7. Bg5 7... Be7 8.
Bxf6 8... Bxf6 9. e5 9... Be7 10. O-O 10... O-O 11. Ne1 11... cxd4 12.
Qxd4 12... Qc7 13. f4 13... Ba6 14. Rf3 14... Rab8 15. b3 15... c5 16.
Qa4 16... Bb7 17. Nb5 17... Qc6 18. c4 18... a6 19. Nc3 19... d4 20.
Qxc6 20... Bxc6 21. Rg3 21... dxc3 22. Rxc3 22... Rfd8 23. Nc2 23... h6 24. a3 24... Be4 25.
b4 25... cxb4 26. axb4 26... Bxc2 27. Rxc2 27... Rxb4 28. Rxa6 28... Rd4 29.
Rc6 29... Re4 30. Rc8 30... Kh7 31. c5 31... Rxf4 32. c6 32... Rb1",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:03:01 3. 0:02:57 3... 0:03:01 4. 0:02:52 4... 0:03:01 5. 0:02:54 5... 0:03:01 6. 0:02:52 6... 0:02:59 7. 0:02:49 7... 0:02:58 8. 0:02:49 8... 0:02:58 9. 0:02:48 9... 0:02:50 10. 0:02:33 10... 0:02:48 11. 0:02:23 11... 0:02:48 12. 0:02:23 12... 0:02:39 13. 0:02:19 13... 0:02:40 14. 0:02:05 14... 0:02:37 15. 0:02:03 15... 0:02:23 16. 0:01:57 16... 0:02:00 17. 0:01:31 17... 0:01:52 18. 0:01:01 18... 0:01:51 19. 0:00:50 19... 0:01:45 20. 0:00:15 20... 0:01:45 21. 0:00:10 21... 0:01:46 22. 0:00:10 22... 0:01:42 23. 0:00:11 23... 0:01:27 24. 0:00:12 24... 0:01:16 25. 0:00:11 25... 0:01:16 26. 0:00:11 26... 0:01:14 27. 0:00:12 27... 0:01:15 28. 0:00:12 28... 0:01:09 29. 0:00:12 29... 0:01:06 30. 0:00:12 30... 0:01:06 31. 0:00:11 31... 0:01:05 32. 0:00:11 32... 0:01:03
Rated Blitz game,https://lichess.org/GuWxsxKv,2024.08.01,-,kaiosparov,DreyVx,0-1,2024.08.01,05:12:11,2195,2202,,,C52,"Italian Game: Evans Gambit, Lasker Defense",180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... Bc5 4. b4 4... Bxb4 5. c3 5... Ba5 6. d4 6... d6 7. O-O 7... Bb6 8.
dxe5 8... Nxe5 9. Nxe5 9... dxe5 10. Bxf7 10... Ke7 11. Qxd8 11... Kxd8 12. Bg5 12... Nf6 13. Rd1 13... Ke7 14. Bb3 14... Rf8 15. h3 15... h6 16. Bh4 16... g5 17.
Bg3 17... Nxe4 18. Bxe5 18... Nxf2 19. Kh2 19... Nxd1 20. Bxd1 20... Be6 21. Nd2 21... Be3 22.
Nb3 22... Bf4 23. Bxf4 23... Rxf4 24. Bf3 24... Bxb3 25. axb3 25... c6 26. Re1 26... Kd6 27.
Rd1 27... Ke7 28. Re1 28... Kf6 29. Rd1 29... Re8 30. Rd7 30... Re7 31. Rd8 31... Kg7 32.
Ra8 32... a6 33. Rd8 33... Rf5 34. Bh5 34... Rc5 35. c4 35... b5 36.
Ra8 36... bxc4 37. bxc4 37... Rxc4 38. Rxa6 38... Rc2 39. Bf3 39... c5 40. Rc6 40... c4 41.
Bh5 41... c3 42. Rg6 42... Kh7 43. Rc6 43... Rg7 44. Bf3 44... Rc1 45.
Kg3 45... Rd7 46. Kg4 46... Kg7 47. Kh5 47... c2 48. Be4 48... Rd2 49.
Rg6 49... Kf7 50. Rxh6 50... Rf1 51. Bxc2 51... Rxc2 52. Kxg5 52... Rxg2 53. Kh4 53... Rf4 54.
Kh5 54... Kg7 55. Rb6 55... Rf5 56. Kh4 56... Rf6 57. Rb7 57... Kg8 58.
Rb8 58... Kh7 59. Rb7 59... Rg7",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:00 3. 0:02:59 3... 0:02:59 4. 0:03:00 4... 0:02:59 5. 0:03:01 5... 0:03:00 6. 0:02:59 6... 0:03:01 7. 0:02:57 7... 0:02:51 8. 0:02:55 8... 0:02:22 9. 0:02:55 9... 0:02:24 10. 0:02:56 10... 0:02:22 11. 0:02:27 11... 0:02:20 12. 0:02:28 12... 0:02:22 13. 0:02:29 13... 0:02:22 14. 0:02:29 14... 0:02:22 15. 0:02:24 15... 0:02:19 16. 0:02:24 16... 0:02:19 17. 0:02:25 17... 0:02:19 18. 0:02:20 18... 0:02:11 19. 0:01:50 19... 0:02:03 20. 0:01:50 20... 0:01:54 21. 0:01:48 21... 0:01:42 22. 0:01:40 22... 0:01:29 23. 0:01:39 23... 0:01:30 24. 0:01:40 24... 0:01:23 25. 0:01:40 25... 0:01:23 26. 0:01:38 26... 0:01:19 27. 0:01:36 27... 0:01:15 28. 0:01:37 28... 0:01:08 29. 0:01:36 29... 0:01:07 30. 0:01:35 30... 0:01:07 31. 0:01:35 31... 0:01:01 32. 0:01:33 32... 0:01:00 33. 0:01:33 33... 0:00:53 34. 0:01:28 34... 0:00:51 35. 0:01:28 35... 0:00:51 36. 0:01:23 36... 0:00:50 37. 0:01:24 37... 0:00:51 38. 0:01:24 38... 0:00:46 39. 0:01:21 39... 0:00:43 40. 0:01:19 40... 0:00:42 41. 0:01:18 41... 0:00:38 42. 0:01:12 42... 0:00:38 43. 0:01:09 43... 0:00:35 44. 0:01:07 44... 0:00:35 45. 0:01:05 45... 0:00:33 46. 0:01:00 46... 0:00:30 47. 0:01:00 47... 0:00:29 48. 0:00:56 48... 0:00:22 49. 0:00:52 49... 0:00:22 50. 0:00:52 50... 0:00:14 51. 0:00:52 51... 0:00:15 52. 0:00:49 52... 0:00:16 53. 0:00:47 53... 0:00:16 54. 0:00:48 54... 0:00:17 55. 0:00:47 55... 0:00:17 56. 0:00:47 56... 0:00:15 57. 0:00:45 57... 0:00:15 58. 0:00:46 58... 0:00:14 59. 0:00:46 59... 0:00:14
Rated Blitz game,https://lichess.org/6U7xynqe,2024.08.01,-,Lesha7602,MishkaIsTheBest,0-1,2024.08.01,05:12:11,1502,1499,,,A04,Zukertort Opening: Sicilian Invitation,180+2,Normal,"1. Nf3 1... c5 2. d4 2... cxd4 3. Nxd4 3... Nc6 4. Nxc6 4... bxc6 5.
Nc3 5... Nf6 6. Bg5 6... e6 7. g3 7... Be7 8. Bg2 8... Bb7 9. e3 9... Rb8 10. h4 10... h6 11. Bf4 11... Bb4 12.
Bxb8 12... Qxb8 13. O-O 13... Qe5 14. Qe1 14... Ba6 15. f4 15... Qc5 16. Rf2 16... Ng4 17.
Rf3 17... d5 18. Bf1 18... Bxf1 19. Rxf1 19... Nxe3 20. Kh2 20... Nxc2 21.
Qc1 21... Ne3 22. Re1 22... Nf5 23. Qd2 23... d4 24. a3 24... Bxc3 25.
bxc3 25... dxc3 26. Qc2 26... O-O 27. Re5 27... Qd4 28. Rd1 28... Qc4 29. Rd3 29... f6 30.
Rxc3 30... Qa6 31. Re2 31... Nd4 32. Qd3 32... Qxd3 33. Rxd3 33... Nxe2 34. Kg2 34... c5 35. Kf3 35... Nd4 36. Ke3 36... Nf5 37. Ke4 37... Rc8 38. g4 38... Nxh4 39.
g5 39... f5 40. Ke5 40... Kf7 41. Rd7 41... Kg6 42. Kxe6 42... Nf3 43.
Rd6 43... Re8 44. Kd7 44... Kf7 45. g6 45... Kf8 46. Kc7 46... Re7 47. Kc6 47... c4 48.
Rd8 48... Re8 49. Rd7 49... c3 50. Rd3 50... Re6 51. Kd5 51... Rxg6 52.
Rxc3 52... Nh4 53. Ke5 53... Nf3 54. Kxf5 54... Rf6 55. Ke4 55... Nh4 56.
Rc8 56... Kf7 57. Rc7 57... Kg6 58. Rc5 58... Re6 59. Kd5 59... Rf6 60. Ke5 60... Rf5 61.
Kd6 61... Rxc5 62. Kxc5 62... Kf5 63. Kd5 63... Kxf4 64. a4 64... g5 65. a5 65... g4 66.
Kc6 66... g3 67. a6 67... g2 68. Kb7 68... g1=Q",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:03:00 3. 0:02:57 3... 0:03:02 4. 0:02:57 4... 0:03:04 5. 0:02:56 5... 0:03:05 6. 0:02:56 6... 0:02:59 7. 0:02:56 7... 0:02:59 8. 0:02:55 8... 0:02:54 9. 0:02:54 9... 0:02:54 10. 0:02:55 10... 0:02:51 11. 0:02:50 11... 0:02:40 12. 0:02:49 12... 0:02:39 13. 0:02:46 13... 0:02:38 14. 0:02:43 14... 0:02:35 15. 0:02:35 15... 0:02:18 16. 0:02:32 16... 0:02:11 17. 0:02:29 17... 0:01:49 18. 0:02:29 18... 0:01:41 19. 0:02:29 19... 0:01:31 20. 0:02:26 20... 0:01:22 21. 0:02:21 21... 0:01:10 22. 0:02:08 22... 0:00:55 23. 0:01:55 23... 0:00:48 24. 0:01:54 24... 0:00:43 25. 0:01:55 25... 0:00:43 26. 0:01:37 26... 0:00:37 27. 0:01:38 27... 0:00:27 28. 0:01:34 28... 0:00:22 29. 0:01:27 29... 0:00:21 30. 0:01:26 30... 0:00:16 31. 0:01:15 31... 0:00:11 32. 0:01:01 32... 0:00:10 33. 0:01:02 33... 0:00:10 34. 0:00:59 34... 0:00:11 35. 0:00:59 35... 0:00:11 36. 0:01:00 36... 0:00:10 37. 0:01:00 37... 0:00:11 38. 0:00:56 38... 0:00:11 39. 0:00:56 39... 0:00:11 40. 0:00:57 40... 0:00:10 41. 0:00:56 41... 0:00:10 42. 0:00:55 42... 0:00:10 43. 0:00:51 43... 0:00:10 44. 0:00:51 44... 0:00:10 45. 0:00:50 45... 0:00:11 46. 0:00:39 46... 0:00:10 47. 0:00:37 47... 0:00:11 48. 0:00:37 48... 0:00:11 49. 0:00:35 49... 0:00:11 50. 0:00:32 50... 0:00:10 51. 0:00:32 51... 0:00:11 52. 0:00:33 52... 0:00:11 53. 0:00:31 53... 0:00:11 54. 0:00:30 54... 0:00:11 55. 0:00:30 55... 0:00:10 56. 0:00:29 56... 0:00:11 57. 0:00:27 57... 0:00:12 58. 0:00:27 58... 0:00:12 59. 0:00:26 59... 0:00:12 60. 0:00:26 60... 0:00:13 61. 0:00:26 61... 0:00:12 62. 0:00:27 62... 0:00:13 63. 0:00:27 63... 0:00:12 64. 0:00:29 64... 0:00:13 65. 0:00:30 65... 0:00:15 66. 0:00:31 66... 0:00:16 67. 0:00:33 67... 0:00:17 68. 0:00:35 68... 0:00:17
