Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Rated Blitz game,https://lichess.org/LirhOPkw,2024.08.01,-,Facocerorugoso,elbeham,0-1,2024.08.01,02:21:04,1696,1575,,,A40,English Defense,180+2,Normal,"1. d4 1... b6 2. Nc3 2... Bb7 3. e4 3... e6 4. Bd3 4... d5 5. e5 5... c5 6. dxc5 6... Bxc5 7. Qe2 7... Ne7 8. Be3 8... d4 9. Bb5 9...
Nd7 10. Bxd7 10... Qxd7 11. Rd1 11... Bxg2 12.
Bg5 12... Bxh1 13. f3 13... O-O 14. Ne4 14... Nf5 15. Nh3 15... h6 16.
Bd2 16... Nh4 17. Ng1 17... Rad8 18. Qf2 18... g5 19. Ke2 19... d3 20.
Kf1 20... Bxf2 21. Kxf2 21... dxc2 22. Rc1 22... f5 23. Nf6 23... Rxf6 24. exf6 24... Qd4 25. Be3 25... Qxb2 26. Ne2 26... f4 27. Nxf4 27... gxf4 28. Bxf4 28... Bxf3",1. 0:03:00 1... 0:03:00 2. 0:02:57 2... 0:03:00 3. 0:02:58 3... 0:03:00 4. 0:03:00 4... 0:03:01 5. 0:03:00 5... 0:03:01 6. 0:02:58 6... 0:03:02 7. 0:02:55 7... 0:02:57 8. 0:02:55 8... 0:02:53 9. 0:02:44 9... 0:02:40 10. 0:02:40 10... 0:02:37 11. 0:02:40 11... 0:02:33 12. 0:02:16 12... 0:02:24 13. 0:02:17 13... 0:02:14 14. 0:02:14 14... 0:01:57 15. 0:02:01 15... 0:01:44 16. 0:01:50 16... 0:01:12 17. 0:01:38 17... 0:01:01 18. 0:01:34 18... 0:00:49 19. 0:01:26 19... 0:00:49 20. 0:00:58 20... 0:00:48 21. 0:00:57 21... 0:00:48 22. 0:00:55 22... 0:00:45 23. 0:00:42 23... 0:00:45 24. 0:00:44 24... 0:00:42 25. 0:00:39 25... 0:00:43 26. 0:00:34 26... 0:00:41 27. 0:00:28 27... 0:00:37 28. 0:00:30 28... 0:00:36
Rated Blitz game,https://lichess.org/JKUhcnEw,2024.08.01,-,cyberslayer,Gideonbob,0-1,2024.08.01,02:21:05,2049,2047,,,B01,"Scandinavian Defense: Portuguese Gambit, Banker Variation",180+2,Normal,"1. e4 1... d5 2. exd5 2... Nf6 3. d4 3... Bg4 4. f3 4... Bf5 5. c4 5... e6 6. dxe6 6...
Nc6 7. e7 7... Bxe7 8.
d5 8... Nb4 9. Na3 9... Bc5 10. Bd2 10... Nd3 11. Bxd3 11... Bxd3 12. Bc3 12... Qe7",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:01 3... 0:03:01 4. 0:03:00 4... 0:03:02 5. 0:02:59 5... 0:03:03 6. 0:02:55 6... 0:03:05 7. 0:02:56 7... 0:02:42 8. 0:02:47 8... 0:02:41 9. 0:02:47 9... 0:02:34 10. 0:02:41 10... 0:02:31 11. 0:02:41 11... 0:02:32 12. 0:02:33 12... 0:02:29
Rated Blitz game,https://lichess.org/D0pKlxTr,2024.08.01,-,Rhon_27,PanayiotisDoukas00,1-0,2024.08.01,02:21:05,1711,1646,,,D00,Queen's Pawn Game: Accelerated London System,180+2,Normal,"1. d4 1... d5 2. Bf4 2... Nc6 3. Nf3 3... Nf6 4. e3 4... Bf5 5. Bd3 5... Bg6 6. O-O 6...
e6 7. Nc3 7... Bb4 8.
Nb5 8... Bd6 9. Bxd6 9... cxd6 10. Bxg6 10... hxg6 11. c3 11... a6 12.
Na3 12... Ne4 13. Nd2 13... Nxd2 14. Qxd2 14... Qh4 15. h3 15... g5 16. f3 16... f5 17. Qf2 17...
Qxf2 18. Rxf2 18... g6 19. Re1 19... O-O-O 20. c4 20... dxc4 21. Nxc4 21... b5 22. Nd2 22...
Kb7 23. Rc1 23... Rc8 24. Nb3 24... Rhe8 25. Rfc2 25... e5 26. d5 26...
Nb4 27. Na5 27... Kb6 28. Rxc8 28... Rxc8 29. Rxc8 29... Kxa5 30. Rg8 30... Nxd5 31. Rxg6 31... Nxe3 32. Rxd6 32... Nc4 33.
Rd5 33... Nxb2 34. Rxe5 34... g4 35. fxg4 35... fxg4 36. h4 36... Ka4 37. h5 37... b4 38.
Re4 38... Ka3 39. h6 39... a5 40. h7 40... Kxa2 41. h8=Q 41... b3 42.
Re2 42... a4 43. Qxb2",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:01 3. 0:03:02 3... 0:03:02 4. 0:03:03 4... 0:03:04 5. 0:03:02 5... 0:03:05 6. 0:02:59 6... 0:02:43 7. 0:02:54 7... 0:02:39 8. 0:02:54 8... 0:02:26 9. 0:02:50 9... 0:02:27 10. 0:02:44 10... 0:02:28 11. 0:02:42 11... 0:02:28 12. 0:02:41 12... 0:02:27 13. 0:02:40 13... 0:02:27 14. 0:02:40 14... 0:02:28 15. 0:02:39 15... 0:02:29 16. 0:02:37 16... 0:02:30 17. 0:02:39 17... 0:02:30 18. 0:02:39 18... 0:02:32 19. 0:02:38 19... 0:02:32 20. 0:02:36 20... 0:02:33 21. 0:02:38 21... 0:02:32 22. 0:02:32 22... 0:02:33 23. 0:02:33 23... 0:02:33 24. 0:02:35 24... 0:02:23 25. 0:02:33 25... 0:02:21 26. 0:02:12 26... 0:02:23 27. 0:02:12 27... 0:02:20 28. 0:02:12 28... 0:02:20 29. 0:02:14 29... 0:02:21 30. 0:02:13 30... 0:02:22 31. 0:02:14 31... 0:02:23 32. 0:02:13 32... 0:02:24 33. 0:02:13 33... 0:02:25 34. 0:02:14 34... 0:02:24 35. 0:02:14 35... 0:02:25 36. 0:02:14 36... 0:02:24 37. 0:02:15 37... 0:02:25 38. 0:02:14 38... 0:02:23 39. 0:02:14 39... 0:02:23 40. 0:02:14 40... 0:02:24 41. 0:02:13 41... 0:02:25 42. 0:02:12 42... 0:02:25 43. 0:02:11
Rated Blitz game,https://lichess.org/9XMYVjgI,2024.08.01,-,Xpawn70,brausefrosch,1/2-1/2,2024.08.01,02:21:15,1909,1885,,,C78,Ruy Lopez: Morphy Defense,180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bb5 3... a6 4. Ba4 4... Nf6 5. O-O 5... b5 6. Bb3 6...
Nxe4 7. Re1 7... d5 8.
d3 8... Nc5 9. Nxe5 9... Nxe5 10. Rxe5 10... Be7 11. Bxd5 11... Bb7 12.
Nc3 12... O-O 13. Bxb7 13... Nxb7 14. Qe2 14... Bf6 15. Re4 15... Nd6 16.
Rg4 16... Nf5 17. Ne4 17... Nd4 18. Qd2 18... Be5 19. f4 19... Bd6 20.
c3 20... Ne6 21. Qf2 21... f5 22. Nxd6 22... fxg4 23. Ne4 23... Qxd3 24.
Ng3 24... Qd1 25. Qf1 25... Qxf1 26. Nxf1 26... Nxf4 27. Ne3 27... Ne2 28.
Kh1 28... Rae8 29. Bd2 29... Rf2 30. Nxg4 30... Ng3 31. hxg3 31... Rxd2 32. b3 32... Ree2 33. Rg1 33... Rxa2 34. Nh2 34... Reb2 35. b4 35... Rc2 36. Nf3 36... Rxc3 37.
Nd4 37... Rxg3 38. Kh2 38... Rd3 39. Ne6 39... Rc2 40. Rf1 40... h6 41.
Rf8 41... Kh7 42. Rf7 42... Kg6 43. Rf1 43... Rdd2 44. Rg1 44... Rb2 45.
Nxc7 45... Rxb4 46. Nxa6 46... Rbb2 47. Nc5 47... Rxg2 48. Rxg2 48... Rxg2 49. Kxg2 49... Kf5 50.
Kf3 50... Ke5 51. Kg4 51... g5 52. Kh5 52... Kd4 53. Nb3 53... Kc3 54.
Nc1 54... b4 55. Kxh6 55... g4 56. Kh5 56... g3 57. Ne2 57... Kd2 58.
Nxg3 58... b3 59. Ne4 59... Kd3 60. Nc5 60... Kc4 61. Nxb3",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:03:00 3. 0:02:59 3... 0:02:57 4. 0:02:59 4... 0:02:58 5. 0:03:00 5... 0:02:57 6. 0:02:59 6... 0:02:54 7. 0:02:59 7... 0:02:53 8. 0:02:59 8... 0:02:49 9. 0:02:57 9... 0:02:49 10. 0:02:57 10... 0:02:43 11. 0:02:50 11... 0:02:36 12. 0:02:46 12... 0:02:30 13. 0:02:38 13... 0:02:30 14. 0:02:37 14... 0:02:29 15. 0:02:34 15... 0:02:24 16. 0:02:29 16... 0:02:17 17. 0:02:22 17... 0:02:03 18. 0:02:20 18... 0:01:53 19. 0:02:17 19... 0:01:41 20. 0:02:15 20... 0:01:15 21. 0:02:10 21... 0:01:10 22. 0:01:55 22... 0:01:00 23. 0:01:47 23... 0:00:58 24. 0:01:42 24... 0:00:56 25. 0:01:40 25... 0:00:56 26. 0:01:42 26... 0:00:54 27. 0:01:40 27... 0:00:51 28. 0:01:39 28... 0:00:50 29. 0:01:15 29... 0:00:32 30. 0:01:09 30... 0:00:31 31. 0:01:09 31... 0:00:32 32. 0:01:05 32... 0:00:31 33. 0:01:03 33... 0:00:31 34. 0:01:01 34... 0:00:26 35. 0:00:59 35... 0:00:27 36. 0:00:59 36... 0:00:25 37. 0:00:49 37... 0:00:19 38. 0:00:38 38... 0:00:15 39. 0:00:37 39... 0:00:15 40. 0:00:34 40... 0:00:08 41. 0:00:34 41... 0:00:08 42. 0:00:35 42... 0:00:04 43. 0:00:29 43... 0:00:04 44. 0:00:26 44... 0:00:03 45. 0:00:25 45... 0:00:04 46. 0:00:25 46... 0:00:06 47. 0:00:24 47... 0:00:07 48. 0:00:25 48... 0:00:07 49. 0:00:27 49... 0:00:07 50. 0:00:27 50... 0:00:09 51. 0:00:28 51... 0:00:09 52. 0:00:29 52... 0:00:10 53. 0:00:29 53... 0:00:10 54. 0:00:30 54... 0:00:11 55. 0:00:31 55... 0:00:12 56. 0:00:30 56... 0:00:13 57. 0:00:31 57... 0:00:12 58. 0:00:32 58... 0:00:13 59. 0:00:29 59... 0:00:14 60. 0:00:30 60... 0:00:15 61. 0:00:30
Rated Blitz game,https://lichess.org/p3uLRg2E,2024.08.01,-,Orguim,wensly,1-0,2024.08.01,02:21:15,1920,1917,,,A01,Nimzo-Larsen Attack: Classical Variation,180+2,Time forfeit,"1. b3 1... d5 2. Bb2 2... Bf5 3. e3 3... e6 4. h3 4... Nf6 5. g4 5... Bg6 6. Nf3 6... c6 7. Ne5 7... Be4 8. f3 8... Nfd7 9. Nxd7 9...
Qh4 10. Ke2 10... Bxf3 11. Kxf3 11... Nxd7 12. Na3 12... Bd6 13. Qe1 13... Qh6 14. Kg2 14... f5 15. Be2 15... O-O 16. Rf1 16... fxg4 17.
Bxg4 17... Nf6 18. Bxe6 18... Kh8 19. Bxf6 19... Rxf6 20. Rxf6 20... Qxf6 21. Bg4 21... Bxa3 22.
Qf1 22... Qb2 23. Re1 23... Qxc2 24. Re2 24... Rf8 25. Rf2 25... Qe4 26.
Bf3 26... Qg6 27. Kh2 27... Bd6 28. Kh1 28... Qg3 29. Qg2 29... Qh4 30.
Rf1 30... Rf6 31. Bg4 31... h6 32. Rxf6 32... Qxf6 33. Qf3 33... Qe5 34.
Qf2 34... Qa1 35. Kg2 35... Qe5 36. Kf1 36... Kh7 37. Qf5 37... g6 38.
Qxe5 38... Bxe5 39. d4 39... Bd6 40. Ke2 40... Kg7 41. Bc8 41... b6 42.
Bb7 42... Kf6 43. Bxc6 43... Ke6 44. Be8 44... g5 45. Bg6 45... Kf6 46.
Bh7 46... Kg7 47. Bf5 47... Kf6 48. Bg4 48... Ba3 49. Kf3 49... Bd6 50.
e4 50... dxe4 51. Kxe4 51... Ba3 52. Kd5",1. 0:03:00 1... 0:03:00 2. 0:03:02 2... 0:03:01 3. 0:03:04 3... 0:03:00 4. 0:03:04 4... 0:03:00 5. 0:03:06 5... 0:03:01 6. 0:03:04 6... 0:02:54 7. 0:03:03 7... 0:02:48 8. 0:03:04 8... 0:02:33 9. 0:03:01 9... 0:02:31 10. 0:02:57 10... 0:02:13 11. 0:02:58 11... 0:02:14 12. 0:02:51 12... 0:02:09 13. 0:02:49 13... 0:02:08 14. 0:02:46 14... 0:02:03 15. 0:02:38 15... 0:02:01 16. 0:02:30 16... 0:01:47 17. 0:02:28 17... 0:01:44 18. 0:02:27 18... 0:01:45 19. 0:02:10 19... 0:01:30 20. 0:02:10 20... 0:01:29 21. 0:02:07 21... 0:01:29 22. 0:01:49 22... 0:01:27 23. 0:01:37 23... 0:01:21 24. 0:01:37 24... 0:01:19 25. 0:01:37 25... 0:01:02 26. 0:01:31 26... 0:00:59 27. 0:01:28 27... 0:00:58 28. 0:01:29 28... 0:00:56 29. 0:00:48 29... 0:00:24 30. 0:00:35 30... 0:00:22 31. 0:00:33 31... 0:00:10 32. 0:00:32 32... 0:00:12 33. 0:00:32 33... 0:00:04 34. 0:00:21 34... 0:00:03 35. 0:00:21 35... 0:00:05 36. 0:00:19 36... 0:00:05 37. 0:00:19 37... 0:00:05 38. 0:00:20 38... 0:00:07 39. 0:00:21 39... 0:00:06 40. 0:00:22 40... 0:00:07 41. 0:00:23 41... 0:00:05 42. 0:00:24 42... 0:00:05 43. 0:00:25 43... 0:00:04 44. 0:00:26 44... 0:00:05 45. 0:00:27 45... 0:00:03 46. 0:00:26 46... 0:00:04 47. 0:00:26 47... 0:00:05 48. 0:00:26 48... 0:00:03 49. 0:00:23 49... 0:00:03 50. 0:00:23 50... 0:00:04 51. 0:00:25 51... 0:00:03 52. 0:00:26
Rated Blitz game,https://lichess.org/fXuO9EoK,2024.08.01,-,mance100,PolPaez,0-1,2024.08.01,02:21:15,1923,1939,,,A40,Englund Gambit Declined: Reversed French,180+2,Normal,"1. d4 1... e5 2. e3 2... exd4 3. exd4 3... Nf6 4. f4 4... d5 5. Nf3 5... Nc6 6. c3 6...
Bd6 7. Bd3 7... O-O 8.
O-O 8... Re8 9. Ne5 9... Ne4 10. Nd2 10... f5 11. Qb3 11... Nf6 12.
Ndf3 12... Na5 13. Qc2 13... c5 14. Bxf5 14... cxd4 15. cxd4 15... Bxf5 16. Qxf5 16... Nc4 17. b3 17... Na3 18. Bxa3 18... Bxa3 19. Rad1 19... Qb6 20. Kh1 20... Rad8 21.
h3 21... Rf8 22. Qd3 22... Ne4 23. Kh2 23... Rxf4 24. Qe3 24... Rdf8 25.
Nd7 25... Qd6 26. Nxf8 26... Rxf3 27. Kg1 27... Rxe3 28. Rc1 28... Bxc1 29.
Rxc1 29... Rc3",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:02:58 3. 0:03:02 3... 0:02:59 4. 0:03:03 4... 0:03:00 5. 0:03:04 5... 0:03:01 6. 0:03:04 6... 0:03:00 7. 0:03:04 7... 0:03:02 8. 0:03:05 8... 0:03:03 9. 0:03:05 9... 0:03:01 10. 0:03:02 10... 0:03:02 11. 0:03:01 11... 0:02:55 12. 0:02:59 12... 0:02:53 13. 0:02:59 13... 0:02:53 14. 0:02:56 14... 0:02:53 15. 0:02:49 15... 0:02:44 16. 0:02:50 16... 0:02:35 17. 0:02:47 17... 0:02:23 18. 0:02:40 18... 0:02:25 19. 0:02:40 19... 0:02:26 20. 0:02:40 20... 0:02:26 21. 0:02:31 21... 0:02:27 22. 0:02:25 22... 0:02:26 23. 0:02:23 23... 0:02:26 24. 0:02:12 24... 0:02:26 25. 0:02:07 25... 0:02:14 26. 0:02:07 26... 0:02:14 27. 0:01:58 27... 0:02:15 28. 0:01:47 28... 0:02:06 29. 0:01:48 29... 0:02:07
Rated Blitz game,https://lichess.org/CQcBrcNT,2024.08.01,-,Jbrudney,juanma_21century,0-1,2024.08.01,02:21:15,1791,1801,,,A80,Dutch Defense,180+2,Normal,"1. d4 1... f5 2. Bf4 2... Nf6 3. e3 3... g6 4. c3 4... Bg7 5. Bd3 5... O-O 6. h4 6... Nh5 7. Bh2 7... d6 8. Nf3 8... c6 9. Ng5 9... e5 10. dxe5 10... dxe5 11. Qb3 11... Kh8 12. Bc4 12... Na6 13. Nf7 13... Rxf7 14. Bxf7 14... Nc5 15. Qc2 15... Qd7 16.
Bc4 16... f4 17. exf4 17... Nxf4 18. O-O 18... Qg4 19. Bxf4 19... exf4 20. g3 20... fxg3 21. fxg3 21... Qxg3 22. Qg2 22... Qxh4 23. Nd2 23... Bf5 24. Nf3 24... Qxc4 25.
Ng5 25... Re8 26. Qh2 26... h6 27. b3 27... Qg4 28. Qg2 28... Qxg5 29.
Qxg5 29... hxg5",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:01 3... 0:03:02 4. 0:03:02 4... 0:03:03 5. 0:03:03 5... 0:03:04 6. 0:03:04 6... 0:03:04 7. 0:02:59 7... 0:03:05 8. 0:02:58 8... 0:03:05 9. 0:02:58 9... 0:02:57 10. 0:02:54 10... 0:02:58 11. 0:02:52 11... 0:02:48 12. 0:02:53 12... 0:02:05 13. 0:02:51 13... 0:02:07 14. 0:02:53 14... 0:02:07 15. 0:02:51 15... 0:01:49 16. 0:02:49 16... 0:01:42 17. 0:02:44 17... 0:01:36 18. 0:02:44 18... 0:01:30 19. 0:02:36 19... 0:01:30 20. 0:02:36 20... 0:01:22 21. 0:02:32 21... 0:01:14 22. 0:02:32 22... 0:01:15 23. 0:02:10 23... 0:01:15 24. 0:02:09 24... 0:01:10 25. 0:02:03 25... 0:00:30 26. 0:01:59 26... 0:00:23 27. 0:01:57 27... 0:00:22 28. 0:01:56 28... 0:00:23 29. 0:01:54 29... 0:00:25
Rated Blitz game,https://lichess.org/1ztTbZxh,2024.08.01,-,Baermin,lima1733,0-1,2024.08.01,02:21:15,1497,1540,,,C25,Vienna Game,180+2,Normal,"1. e4 1... e5 2. Nc3 2... g6 3. f3 3... Bg7 4. Bc4 4... d6 5. Nge2 5... Nc6 6. d3 6... Nge7 7. a3 7... a6 8. Bg5 8... h6 9. Be3 9...
Be6 10. Bxe6 10... fxe6 11. h4 11... Qd7 12.
h5 12... g5 13. Qd2 13... O-O-O 14. O-O-O 14... d5 15. Kb1 15... d4 16.
Bxg5 16... hxg5 17. Qxg5 17... dxc3 18. Qxg7 18... cxb2 19. h6 19... Rdg8 20. Qf6 20... Nd4 21.
Nc3 21... Nxc2 22. Kxc2 22... Rxg2 23. Kb1 23... Nc6 24. Qxh8 24... Nd8 25. Rdg1 25... Qxd3 26. Ka2 26... Qc4 27. Kb1 27... Qd3 28. Ka2 28... b1=Q",1. 0:03:00 1... 0:03:00 2. 0:02:58 2... 0:02:54 3. 0:02:47 3... 0:02:54 4. 0:02:45 4... 0:02:51 5. 0:02:36 5... 0:02:47 6. 0:02:36 6... 0:02:46 7. 0:02:38 7... 0:02:45 8. 0:02:38 8... 0:02:43 9. 0:02:35 9... 0:02:42 10. 0:02:32 10... 0:02:41 11. 0:02:34 11... 0:02:40 12. 0:02:34 12... 0:02:40 13. 0:02:07 13... 0:02:23 14. 0:02:03 14... 0:02:18 15. 0:01:56 15... 0:02:17 16. 0:01:34 16... 0:02:14 17. 0:01:36 17... 0:02:11 18. 0:01:36 18... 0:02:12 19. 0:01:29 19... 0:02:00 20. 0:01:27 20... 0:01:51 21. 0:01:05 21... 0:01:33 22. 0:00:59 22... 0:01:32 23. 0:00:58 23... 0:01:14 24. 0:00:57 24... 0:01:13 25. 0:00:51 25... 0:01:06 26. 0:00:46 26... 0:00:59 27. 0:00:45 27... 0:00:55 28. 0:00:44 28... 0:00:49
Rated Blitz game,https://lichess.org/COEkHGIu,2024.08.01,-,pbrask2,andresote22,1-0,2024.08.01,02:21:15,1633,1555,,,C41,Philidor Defense,180+2,Time forfeit,"1. e4 1... e5 2. Bc4 2... d6 3. Nf3 3... Be7 4. O-O 4... Nf6 5.
Bxf7 5... Kxf7 6. d3 6... h6 7. Nc3 7... Bg4 8. Nd5 8... Rf8 9. h3 9... Bh5 10. g4 10...
Bg6 11. Nh4 11... Nxd5 12. exd5 12... Bh7 13. Nf5 13... Kg8 14. Nxe7 14... Qxe7 15. g5 15... hxg5 16. Qh5 16... Rf5 17.
Bd2 17... Bg6 18. Qxg6 18... e4 19. Qxf5 19... e3 20. Bxe3 20... Qe6 21.
Qxe6 21... Kh8 22. Qe8 22... Kh7 23. Bxg5 23... Nd7 24. Qxa8 24... Nb8 25. Qxb8",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:02 3... 0:03:02 4. 0:03:02 4... 0:03:04 5. 0:02:58 5... 0:03:02 6. 0:02:59 6... 0:03:01 7. 0:03:00 7... 0:03:00 8. 0:03:00 8... 0:02:51 9. 0:02:58 9... 0:02:48 10. 0:02:59 10... 0:02:47 11. 0:02:58 11... 0:02:44 12. 0:02:57 12... 0:02:41 13. 0:02:38 13... 0:02:37 14. 0:02:23 14... 0:02:36 15. 0:02:22 15... 0:02:34 16. 0:02:22 16... 0:02:24 17. 0:01:53 17... 0:02:19 18. 0:01:51 18... 0:02:09 19. 0:01:51 19... 0:02:05 20. 0:01:50 20... 0:02:04 21. 0:01:51 21... 0:02:00 22. 0:01:51 22... 0:01:58 23. 0:01:50 23... 0:01:59 24. 0:01:49 24... 0:01:58 25. 0:01:49
Rated Blitz game,https://lichess.org/voT7Z1yG,2024.08.01,-,Noname2023,raviom,1-0,2024.08.01,02:21:15,2123,2039,,,B23,Sicilian Defense: Closed,180+2,Normal,"1. e4 1... c5 2. Nc3 2... e6 3. Nge2 3... d6 4. g3 4... g6 5. Bg2 5... Bg7 6. O-O 6...
Nc6 7. d3 7... Nf6 8.
f4 8... Rb8 9. h3 9...
O-O 10. g4 10... Nd7 11. Ng3 11... Nd4 12. Nce2 12... b5 13. c3 13...
Nxe2 14. Qxe2 14... b4 15. Bd2 15... a5 16.
f5 16... a4 17. a3 17... bxc3 18. Bxc3 18... Bxc3 19. bxc3 19... e5 20.
g5 20... Qxg5 21. Kh2 21... Nf6 22. Rg1 22... Qh6 23. Raf1 23... Ba6 24.
Bh1 24... Rb3 25. fxg6 25... fxg6 26. Nf5 26... Qh5 27. Bf3 27... Rfb8 28.
Bxh5 28... Rb2 29. Nxd6 29... Nxh5 30. Qxb2 30... Rxb2 31. Rg2 31... Rxg2 32. Kxg2 32... Nf4 33. Kf3 33... Bxd3 34. Rh1 34... Kf8 35. Nb7 35... c4 36. Nc5 36... Be2 37. Ke3 37... Ke7 38.
Nxa4 38... Kd6 39. Nb6 39... Bd3 40. a4 40... g5 41. a5 41... Kc6 42.
Ra1 42... Nxh3 43. a6 43... Kxb6 44. a7 44... Bxe4 45. Kxe4",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:02:58 3... 0:03:02 4. 0:02:59 4... 0:03:04 5. 0:03:00 5... 0:03:05 6. 0:03:01 6... 0:03:07 7. 0:03:03 7... 0:03:08 8. 0:03:04 8... 0:03:06 9. 0:03:04 9... 0:03:03 10. 0:03:02 10... 0:03:01 11. 0:03:02 11... 0:03:00 12. 0:03:02 12... 0:02:59 13. 0:03:03 13... 0:03:00 14. 0:03:03 14... 0:02:59 15. 0:03:00 15... 0:02:58 16. 0:02:58 16... 0:02:40 17. 0:02:52 17... 0:02:26 18. 0:02:37 18... 0:02:26 19. 0:02:36 19... 0:01:59 20. 0:02:30 20... 0:01:57 21. 0:02:22 21... 0:01:41 22. 0:02:11 22... 0:01:34 23. 0:02:04 23... 0:01:31 24. 0:01:39 24... 0:01:26 25. 0:01:39 25... 0:01:26 26. 0:01:39 26... 0:01:04 27. 0:01:40 27... 0:00:51 28. 0:01:21 28... 0:00:51 29. 0:01:19 29... 0:00:48 30. 0:01:09 30... 0:00:48 31. 0:01:08 31... 0:00:42 32. 0:01:07 32... 0:00:44 33. 0:01:04 33... 0:00:44 34. 0:00:48 34... 0:00:34 35. 0:00:43 35... 0:00:32 36. 0:00:41 36... 0:00:31 37. 0:00:37 37... 0:00:28 38. 0:00:37 38... 0:00:29 39. 0:00:32 39... 0:00:25 40. 0:00:28 40... 0:00:22 41. 0:00:24 41... 0:00:22 42. 0:00:21 42... 0:00:19 43. 0:00:16 43... 0:00:15 44. 0:00:16 44... 0:00:07 45. 0:00:15
