Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Rated Blitz game,https://lichess.org/KoBHPlrN,2024.08.01,-,Mubaig,yashek,0-1,2024.08.01,17:19:02,1665,1694,,,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+2,Normal,"1. e4 1... d5 2. exd5 2... Qxd5 3. Nc3 3... Qe5 4. Nge2 4... Bg4 5. f3 5... Bh5 6. d4 6...
Qa5 7. Bd2 7... Nd7 8.
Ne4 8... Qb6 9. Bc3 9... O-O-O 10. Qd3 10... Ndf6 11. O-O-O 11... Bg6 12. Nf4 12... Nd5 13. Nxd5 13... Rxd5 14. Qe3 14... e5 15. dxe5 15... Qxe3",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:03:01 3. 0:03:00 3... 0:02:55 4. 0:02:56 4... 0:02:53 5. 0:02:56 5... 0:02:49 6. 0:02:56 6... 0:02:38 7. 0:02:50 7... 0:02:25 8. 0:02:49 8... 0:02:19 9. 0:02:38 9... 0:02:18 10. 0:02:27 10... 0:02:15 11. 0:02:26 11... 0:02:12 12. 0:02:07 12... 0:02:02 13. 0:02:03 13... 0:02:01 14. 0:01:54 14... 0:01:54 15. 0:01:52 15... 0:01:53
Rated Blitz game,https://lichess.org/sWUIED7r,2024.08.01,-,roodhan,chessbengal,1/2-1/2,2024.08.01,17:19:04,1662,1601,,,A45,Indian Defense,180+2,Normal,"1. d4 1... Nf6 2. Bf4 2... d5 3. c3 3... c6 4. Nd2 4... Nbd7 5. Ngf3 5... h6 6. e3 6... g5 7. Bg3 7... Bg7 8. Bd3 8... Qb6 9. Rb1 9...
O-O 10. h4 10... g4 11. Ne5 11... h5 12. f3 12... Nxe5 13. Bxe5 13... gxf3 14. Nxf3 14... Bg4 15. Bxf6 15... Bxf6 16. Qc2 16... Rae8 17. Bh7 17... Kg7 18. Ng5 18... Bxg5 19. hxg5 19... e5 20. O-O 20... e4 21.
Bf5 21... Bxf5 22. Rxf5 22... Re6 23. Rbf1 23... Qd8 24. Qe2 24... h4 25. Qh5 25... Rg6 26.
Qxh4 26... Qa5 27. Rxf7 27... Rxf7 28. Rxf7 28... Kxf7 29. Qh7 29... Rg7 30. Qf5 30... Kg8 31.
Qe6 31... Kh7 32. Qh6 32... Kg8 33. Qe6 33... Kh7 34. Qh6 34... Kg8 35. Qe6",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:01 3. 0:02:57 3... 0:03:01 4. 0:02:57 4... 0:03:01 5. 0:02:54 5... 0:03:02 6. 0:02:54 6... 0:03:03 7. 0:02:53 7... 0:03:05 8. 0:02:48 8... 0:03:04 9. 0:02:43 9... 0:03:01 10. 0:02:37 10... 0:03:01 11. 0:02:37 11... 0:03:00 12. 0:02:25 12... 0:02:59 13. 0:02:14 13... 0:02:47 14. 0:02:13 14... 0:02:47 15. 0:02:02 15... 0:02:48 16. 0:02:03 16... 0:02:44 17. 0:01:57 17... 0:02:44 18. 0:01:58 18... 0:02:36 19. 0:01:58 19... 0:02:31 20. 0:01:25 20... 0:02:30 21. 0:01:20 21... 0:02:24 22. 0:01:21 22... 0:02:18 23. 0:01:19 23... 0:02:14 24. 0:01:12 24... 0:02:07 25. 0:01:08 25... 0:02:04 26. 0:00:58 26... 0:01:35 27. 0:00:47 27... 0:01:33 28. 0:00:49 28... 0:01:34 29. 0:00:47 29... 0:01:35 30. 0:00:48 30... 0:01:34 31. 0:00:47 31... 0:01:34 32. 0:00:47 32... 0:01:34 33. 0:00:48 33... 0:01:35 34. 0:00:46 34... 0:01:35 35. 0:00:46
Rated Blitz game,https://lichess.org/yknYA1rB,2024.08.01,-,KMURPHY245,Gregory_Gorky,0-1,2024.08.01,17:19:04,1170,1141,,,B01,Scandinavian Defense: Modern Variation,180+2,Normal,"1. e4 1... d5 2. exd5 2... Nf6 3. Nc3 3... Nxd5 4. Bc4 4... Nxc3 5. bxc3 5...
Nc6 6. Qf3 6... Ne5 7. Qf4 7... Qd6 8.
Qd4 8... Qxd4 9. cxd4 9...
Nxc4 10. Nf3 10... Bg4 11. d3 11... Bxf3 12. gxf3 12... Nb6 13. Bf4 13...
O-O-O 14. Be3 14... e6 15. O-O 15... Be7 16.
c4 16... Nd7 17. d5 17... exd5 18. Bxa7 18... dxc4 19. dxc4 19... Ne5 20.
c5 20... Nd3 21. c6 21... b6 22. Rab1 22... Bc5 23. a4 23... Rd6 24.
a5 24... Rxc6 25. axb6 25... Kb7 26. Rfd1 26...
Rd8 27. bxc7 27... Kxc7 28. Rxd3 28... Bxa7 29. Rdb3 29... Rb8 30. Kg2 30...
Rxb3 31. Rxb3 31... Rc2 32. Re3 32... Rxf2 33. Kxf2 33... Bxe3 34. Kxe3 34... Kd6 35. Kf4 35... Ke6 36.
h4 36... f6 37. h5 37... g6 38. hxg6 38... hxg6 39. Kg4 39... f5 40. Kg5 40... Kf7 41. f4 41... Kg7 42. Kh4 42...
Kh6 43. Kg3 43... Kh5 44. Kh3 44... g5 45. fxg5 45... Kxg5 46. Kg3 46... f4 47. Kg2 47... Kg4 48. Kh2 48... Kf3 49. Kh3 49... Ke2 50. Kh2 50...
f3 51. Kg1 51... f2 52. Kh1 52... f1=Q 53. Kh2",1. 0:03:00 0. 0:03:00 1... 0:02:59 0. 0:03:01 2. 0:02:57 0. 0:03:02 2... 0:02:55 0. 0:02:53 3. 0:02:50 0. 0:02:52 3... 0:02:50 0. 0:02:42 4. 0:02:34 0. 0:02:06 4... 0:01:39 0. 0:02:03 5. 0:01:39 0. 0:02:05 5... 0:01:39 0. 0:02:03 6. 0:01:32 0. 0:01:36 6... 0:01:28 0. 0:01:36 7. 0:01:26 0. 0:01:36 7... 0:01:17 0. 0:01:34 8. 0:01:17 4. 0:01:29 8... 0:01:16 4. 0:01:23 9. 0:01:10 5. 0:01:22 9... 0:01:09 5. 0:01:23 10. 0:01:08 5. 0:01:19 10... 0:01:03 5. 0:01:20 11. 0:00:55 5. 0:01:20 11... 0:00:50 5. 0:01:15 12. 0:00:50 5. 0:01:15 12... 0:00:44 5. 0:01:03 13. 0:00:45 5. 0:01:02 13... 0:00:26 5. 0:00:49 14. 0:00:18 5. 0:00:42 14... 0:00:10 5. 0:00:41 15. 0:00:08 5. 0:00:25 15... 0:00:02 5. 0:00:24 16. 0:00:03 5. 0:00:23 16... 0:00:03 5. 0:00:24 17. 0:00:03 5. 0:00:25 17... 0:00:03 5. 0:00:27 18. 0:00:04 5. 0:00:28 18... 0:00:05 5. 0:00:28 19. 0:00:03 5. 0:00:26 19... 0:00:03 5. 0:00:28 20. 0:00:03 5. 0:00:26 20... 0:00:04 5. 0:00:25 21. 0:00:04 5. 0:00:25 21... 0:00:05 4. 0:00:26 22. 0:00:05 5. 0:00:28 22... 0:00:05 5. 0:00:27 23. 0:00:06 5. 0:00:29 23... 0:00:07 5. 0:00:29 24. 0:00:08 5. 0:00:30 24... 0:00:08 5. 0:00:30 25. 0:00:09 5. 0:00:31 25... 0:00:10 4. 0:00:32 26. 0:00:11 4. 0:00:34 26... 0:00:11 4. 0:00:35 27. 0:00:12
Rated Blitz game,https://lichess.org/58sVW03I,2024.08.01,-,Andrew67141,ArbanArfan,0-1,2024.08.01,17:19:04,1462,1484,,,C20,King's Pawn Game: Napoleon Attack,180+2,Normal,"1. e4 1... e5 2. Qf3 2... Nc6 3. Bc4 3... Nf6 4. Ne2 4... d6 5. h3 5... Nd4 6. Nxd4 6...
exd4 7. d3 7... Be7 8.
g4 8... Be6 9. g5 9...
Nd7 10. Bxe6 10... fxe6 11. h4 11... e5 12. h5 12... Rf8 13. Qg3 13... Nc5 14. Na3 14... Qd7 15. Bd2 15... O-O-O 16. O-O-O 16... Ne6 17. g6 17... h6 18. Rhf1 18... Nf4 19. Bxf4 19... Rxf4 20. f3 20... Bh4 21.
Qg2 21... Rdf8 22. Nc4 22... Bg5 23. Qg1 23... Rg4 24. Kb1 24... Rxg1 25.
Rxg1 25... Rxf3 26. Nd2 26... Bxd2 27. Rxd2 27... b6 28. b3 28... Qh3 29. Rdd1 29... Qxh5 30. a4 30... Rg3 31. Rh1 31... Qxg6 32. Kb2 32... h5 33. Ka3 33... Qg4 34. Kb4 34... Rh3 35.
Rhg1 35... Qe2 36. Rc1 36... h4 37. Rxg7 37... Rg3 38. Rh7 38... h3 39.
Kb5 39... h2 40. Kc6 40... Rg8 41. Rh1 41... Qxc2 42. Kd5 42... Qxb3 43. Kc6 43... Qxa4 44. Kd5 44... Qb5 45. Ke6 45... Re8 46. Kf7 46... Qd7 47. Kf6 47... Qxh7",1. 0:03:00 1... 0:03:00 2. 0:03:02 2... 0:03:00 3. 0:03:03 3... 0:03:00 4. 0:03:04 4... 0:03:00 5. 0:02:29 5... 0:02:57 6. 0:02:29 6... 0:02:55 7. 0:02:29 7... 0:02:53 8. 0:02:29 8... 0:02:48 9. 0:02:27 9... 0:02:43 10. 0:02:26 10... 0:02:42 11. 0:02:25 11... 0:02:41 12. 0:02:24 12... 0:02:39 13. 0:02:22 13... 0:02:29 14. 0:02:20 14... 0:02:28 15. 0:02:14 15... 0:02:28 16. 0:02:11 16... 0:02:26 17. 0:02:05 17... 0:02:15 18. 0:01:49 18... 0:02:15 19. 0:01:49 19... 0:02:15 20. 0:01:48 20... 0:02:13 21. 0:01:36 21... 0:02:13 22. 0:01:33 22... 0:02:12 23. 0:01:16 23... 0:02:09 24. 0:01:04 24... 0:02:09 25. 0:01:05 25... 0:02:07 26. 0:01:01 26... 0:02:03 27. 0:01:01 27... 0:02:02 28. 0:00:55 28... 0:02:01 29. 0:00:47 29... 0:02:00 30. 0:00:43 30... 0:01:59 31. 0:00:42 31... 0:01:56 32. 0:00:42 32... 0:01:55 33. 0:00:40 33... 0:01:54 34. 0:00:27 34... 0:01:54 35. 0:00:27 35... 0:01:50 36. 0:00:21 36... 0:01:50 37. 0:00:19 37... 0:01:47 38. 0:00:18 38... 0:01:47 39. 0:00:17 39... 0:01:44 40. 0:00:17 40... 0:01:39 41. 0:00:13 41... 0:01:36 42. 0:00:13 42... 0:01:36 43. 0:00:14 43... 0:01:34 44. 0:00:11 44... 0:01:34 45. 0:00:10 45... 0:01:31 46. 0:00:09 46... 0:01:30 47. 0:00:10 47... 0:01:30
Rated Blitz game,https://lichess.org/Bt1zpcAF,2024.08.01,-,tropicanooo,shamalukh2020,1-0,2024.08.01,17:19:04,1941,1904,,,B01,Scandinavian Defense: Boehnke Gambit,180+2,Normal,"1. e4 1... d5 2. exd5 2... e6 3. dxe6 3... Bxe6 4. d4 4... c6 5. c3 5... Nf6 6. Bd3 6...
Bd6 7. Nf3 7... Nbd7 8. O-O 8... Qc7 9. h3 9... O-O-O 10. Nbd2 10... h6 11. Nc4 11... Be7 12.
Be3 12... Nb6 13. Nxb6 13... axb6 14. a4 14... g5 15. a5 15... bxa5 16. Qa4 16... b6 17.
Ne5 17... Kb7 18. b4 18... Bd6 19. bxa5 19... b5 20. a6 20... Ka8 21.
Qa5 21... Rc8 22. f4 22... Nd5 23. Qxc7 23... Rxc7 24. Bd2 24... gxf4 25.
c4 25... Ne3 26. Bxe3 26... fxe3 27. cxb5 27... cxb5 28. Bxb5 28... Bxe5 29. dxe5 29... Rhc8 30. Be2 30... Rc2 31. Bf3 31... Ka7 32. Rfb1 32... R8c7 33. Rb7 33... Rxb7 34. axb7 34... Kb8 35. Ra8 35... Kc7 36. b8=Q 36... Kd7 37. Qe8 37... Kc7 38. Rc8 38... Kb6 39.
Rxc2",1. 0:03:00 1... 0:03:00 2. 0:02:52 2... 0:03:01 3. 0:02:53 3... 0:03:03 4. 0:02:37 4... 0:03:03 5. 0:02:30 5... 0:03:04 6. 0:02:30 6... 0:03:01 7. 0:02:31 7... 0:03:01 8. 0:02:29 8... 0:03:01 9. 0:02:28 9... 0:03:02 10. 0:02:29 10... 0:03:02 11. 0:02:29 11... 0:03:02 12. 0:01:19 12... 0:02:59 13. 0:01:08 13... 0:02:59 14. 0:01:03 14... 0:02:59 15. 0:01:01 15... 0:02:59 16. 0:00:58 16... 0:02:54 17. 0:00:52 17... 0:02:36 18. 0:00:49 18... 0:02:34 19. 0:00:50 19... 0:02:29 20. 0:00:49 20... 0:02:29 21. 0:00:15 21... 0:02:14 22. 0:00:11 22... 0:02:11 23. 0:00:07 23... 0:02:10 24. 0:00:07 24... 0:02:05 25. 0:00:08 25... 0:02:04 26. 0:00:08 26... 0:02:05 27. 0:00:09 27... 0:02:05 28. 0:00:10 28... 0:02:01 29. 0:00:12 29... 0:01:53 30. 0:00:13 30... 0:01:53 31. 0:00:14 31... 0:01:53 32. 0:00:13 32... 0:00:49 33. 0:00:04 33... 0:00:47 34. 0:00:06 34... 0:00:48 35. 0:00:06 35... 0:00:48 36. 0:00:08 36... 0:00:47 37. 0:00:08 37... 0:00:47 38. 0:00:09 38... 0:00:47 39. 0:00:10
Rated Blitz game,https://lichess.org/07wbOkSl,2024.08.01,-,tatim333,debutant33000,0-1,2024.08.01,17:19:04,1100,1063,,,C00,French Defense: Two Knights Variation,180+2,Time forfeit,"1. e4 1... e6 2. Nf3 2... d5 3. Nc3 3... c5 4. d4 4... Nc6 5. Bb5 5... Bd7 6. Be3 6... a6 7. Bd3 7... b6 8. a4 8... a5 9. exd5 9...
exd5 10. Nxd5 10... Nf6 11. Nxf6 11... Qxf6 12. O-O 12... cxd4 13. Bd2 13... Bd6 14. Re1 14... Be6 15. Bb5 15... Rc8 16. b3 16... O-O 17.
h3 17... Qg6 18. Kh1 18... f5 19. Nh4 19... Qf6 20. Nf3 20... Ne5 21.
Ba6 21... Nxf3 22. Bxc8 22... Nxe1 23. Bxe6 23... Qxe6 24. Bxe1 24... Qe5 25. g3 25... f4 26.
Rc1 26... fxg3 27. fxg3 27... Qe3 28. Kh2 28... d3 29. cxd3 29... Rf3 30. Qxf3 30... Qxf3",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:03:01 3. 0:02:57 3... 0:03:03 4. 0:02:56 4... 0:03:04 5. 0:02:53 5... 0:02:59 6. 0:02:39 6... 0:02:56 7. 0:02:34 7... 0:02:51 8. 0:02:26 8... 0:02:49 9. 0:02:13 9... 0:02:48 10. 0:02:12 10... 0:02:34 11. 0:02:04 11... 0:02:35 12. 0:01:57 12... 0:02:36 13. 0:01:46 13... 0:02:27 14. 0:01:43 14... 0:02:25 15. 0:01:41 15... 0:02:24 16. 0:01:24 16... 0:02:24 17. 0:01:25 17... 0:02:10 18. 0:01:15 18... 0:01:49 19. 0:00:53 19... 0:01:32 20. 0:00:37 20... 0:00:57 21. 0:00:34 21... 0:00:43 22. 0:00:31 22... 0:00:40 23. 0:00:31 23... 0:00:37 24. 0:00:30 24... 0:00:27 25. 0:00:21 25... 0:00:25 26. 0:00:15 26... 0:00:24 27. 0:00:15 27... 0:00:22 28. 0:00:11 28... 0:00:07 29. 0:00:10 29... 0:00:03 30. 0:00:06 30... 0:00:03
Rated Blitz game,https://lichess.org/WXZ3aPmP,2024.08.01,-,vishalkumar321,ramadhan677,1-0,2024.08.01,17:19:04,1984,1979,,,B28,"Sicilian Defense: O'Kelly Variation, Normal System, Taimanov Line",180+2,Normal,"1. e4 1... c5 2. Nf3 2... a6 3. d4 3... cxd4 4. Nxd4 4... e5 5. Nf3 5... Nf6 6. Nxe5 6...
Qa5 7. Nc3 7... Qxe5 8. Bd3 8... Bc5 9. f4 9... Qc7 10. Qf3 10... d6 11. Bd2 11... Bg4 12.
Qg3 12... h5 13. h3 13... h4 14. Qh2 14... Bh5 15. g4 15... hxg3 16.
Qxg3 16... Bd4 17. Qxg7 17... Rg8 18. Qh6 18... Rg2 19. Ne2 19... Bxb2 20. Rb1 20... Qb6 21.
Rf1 21... Nbd7 22. e5 22... O-O-O 23. exf6 23... Nxf6 24. Qxf6 24... Re8 25.
Qf5 25... Kb8 26. Qxh5 26... Rg1 27. Qf3 27... Re3 28. Bxe3 28... Bc3 29. Kf2 29... Rxf1 30. Rxf1",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:03 3... 0:03:02 4. 0:03:05 4... 0:03:03 5. 0:03:02 5... 0:03:04 6. 0:02:56 6... 0:03:05 7. 0:02:51 7... 0:03:07 8. 0:02:51 8... 0:03:00 9. 0:02:50 9... 0:02:54 10. 0:02:49 10... 0:02:51 11. 0:02:43 11... 0:02:51 12. 0:02:40 12... 0:02:46 13. 0:02:21 13... 0:02:44 14. 0:02:18 14... 0:02:43 15. 0:02:15 15... 0:02:37 16. 0:02:15 16... 0:02:21 17. 0:02:09 17... 0:02:20 18. 0:02:04 18... 0:02:13 19. 0:01:00 19... 0:02:02 20. 0:00:58 20... 0:02:00 21. 0:00:50 21... 0:01:29 22. 0:00:50 22... 0:01:21 23. 0:00:49 23... 0:01:22 24. 0:00:47 24... 0:01:06 25. 0:00:30 25... 0:00:46 26. 0:00:32 26... 0:00:47 27. 0:00:32 27... 0:00:38 28. 0:00:28 28... 0:00:39 29. 0:00:27 29... 0:00:38 30. 0:00:27
Rated Blitz game,https://lichess.org/NCMGGPLi,2024.08.01,-,deep78,Nata_80,1-0,2024.08.01,17:19:04,1293,1304,,,C02,French Defense: Advance Variation,180+2,Normal,"1. e4 1... e6 2. d4 2... d5 3. e5 3... c5 4. c3 4... cxd4 5. cxd4 5... Bb4 6. Nc3 6...
Nc6 7. Nf3 7... Nge7 8. Bb5 8... Nf5 9. Be3 9... Nxe3 10. fxe3 10... Bd7 11. O-O 11... O-O 12.
h3 12... f6 13. exf6 13... Qxf6 14. Bxc6 14... Bxc6 15. Ne5 15... Bxc3 16.
Rxf6 16... Rxf6 17. bxc3",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:02 3. 0:03:01 3... 0:03:02 4. 0:03:02 4... 0:03:03 5. 0:03:04 5... 0:03:05 6. 0:03:04 6... 0:03:06 7. 0:03:04 7... 0:03:06 8. 0:03:03 8... 0:03:07 9. 0:03:03 9... 0:03:06 10. 0:03:04 10... 0:03:06 11. 0:03:03 11... 0:03:07 12. 0:03:01 12... 0:03:07 13. 0:03:00 13... 0:03:08 14. 0:02:59 14... 0:03:08 15. 0:03:00 15... 0:03:08 16. 0:02:58 16... 0:03:09 17. 0:02:58
Rated Blitz game,https://lichess.org/xouqYFNZ,2024.08.01,-,Black_Noir_l,sofia_gonbra09,0-1,2024.08.01,17:19:04,1805,1806,,,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line",180+2,Normal,"1. e4 1... c5 2. Nf3 2... d6 3. d4 3... cxd4 4. Nxd4 4... Nf6 5.
Nc3 5... g6 6. Be3 6... Bg7 7. f3 7... O-O 8. Qd2 8... Nc6 9.
O-O-O 9... Nxd4 10. Bxd4 10... Be6 11. g4 11...
Qa5 12. Kb1 12... Rac8 13. Nd5 13... Qd8 14. Nxf6 14... Bxf6 15. Bxf6 15... exf6 16. Qxd6 16... Qa5 17. Qa3 17... Qc7 18.
Bd3 18... Bc4 19. h4 19... Bxd3 20. Qxd3 20... Rfd8 21. Qb3 21... a5 22.
Rxd8 22... Rxd8 23. a3 23... Rd2 24. Qc3 24... Qxc3 25. bxc3 25... Rf2 26. Rh3 26... Kf8 27.
Kb2 27... Ke7 28. Kb3 28... Kd6 29. g5 29... f5 30. exf5 30... gxf5 31. Ka4 31... Rxc2 32. f4 32... Rf2 33. Rd3 33... Kc5 34. Kxa5 34... Rxf4 35. h5 35... Kc6 36.
Rd8 36... b6 37. Ka6 37... Ra4",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:00 3. 0:03:02 3... 0:03:01 4. 0:03:04 4... 0:03:01 5. 0:03:05 5... 0:03:02 6. 0:03:06 6... 0:03:03 7. 0:03:07 7... 0:03:02 8. 0:03:09 8... 0:02:59 9. 0:03:09 9... 0:02:45 10. 0:03:09 10... 0:02:46 11. 0:03:08 11... 0:02:42 12. 0:03:06 12... 0:02:41 13. 0:03:03 13... 0:02:22 14. 0:02:53 14... 0:02:21 15. 0:02:51 15... 0:02:22 16. 0:02:49 16... 0:02:23 17. 0:02:36 17... 0:02:18 18. 0:02:28 18... 0:02:16 19. 0:02:21 19... 0:02:14 20. 0:02:23 20... 0:02:11 21. 0:02:09 21... 0:01:51 22. 0:01:55 22... 0:00:50 23. 0:01:47 23... 0:00:47 24. 0:01:27 24... 0:00:45 25. 0:01:29 25... 0:00:41 26. 0:01:20 26... 0:00:40 27. 0:01:20 27... 0:00:35 28. 0:01:21 28... 0:00:32 29. 0:01:16 29... 0:00:31 30. 0:01:16 30... 0:00:30 31. 0:00:59 31... 0:00:27 32. 0:01:00 32... 0:00:25 33. 0:01:00 33... 0:00:22 34. 0:00:54 34... 0:00:23 35. 0:00:46 35... 0:00:22 36. 0:00:34 36... 0:00:20 37. 0:00:32 37... 0:00:20
Rated Blitz game,https://lichess.org/WFZiINj3,2024.08.01,-,talion90,Jota0236,1-0,2024.08.01,17:19:04,1793,1685,,,C00,French Defense: Normal Variation,180+2,Normal,"1. e4 1... e6 2. d4 2... b6 3. c4 3... Bb7 4. Nc3 4... Bb4 5. Bd3 5... Nf6 6. Ne2 6... Nxe4 7. O-O 7... Nxc3 8.
bxc3 8... Be7 9. Qc2 9... d6 10. h3 10... Nd7 11. Ng3 11... h6 12.
Nh5 12... g6 13. Nf4 13... Bg5 14. Nxe6 14... fxe6 15. Bxg6 15... Kf8 16. d5 16... e5 17. Qf5 17... Qf6 18. Qxd7 18... Qxg6 19. Qxc7 19... Ba6 20. f4 20... Be7 21.
fxe5 21... Kg7 22. Qxe7 22... Kg8 23. Rf6 23... Qe8 24. Qxd6 24... Rd8 25. Rg6 25... Kf7 26.
Qf6",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:02 3. 0:03:02 3... 0:03:00 4. 0:03:03 4... 0:03:00 5. 0:03:03 5... 0:03:00 6. 0:03:00 6... 0:02:59 7. 0:02:59 7... 0:03:00 8. 0:03:00 8... 0:03:00 9. 0:02:58 9... 0:03:01 10. 0:02:35 10... 0:03:02 11. 0:02:30 11... 0:03:00 12. 0:02:29 12... 0:02:59 13. 0:02:23 13... 0:02:58 14. 0:02:13 14... 0:02:56 15. 0:02:14 15... 0:02:57 16. 0:02:06 16... 0:02:53 17. 0:02:06 17... 0:02:49 18. 0:01:56 18... 0:02:49 19. 0:01:54 19... 0:02:50 20. 0:01:44 20... 0:02:50 21. 0:01:41 21... 0:02:49 22. 0:01:39 22... 0:02:47 23. 0:01:31 23... 0:02:36 24. 0:01:23 24... 0:02:34 25. 0:01:23 25... 0:02:34 26. 0:01:21
