Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Rated Blitz game,https://lichess.org/5Gru5MId,2024.08.02,-,dik28,seahorseking,0-1,2024.08.02,02:06:46,2254.0,2144.0,,,C69,"Ruy Lopez: Exchange Variation, King's Bishop Variation",180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bb5 3... a6 4. Bxc6 4... dxc6 5.
O-O 5... Bd6 6. d4 6... exd4 7. Qxd4 7... f6 8. e5 8... fxe5 9.
Nxe5 9... Qf6 10. Re1 10... Ne7 11. Nc3 11... O-O 12. f4 12... Ng6 13.
Qc4 13... Be6 14. Qe2 14... Nxf4 15. Bxf4 15... Qxf4 16. Nf3 16... Bg4 17.
Qe4 17... Qxe4 18. Nxe4 18... Bxf3 19. Nxd6 19... cxd6 20. gxf3 20... Rxf3 21. Re7 21... Rf7 22.
Rae1 22... g6 23. R1e6 23... d5 24. a4 24... Raf8 25. a5 25... Rxe7 26.
Rxe7 26... Rf7 27. Re8 27... Kg7 28. c3 28...
h5 29. h4 29... Rd7 30. Kf2 30... Kf7 31. Rb8 31... Ke6 32. Ke3 32... Kf5 33. Rf8 33... Kg4 34. Rf4 34... Kg3 35.
Rf6 35... Kxh4 36. Rxg6 36... Re7 37. Kf3 37... Rf7 38. Kg2 38... Rd7 39. Kf3 39... c5 40.
Ke3 40... d4 41. cxd4 41... cxd4 42. Kd3 42... Kh3 43. b4 43... h4 44.
Rg8 44... Kh2 45. Rg4 45... h3 46. Rg8 46... Kh1 47. Rg4 47... h2 48.
Rg8 48... Rd5 49. Rg7 49... Rb5 50. Kc4 50... d3 51. Rd7 51... Kg2 52.
Rg7 52... Kf3 53. Rf7 53... Ke2 54. Re7 54... Kd2 55. Rh7 55... Kc2 56. Rxh2 56... d2",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:01 3... 0:03:00 4. 0:03:02 4... 0:03:02 5. 0:03:03 5... 0:03:03 6. 0:03:04 6... 0:03:05 7. 0:03:04 7... 0:03:06 8. 0:03:00 8... 0:03:05 9. 0:03:00 9... 0:03:00 10. 0:02:58 10... 0:02:59 11. 0:02:47 11... 0:02:59 12. 0:02:48 12... 0:02:34 13. 0:02:38 13... 0:02:34 14. 0:02:37 14... 0:02:22 15. 0:02:20 15... 0:02:23 16. 0:02:16 16... 0:02:19 17. 0:02:02 17... 0:01:51 18. 0:02:01 18... 0:01:53 19. 0:02:02 19... 0:01:52 20. 0:02:04 20... 0:01:52 21. 0:02:03 21... 0:01:53 22. 0:02:03 22... 0:01:45 23. 0:01:57 23... 0:01:46 24. 0:01:52 24... 0:01:45 25. 0:01:50 25... 0:01:44 26. 0:01:51 26... 0:01:46 27. 0:01:51 27... 0:01:47 28. 0:01:52 28... 0:01:44 29. 0:01:53 29... 0:01:45 30. 0:01:53 30... 0:01:47 31. 0:01:51 31... 0:01:43 32. 0:01:52 32... 0:01:43 33. 0:01:48 33... 0:01:44 34. 0:01:49 34... 0:01:44 35. 0:01:50 35... 0:01:44 36. 0:01:51 36... 0:01:34 37. 0:01:45 37... 0:01:25 38. 0:01:42 38... 0:01:07 39. 0:01:37 39... 0:01:08 40. 0:01:23 40... 0:01:08 41. 0:01:20 41... 0:01:10 42. 0:01:22 42... 0:01:11 43. 0:01:16 43... 0:01:12 44. 0:01:12 44... 0:01:12 45. 0:01:12 45... 0:01:13 46. 0:01:12 46... 0:01:13 47. 0:01:12 47... 0:01:13 48. 0:01:12 48... 0:01:04 49. 0:01:06 49... 0:01:05 50. 0:00:55 50... 0:01:03 51. 0:00:54 51... 0:01:01 52. 0:00:55 52... 0:00:58 53. 0:00:54 53... 0:00:58 54. 0:00:55 54... 0:00:55 55. 0:00:56 55... 0:00:52 56. 0:00:54 56... 0:00:54
Rated Blitz game,https://lichess.org/Fe0E94Pw,2024.08.02,-,Al_Hizen,JekArakcheev,1-0,2024.08.02,02:06:46,1364.0,1379.0,,,C47,Four Knights Game: Italian Variation,180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... Nf6 4. Nc3 4... h6 5. a3 5... Bc5 6. d3 6...
Ng4 7. O-O 7... Nxf2 8. Qe2 8... Nxe4 9. Be3 9... Bxe3 10. Qxe3 10... Nxc3 11. bxc3 11... O-O 12. Bb5 12... d6 13.
Bxc6 13... bxc6 14. d4 14... exd4 15. cxd4 15... Bb7 16. Rab1 16... Rb8 17.
Rfe1 17... c5 18. dxc5 18... dxc5 19. Qxc5 19... Bxf3 20. gxf3 20... Qg5 21. Qxg5 21... hxg5 22. Rxb8 22... Rxb8 23. a4 23... Rb2 24. Re8 24... Kh7 25. Re7 25... Rxc2 26.
Rxf7 26... c5 27. Rxa7 27... c4 28. Rc7 28... Rc1 29. Kf2 29... Kh6 30.
a5 30... Kh5 31. a6 31... Ra1 32. a7 32... c3 33. a8=Q 33... Rxa8 34. Rxc3 34... Ra2 35. Ke3 35... Rxh2 36. Rc7 36... g6 37. Rh7",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:02 3. 0:03:03 3... 0:02:59 4. 0:03:04 4... 0:02:51 5. 0:03:00 5... 0:02:48 6. 0:02:58 6... 0:02:48 7. 0:02:51 7... 0:02:47 8. 0:02:43 8... 0:02:30 9. 0:02:43 9... 0:02:26 10. 0:02:42 10... 0:02:27 11. 0:02:42 11... 0:02:27 12. 0:02:43 12... 0:02:15 13. 0:02:40 13... 0:02:16 14. 0:02:39 14... 0:02:13 15. 0:02:40 15... 0:02:14 16. 0:02:31 16... 0:01:48 17. 0:02:31 17... 0:01:25 18. 0:02:29 18... 0:01:22 19. 0:02:29 19... 0:01:21 20. 0:02:29 20... 0:01:09 21. 0:02:29 21... 0:01:09 22. 0:02:23 22... 0:01:09 23. 0:02:24 23... 0:01:09 24. 0:02:25 24... 0:01:09 25. 0:02:22 25... 0:01:10 26. 0:02:23 26... 0:01:06 27. 0:02:23 27... 0:01:06 28. 0:02:25 28... 0:01:06 29. 0:02:24 29... 0:01:05 30. 0:02:25 30... 0:01:06 31. 0:02:26 31... 0:01:05 32. 0:02:26 32... 0:01:05 33. 0:02:07 33... 0:01:06 34. 0:02:07 34... 0:01:07 35. 0:02:07 35... 0:01:07 36. 0:02:06 36... 0:01:08 37. 0:02:04
Rated Blitz game,https://lichess.org/2E7R1YTV,2024.08.02,-,jimmytheprop,Norvin05,0-1,2024.08.02,02:06:46,1284.0,1302.0,,,A84,Dutch Defense: Rubinstein Variation,180+2,Time forfeit,"1. d4 1... f5 2. c4 2... e6 3. Nc3 3... Nf6 4. e4 4... Be7 5. Bg5 5... fxe4 6. d5 6...
exd5 7. Nxd5 7... O-O 8. Nxf6 8... Bxf6 9. Qd5 9... Kh8 10. Bxf6 10... Qxf6 11. Qd2 11... Nc6 12. Be2 12... Qxf2 13. Kd1 13... Qxg2 14. Qf4 14... Rxf4",1. 0:03:00 1... 0:03:00 2. 0:03:02 2... 0:03:01 3. 0:03:04 3... 0:03:03 4. 0:03:06 4... 0:03:04 5. 0:03:08 5... 0:03:04 6. 0:02:51 6... 0:02:58 7. 0:02:49 7... 0:02:59 8. 0:02:42 8... 0:02:56 9. 0:02:40 9... 0:02:55 10. 0:02:38 10... 0:02:56 11. 0:02:30 11... 0:02:49 12. 0:02:14 12... 0:02:47 13. 0:02:06 13... 0:02:47 14. 0:02:08 14... 0:02:42
Rated Blitz game,https://lichess.org/aA6JaXHj,2024.08.02,-,Estrogen05,Petrgoff,0-1,2024.08.02,02:06:46,1139.0,1134.0,,,C20,Center Game,180+2,Time forfeit,"1. e4 1... e5 2. d4 2... Bd6 3. Bc4 3... Nf6 4. f3 4... O-O 5. c3 5... exd4 6. cxd4 6...
Bb4 7. Bd2 7... a5 8.
Bxb4 8... axb4 9. Qb3 9... Nc6 10. d5 10... Nd4 11. Bd3 11... c5 12.
dxc6 12... Nxc6 13. Ne2 13... Nh5 14. g3 14...
Qf6 15. O-O 15... d6 16. a3 16... Be6 17. Qc2 17... Nd4 18. Nxd4 18... Qxd4 19. Kg2 19... Rac8 20. Qe2 20... b3 21.
Nc3 21... Bc4 22. Rad1 22... b5 23. Bxc4 23... Qe5 24. Rd5 24... Qf6 25.
Rf5 25... Qe7 26. Bxb5 26... g6 27. Rd5 27... f5 28. exf5 28... Qxe2 29. Nxe2 29... Rc2 30. Bc4 30... Kg7 31. Rxd6 31... Rxe2 32. Bxe2 32... Re8 33. Bc4 33... Rb8 34.
Rfd1 34... Nf6",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:02:56 3. 0:02:52 3... 0:02:56 4. 0:02:51 4... 0:02:57 5. 0:02:52 5... 0:02:58 6. 0:02:45 6... 0:02:59 7. 0:02:42 7... 0:03:00 8. 0:02:41 8... 0:03:01 9. 0:02:41 9... 0:03:00 10. 0:02:42 10... 0:02:59 11. 0:02:23 11... 0:02:49 12. 0:02:24 12... 0:02:43 13. 0:02:16 13... 0:02:41 14. 0:02:07 14... 0:02:39 15. 0:02:03 15... 0:02:25 16. 0:01:51 16... 0:02:25 17. 0:01:44 17... 0:02:23 18. 0:01:43 18... 0:02:25 19. 0:01:37 19... 0:02:24 20. 0:01:23 20... 0:02:06 21. 0:01:15 21... 0:02:04 22. 0:01:07 22... 0:01:57 23. 0:01:07 23... 0:01:50 24. 0:01:02 24... 0:01:43 25. 0:00:43 25... 0:01:27 26. 0:00:32 26... 0:01:04 27. 0:00:23 27... 0:00:46 28. 0:00:20 28... 0:00:46 29. 0:00:21 29... 0:00:44 30. 0:00:14 30... 0:00:39 31. 0:00:11 31... 0:00:40 32. 0:00:10 32... 0:00:39 33. 0:00:10 33... 0:00:36 34. 0:00:09 34... 0:00:34
Rated Blitz game,https://lichess.org/5FcZidE4,2024.08.02,-,Munevarmvz,flansel,0-1,2024.08.02,02:06:46,1860.0,1902.0,,,B10,Caro-Kann Defense,180+2,Normal,"1. e4 1... c6 2. f4 2... d5 3. e5 3... Bf5 4. Nf3 4...
e6 5. c3 5...
Qb6 6. d4 6...
c5 7. Bd3 7...
Bxd3 8. Qxd3 8... Nc6 9. O-O 9... Nge7 10. Kh1 10... g6 11. Na3 11... h5 12. Nc2 12... Nf5 13.
dxc5 13... Bxc5 14. b4 14... Be7 15. a4 15... h4 16. a5 16...
Qd8 17. Ne3 17... h3 18. g3 18... Nxe3 19. Bxe3 19... a6 20. Rad1 20...
Qc7 21. Bf2 21... Qc8 22. Nh4 22... Qd8 23. Nf3 23... Qc8 24. Ng5 24... Bxg5 25. fxg5 25... Ne7 26. g4 26... Nc6 27. Bd4 27...
Nxd4 28. cxd4 28... Qc4 29. Qxc4 29... dxc4 30.
Rc1 30... Rc8 31. Rc3 31... Rh4 32. Rff3 32... Ke7 33. Rxh3 33... Rxg4 34. Rh7 34... Rxg5 35. Rf3 35... Rf5 36. Rc3 36... Rf4 37.
h4 37... Rxd4 38. h5 38... gxh5 39. Rxh5 39... Rd3 40. Rc2 40... c3 41.
Rh4 41... Rd2 42. Rc1 42... c2 43. b5 43... Rd1",1. 0:03:00 0. 0:03:00 1... 0:02:52 0. 0:03:01 2. 0:02:49 0. 0:02:58 2... 0:02:46 0. 0:02:53 3. 0:02:46 0. 0:02:46 3... 0:02:47 0. 0:02:46 4. 0:02:34 0. 0:02:42 4... 0:02:21 0. 0:02:43 5. 0:02:14 0. 0:02:41 5... 0:02:14 0. 0:02:30 6. 0:02:02 0. 0:02:22 6... 0:01:54 0. 0:02:18 7. 0:01:46 0. 0:02:15 7... 0:01:22 0. 0:01:57 8. 0:01:20 0. 0:01:39 8... 0:01:18 0. 0:01:25 9. 0:01:18 0. 0:01:14 9... 0:01:17 0. 0:01:08 10. 0:01:16 0. 0:00:58 10... 0:01:15 0. 0:00:54 11. 0:01:02 0. 0:00:54 11... 0:00:57 2. 0:00:45 12. 0:00:50 0. 0:00:46 12... 0:00:49 0. 0:00:46 13. 0:00:49 0. 0:00:45 13... 0:00:44 0. 0:00:37 14. 0:00:42 0. 0:00:35 14... 0:00:42 0. 0:00:30 15. 0:00:37 0. 0:00:32 15... 0:00:38 0. 0:00:31 16. 0:00:39 16... 0:00:28 0. 0:00:31 17. 0:00:20 0. 0:00:24 17... 0:00:20 0. 0:00:25 18. 0:00:18 0. 0:00:24 18... 0:00:19 0. 0:00:24 19. 0:00:19 0. 0:00:23 19... 0:00:19 0. 0:00:24 20. 0:00:19 1. 0:00:24 20... 0:00:15 1. 0:00:24 21. 0:00:16 1. 0:00:22 21... 0:00:16 1. 0:00:21 22. 0:00:17 0. 0:00:17 22... 0:00:18
Rated Blitz game,https://lichess.org/T0hA7KEq,2024.08.02,-,ty4teachingme,HaidarMF,1-0,2024.08.02,02:06:46,1325.0,1268.0,,,A30,English Opening: Symmetrical Variation,180+2,Normal,"1. c4 1... c5 2. g3 2... b6 3. Bg2 3... Nc6 4. Qa4 4... Bb7 5. e3 5... Qc7 6. Ne2 6...
O-O-O 7. d4 7... cxd4 8. Nxd4 8... e5 9. Nxc6 9... Bxc6 10. Bxc6 10... dxc6 11. Nc3 11... Nf6 12. O-O 12... Ng4 13.
b4 13... b5 14. Qa6 14... Kd7 15. Rd1 15... Ke6 16. Rxd8 16... Qxd8 17. Qxc6 17... Kf5 18. Qe4 18... Ke6 19. Qxg4 19... f5 20. Qd1 20... Qxd1 21. Nxd1 21... Bxb4 22. Bb2 22... Rd8 23. cxb5 23... Rb8 24. a3 24...
Be7 25. Nc3 25... Bf6 26. a4 26... e4 27. Ra2 27... Rc8 28. Ra3 28... Be7 29. Rb3 29... Kd7 30. b6 30... Rb8 31.
bxa7 31... Rxb3 32. a8=Q 32... Rxb2 33. Qd5 33... Kc7 34. Nb5 34... Kb6 35. Qd4 35... Bc5 36.
Qxb2",1. 0:03:00 1... 0:03:00 2. 0:03:02 2... 0:02:59 3. 0:03:04 3... 0:02:56 4. 0:03:01 4... 0:02:56 5. 0:02:54 5... 0:02:51 6. 0:02:54 6... 0:02:51 7. 0:02:44 7... 0:02:49 8. 0:02:36 8... 0:02:44 9. 0:02:31 9... 0:02:39 10. 0:02:31 10... 0:02:34 11. 0:02:27 11... 0:02:33 12. 0:02:27 12... 0:02:33 13. 0:02:19 13... 0:02:28 14. 0:02:17 14... 0:02:28 15. 0:02:11 15... 0:02:26 16. 0:02:02 16... 0:02:26 17. 0:01:59 17... 0:02:24 18. 0:01:53 18... 0:02:23 19. 0:01:51 19... 0:02:23 20. 0:01:41 20... 0:02:16 21. 0:01:43 21... 0:02:16 22. 0:01:40 22... 0:02:08 23. 0:01:39 23... 0:02:07 24. 0:01:39 24... 0:02:05 25. 0:01:36 25... 0:02:03 26. 0:01:36 26... 0:02:04 27. 0:01:33 27... 0:01:59 28. 0:01:11 28... 0:01:53 29. 0:01:11 29... 0:01:47 30. 0:01:10 30... 0:01:42 31. 0:01:06 31... 0:01:41 32. 0:01:05 32... 0:01:42 33. 0:01:03 33... 0:01:42 34. 0:01:02 34... 0:01:42 35. 0:00:57 35... 0:01:41 36. 0:00:59
Rated Blitz game,https://lichess.org/cFIctHRE,2024.08.02,-,ACTION111,fajardo69,0-1,2024.08.02,02:06:46,1614.0,1590.0,,,C20,King's Pawn Game: Leonardis Variation,180+2,Normal,"1. e4 1... e5 2. d3 2... d6 3. Be3 3... Nc6 4. Nf3 4... Nf6 5. Be2 5... h6 6. O-O 6...
Be7 7. Nbd2 7... O-O 8. c3 8... Nh7 9. d4 9... Bf6 10. d5 10... Ne7 11. c4 11... Ng6 12.
b4 12... Ng5 13. Nb3 13... Nxe4 14. Bd3 14... Ng5 15. Bxg6 15... fxg6 16. Nh4 16... Qe8 17. Qd3 17... e4 18. Qd2 18...
Nf3 19. Nxf3 19... exf3 20. Rae1 20... g5 21.
Bd4 21... Qg6 22. Bxf6 22... Rxf6 23. gxf3 23... Bh3 24. Nd4 24... Bxf1 25.
Kxf1 25... Re8 26. Ne6 26... Qh5 27. Re3 27... Qxh2 28. Ke2 28... Qh3 29.
Qd3 29... Qf5 30. Qc3 30... Rf7 31. a4 31... c6 32. b5 32... c5 33. a5 33... b6 34. axb6 34... axb6 35. Kd2 35... h5 36. Qa1 36... h4 37.
Qg1 37... Qf6 38. Nxg5 38... Qb2 39. Kd3 39... Rxe3 40. fxe3 40... Qb3 41. Kd2 41... Qb2 42. Kd3 42... Qb3 43. Ke2 43... Qxc4 44. Kf2 44... Qc2 45. Kf1 45... Qc1 46.
Kf2 46... Qxg1 47. Kxg1 47... Rf6 48. Ne4 48... Rxf3 49. Nxd6 49... Rxe3 50. Nc8 50... Rb3 51.
Nxb6 51... Rxb5 52. d6 52... Rxb6 53. d7 53... Rb8",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:02 3. 0:03:01 3... 0:03:03 4. 0:03:02 4... 0:03:05 5. 0:03:03 5... 0:03:06 6. 0:03:04 6... 0:03:08 7. 0:03:04 7... 0:03:10 8. 0:03:05 8... 0:03:09 9. 0:03:06 9... 0:03:04 10. 0:03:07 10... 0:03:05 11. 0:03:07 11... 0:03:04 12. 0:03:08 12... 0:02:49 13. 0:03:07 13... 0:02:48 14. 0:03:05 14... 0:02:24 15. 0:03:04 15... 0:02:24 16. 0:03:03 16... 0:02:09 17. 0:02:59 17... 0:01:54 18. 0:02:57 18... 0:01:35 19. 0:02:56 19... 0:01:35 20. 0:02:54 20... 0:01:00 21. 0:02:50 21... 0:00:56 22. 0:02:46 22... 0:00:47 23. 0:02:43 23... 0:00:47 24. 0:02:37 24... 0:00:45 25. 0:02:37 25... 0:00:36 26. 0:02:36 26... 0:00:23 27. 0:02:22 27... 0:00:20 28. 0:02:23 28... 0:00:12 29. 0:02:22 29... 0:00:07 30. 0:02:19 30... 0:00:04 31. 0:02:18 31... 0:00:03 32. 0:02:18 32... 0:00:04 33. 0:02:17 33... 0:00:04 34. 0:02:14 34... 0:00:05 35. 0:01:58 35... 0:00:05 36. 0:01:47 36... 0:00:06 37. 0:01:45 37... 0:00:06 38. 0:01:37 38... 0:00:05 39. 0:01:29 39... 0:00:06 40. 0:01:29 40... 0:00:05 41. 0:01:29 41... 0:00:05 42. 0:01:30 42... 0:00:05 43. 0:01:30 43... 0:00:05 44. 0:01:31 44... 0:00:05 45. 0:01:27 45... 0:00:06 46. 0:01:28 46... 0:00:06 47. 0:01:28 47... 0:00:06 48. 0:01:28 48... 0:00:07 49. 0:01:29 49... 0:00:08 50. 0:01:28 50... 0:00:08 51. 0:01:29 51... 0:00:09 52. 0:01:29 52... 0:00:09 53. 0:01:30 53... 0:00:10
Rated Blitz game,https://lichess.org/lFGqsjn5,2024.08.02,-,tamer-chess619,donlonco,1-0,2024.08.02,02:06:46,1528.0,1551.0,,,A45,Indian Defense,180+2,Time forfeit,"1. d4 1... Nf6 2. Bf4 2... g6 3. e3 3... Bg7 4. Bd3 4... d6 5.
c3 5... O-O 6. Nd2 6... Nbd7 7. Ngf3 7...
Re8 8. O-O 8... e5 9. Bg5 9... h6 10.
Bh4 10... g5 11. Nxg5 11...
e4 12. Ngxe4 12... d5 13. Nxf6 13... Nxf6 14.
Nf3 14... c6 15. Ne5 15... Qd6 16. f4 16...
Ne4 17. Qh5 17... Rf8 18. f5 18... Nf6 19.
Qf3 19... c5 20. g4 20... c4 21. Bc2 21... Ne4 22. Bxe4 22...
dxe4 23. Qxe4 23... Rb8 24. f6 24... Bh8 25.
Nxc4 25... Qd7 26. Ne5 26...
Qd6 27. g5 27... b6 28. gxh6 28... Re8 29.
h7 29... Kf8 30.
Qf4 30... Rd8 31. Qh6 31...
Ke8 32. Rf3 32... Bb7 33. Rg3 33... Qxe5 34.
dxe5 34... Kd7 35. Qf4 35... Kc8 36. Rg8",1. 0:03:00 0. 0:03:00 1... 0:03:01 0. 0:03:01 2. 0:03:02 0. 0:03:02 2... 0:03:03 0. 0:03:03 3. 0:03:04 0. 0:03:05 3... 0:03:05 0. 0:03:06 4. 0:03:06 0. 0:03:08 4... 0:03:07 0. 0:03:09 5. 0:02:49 0. 0:03:06 5... 0:02:34 0. 0:03:05 6. 0:02:29 0. 0:03:03 6... 0:02:27 0. 0:03:00 7. 0:02:16 0. 0:03:00 7... 0:02:17 0. 0:02:59 8. 0:02:17 0. 0:02:47 8... 0:02:17 0. 0:02:38 9. 0:02:03 0. 0:02:32 9... 0:01:23 0. 0:02:30 10. 0:00:53 1. 0:02:27 10... 0:00:51 1. 0:02:21 11. 0:00:51 1. 0:02:11 11... 0:00:34 4. 0:02:11 12. 0:00:36 4. 0:02:10 12... 0:00:36 4. 0:02:02 13. 0:00:21 4. 0:01:57 13... 0:00:22 4. 0:01:55 14. 0:00:14 4. 0:01:45 14... 0:00:15 4. 0:00:53 15. 0:00:10 4. 0:00:53 15... 0:00:11 4. 0:00:35 16. 0:00:11 4. 0:00:36 16... 0:00:07 4. 0:00:15 17. 0:00:07 4. 0:00:05 17... 0:00:07 4. 0:00:06 18. 0:00:06 4. 0:00:05 18... 0:00:06
Rated Blitz game,https://lichess.org/8ZkfGL3g,2024.08.02,-,airuu,bela021,0-1,2024.08.02,02:06:46,1446.0,1530.0,,,C42,Russian Game,180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nf6 3. Nxe5 3... Bc5 4. d4 4... Bb6 5. Bg5 5... d6 6. Bxf6 6...
Qxf6 7. Nf3 7... O-O 8. Nc3 8... c6 9. e5 9... dxe5 10. dxe5 10... Qg6 11. Qd3 11... Bf5 12.
Nh4 12... Bxd3 13. Nxg6 13... Bxg6 14. O-O-O 14... Bxf2 15. Bd3 15... Bh5 16. Be2 16... Be3 17.
Kb1 17... Bxe2 18. Nxe2 18... Na6 19. Rd3 19... Bg5 20. Rhd1 20... Nc5 21. Rc3 21... Be7 22.
b4 22... Na6 23. Rd7 23... Bxb4 24. Rb3 24... Nc5 25. Rxb7 25... Nxb3 26. Rxb4 26... Na5 27. Nf4 27... Rfb8 28. c3 28... Rxb4 29. cxb4 29... Nc4 30. Nd3 30... Rd8 31.
Nc5 31... Nxe5 32. a4 32... Rd2 33. Ne4 33... Rxg2 34. Nd6 34... Rxh2 35.
Nc8 35... a6 36. Nd6 36... Rh4 37. b5 37... cxb5 38. Nxb5 38... axb5 39. axb5 39... Rb4",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:02 3... 0:03:02 4. 0:02:59 4... 0:03:04 5. 0:02:57 5... 0:03:02 6. 0:02:55 6... 0:03:02 7. 0:02:55 7... 0:02:57 8. 0:02:55 8... 0:02:55 9. 0:02:41 9... 0:02:53 10. 0:02:43 10... 0:02:46 11. 0:02:31 11... 0:02:40 12. 0:02:25 12... 0:01:48 13. 0:02:25 13... 0:01:48 14. 0:02:22 14... 0:01:47 15. 0:02:13 15... 0:01:39 16. 0:02:07 16... 0:01:34 17. 0:02:06 17... 0:01:28 18. 0:02:08 18... 0:01:20 19. 0:02:06 19... 0:01:13 20. 0:02:00 20... 0:01:07 21. 0:01:34 21... 0:00:50 22. 0:01:28 22... 0:00:38 23. 0:01:23 23... 0:00:34 24. 0:01:24 24... 0:00:21 25. 0:01:14 25... 0:00:18 26. 0:01:12 26... 0:00:11 27. 0:01:07 27... 0:00:10 28. 0:01:07 28... 0:00:10 29. 0:01:08 29... 0:00:11 30. 0:01:08 30... 0:00:10 31. 0:01:00 31... 0:00:08 32. 0:00:57 32... 0:00:08 33. 0:00:43 33... 0:00:08 34. 0:00:43 34... 0:00:08 35. 0:00:44 35... 0:00:08 36. 0:00:40 36... 0:00:09 37. 0:00:39 37... 0:00:08 38. 0:00:37 38... 0:00:09 39. 0:00:38 39... 0:00:10
Rated Blitz tournament https://lichess.org/tournament/yoC1WKUI,https://lichess.org/vMdEXzvx,2024.08.02,-,peon-asesino6,LuisMunozAlarcon,1-0,2024.08.02,02:06:51,1782.0,1518.0,,,D06,Queen's Gambit Declined: Marshall Defense,180+2,Time forfeit,"1. d4 1... d5 2. c4 2... Nf6 3. Nc3 3... Be6 4. f3 4... dxc4 5. e4 5... Nc6 6. d5 6...
Nxd5 7. exd5 7... Bf5 8. dxc6 8... bxc6 9. Qxd8 9... Kxd8 10. Bxc4 10... e6 11. Nge2 11... Bc5 12. Na4 12... Bb4 13.
Nac3 13... Rb8 14. O-O 14... h5 15. Nd4 15... Rb6 16. Na4 16... Rb7 17.
Nxc6 17... Kd7 18. Ne5 18... Ke7 19. Ba6 19... Rbb8 20. Nc6 20... Kf6 21. Nxb8 21... g5 22.
g4 22... hxg4 23. fxg4 23... Bd6 24. Rf2 24... c6 25. Nxc6 25... Rh4 26.
gxf5 26... Rg4 27. Rg2 27... Rh4 28. Bxg5 28... Kxf5 29. Bxh4",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:02:56 3. 0:03:02 3... 0:02:54 4. 0:03:01 4... 0:02:46 5. 0:03:01 5... 0:02:43 6. 0:03:02 6... 0:02:36 7. 0:03:04 7... 0:02:21 8. 0:03:04 8... 0:02:23 9. 0:03:04 9... 0:02:24 10. 0:03:06 10... 0:02:20 11. 0:03:06 11... 0:02:19 12. 0:03:04 12... 0:02:07 13. 0:03:03 13... 0:01:57 14. 0:03:02 14... 0:01:44 15. 0:03:02 15... 0:01:11 16. 0:02:54 16... 0:01:04 17. 0:02:52 17... 0:01:03 18. 0:02:49 18... 0:01:03 19. 0:02:37 19... 0:00:57 20. 0:02:38 20... 0:00:55 21. 0:02:39 21... 0:00:45 22. 0:02:36 22... 0:00:43 23. 0:02:38 23... 0:00:34 24. 0:02:21 24... 0:00:33 25. 0:02:22 25... 0:00:16 26. 0:02:21 26... 0:00:15 27. 0:02:20 27... 0:00:10 28. 0:02:21 28... 0:00:08 29. 0:02:23
