Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Rated Rapid game,https://lichess.org/H8sfRwBl,2024.08.01,-,JellyWack,lucasvd01,0-1,2024.08.01,23:49:17,1289,1315,,,B20,Sicilian Defense,600+0,Normal,"1. e4 1... c5 2. Qf3 2... d6 3. Bc4 3...
e6 4. Nc3 4...
Nf6 5. Be2 5... Nc6 6. Qg3 6... Nd4 7.
Kd1 7... d5 8. d3 8...
dxe4 9. Nxe4 9... Nxe4 10.
dxe4 10... Nf5 11. Qd3 11...
Qxd3 12. Bxd3 12... a6 13. b3 13... b5 14.
Bb2 14... b4 15. a4 15...
bxa3 16. Bxa3 16... Bd6 17. g4 17... Nd4 18.
h4 18... O-O 19. Bb2 19... a5 20. c3 20... Nxb3 21. Nf3 21... e5 22. h5 22... Bxg4 23. Ke2 23...
Nxa1 24. Bxa1 24... Rac8 25. c4 25... a4 26.
Bb2 26... Rb8 27. Ba3 27... Rb3 28. Ra1 28...
Bxh5 29. Ke3 29... Bxf3 30. Kxf3 30... Rxd3 31. Kg2 31... Rc3 32. Rc1 32...
Rxa3 33. f3 33... Ra2 34. Kg3 34... a3 35.
Kg4 35... Rb2 36. Ra1 36... a2 37. Kf5 37... Rb1 38.
Rxa2 38... Rf1 39. Ra3 39...
Re8 40. Ra6 40... g6 41. Kg4 41... Be7 42.
Ra4 42... h5 43. Kg3 43...
Rd8 44. Kg2 44... Rb1 45. Kg3 45... Rd3 46.
Kg2 46... Bh4 47.
Kh3 47... Rh1 48. Kg2 48... Rdd1 49. f4 49... exf4 50. Kf3 50...
Rh3 51. Kg2 51... Rb3 52. e5 52... Rd2 53. Kf1 53... Rb1",1. 0:10:00 0. 0:10:00 1... 0:09:59 0. 0:09:55 2. 0:09:58 0. 0:09:44 2... 0:09:55 0. 0:09:40 3. 0:09:51 0. 0:09:36 3... 0:09:47 0. 0:09:14 4. 0:09:39 0. 0:08:54 4... 0:09:29 0. 0:08:38 5. 0:09:15 0. 0:08:34 5... 0:09:13 0. 0:08:24 6. 0:09:11 0. 0:08:14 6... 0:09:07 0. 0:07:51 7. 0:09:05 1. 0:07:50 7... 0:09:03 1. 0:07:45 8. 0:08:58 2. 0:07:23 8... 0:08:57 2. 0:07:04 9. 0:08:37 3. 0:06:36 9... 0:08:26 3. 0:06:33 10. 0:08:12 3. 0:06:07 10... 0:08:10 0. 0:06:03 11. 0:07:45 0. 0:05:55 11... 0:07:38 0. 0:05:53 12. 0:07:26 0. 0:05:45 12... 0:07:26 4. 0:05:27 13. 0:07:24 0. 0:05:19 13... 0:07:16 4. 0:05:12 14. 0:07:13 0. 0:05:03 14... 0:07:04 4. 0:04:42 15. 0:07:02 0. 0:04:36 15... 0:07:00 1. 0:04:34 16. 0:06:59 1. 0:04:19 16... 0:06:58 4. 0:04:16 17. 0:06:55 0. 0:04:09 17... 0:06:54 0. 0:04:08 18. 0:06:50 0. 0:04:05 18... 0:06:45 0. 0:04:03 19. 0:06:42 0. 0:04:02 19... 0:06:39 0. 0:03:38 20. 0:06:36 2. 0:03:30 20... 0:06:30 2. 0:03:26 21. 0:06:24 4. 0:03:23 21... 0:06:05 3. 0:03:10 22. 0:06:01 5. 0:02:52 22... 0:05:59 5. 0:02:37 23. 0:05:56 5. 0:02:29 23... 0:05:52 5. 0:02:09 24. 0:05:39 4. 0:02:08 24... 0:05:37 4. 0:01:56 25. 0:05:31 5. 0:01:50 25... 0:05:30 5. 0:01:31 26. 0:05:28 6. 0:01:28 26... 0:05:20 6. 0:01:26 27. 0:05:16 6. 0:01:26
Rated Rapid game,https://lichess.org/HVdsuF6U,2024.08.01,-,A7medw,deacoes,1-0,2024.08.01,23:49:17,1112,1109,,,C47,Four Knights Game: Italian Variation,600+0,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... Nf6 4. Nc3 4... Ng4 5. d4 5... d6 6. d5 6... Nb4 7. Bg5 7... Be7 8. h4 8... f6 9. Bd2 9... b6 10. Nb5 10... Bd7 11.
Bxb4 11... c6 12. dxc6 12... Bxc6 13. Na3 13... Bxe4 14. Nxe5 14... d5 15.
Qxg4 15... Bxb4 16. c3 16... Qc8 17. cxb4 17... Qxg4 18. Nxg4 18... O-O 19. Bb5 19... a6 20.
Bc6 20... Rac8 21. b5 21... axb5 22. Bxb5 22... Bxg2 23. Rg1 23... Rfe8 24. Ne3",1. 0:10:00 1... 0:10:00 2. 0:09:58 2... 0:09:52 3. 0:09:56 3... 0:09:44 4. 0:09:52 4... 0:08:22 5. 0:09:40 5... 0:07:51 6. 0:09:34 6... 0:07:16 7. 0:09:25 7... 0:07:12 8. 0:09:19 8... 0:07:11 9. 0:09:14 9... 0:06:29 10. 0:09:09 10... 0:05:42 11. 0:09:06 11... 0:05:39 12. 0:09:02 12... 0:05:38 13. 0:08:56 13... 0:05:29 14. 0:08:31 14... 0:05:14 15. 0:08:20 15... 0:05:12 16. 0:08:13 16... 0:04:57 17. 0:07:59 17... 0:04:55 18. 0:07:53 18... 0:04:48 19. 0:07:44 19... 0:04:34 20. 0:07:41 20... 0:04:30 21. 0:07:34 21... 0:04:27 22. 0:07:29 22... 0:04:16 23. 0:07:25 23... 0:04:01 24. 0:07:17
Rated Rapid game,https://lichess.org/BPtTOaxv,2024.08.01,-,A-TaHeR,GeloValiente,0-1,2024.08.01,23:49:17,1437,1537,,,A43,Benoni Defense: French Benoni,600+0,Normal,"1. e4 1... c5 2. d4 2... e6 3. d5 3... exd5 4. exd5 4... Nf6 5.
Bg5 5... d6 6. Qe2 6... Be7 7. Bxf6 7... gxf6 8. Qb5 8... Nd7 9.
Bc4 9... a6 10. Qa4 10... f5 11. Nf3 11... Bf6 12. c3 12... Qe7 13.
Be2 13... b5 14. Qf4 14... Bb7 15. c4 15... bxc4 16. Nc3 16... Bxc3 17. bxc3 17... Qf6 18. Qxc4 18... Ne5 19. Nxe5 19... Qxe5 20. Qa4 20... Kf8 21. Qc4 21... Bxd5 22.
Qd3 22... c4 23. Qd4 23... Qxd4 24. cxd4 24... Re8 25. a3 25... Bxg2 26.
Rg1 26... Bf3 27. Ra2 27... d5 28. Rg5 28... Be4 29. f3 29... Bxf3 30.
Rxf5 30... Be4 31. Re5 31... Rxe5 32. dxe5 32... Ke7 33. Rd2 33... Ke6 34.
Bg4 34... Kxe5 35. Re2 35... f5 36. Bf3 36...
Rb8 37. Bxe4 37... fxe4 38. h4 38... c3 39.
Kd1 39... d4 40. Rc2 40... Rb2 41. Rc1 41... e3 42. Ke1 42... Kd5 43.
Rd1 43... c2 44. Rc1 44... Rb1 45. Rxb1 45... cxb1=Q 46. Ke2 46... Ke4 47.
a4 47... d3",1. 0:10:00 1... 0:10:00 2. 0:09:57 2... 0:09:55 3. 0:08:56 3... 0:09:41 4. 0:08:54 4... 0:09:37 5. 0:08:50 5... 0:09:23 6. 0:08:38 6... 0:08:44 7. 0:08:34 7... 0:08:41 8. 0:08:22 8... 0:08:34 9. 0:08:00 9... 0:08:28 10. 0:07:56 10... 0:07:57 11. 0:07:50 11... 0:07:54 12. 0:07:47 12... 0:07:48 13. 0:07:37 13... 0:07:36 14. 0:07:23 14... 0:07:10 15. 0:07:06 15... 0:06:39 16. 0:07:01 16... 0:06:27 17. 0:06:55 17... 0:06:00 18. 0:06:41 18... 0:05:08 19. 0:06:23 19... 0:05:04 20. 0:06:21 20... 0:04:50 21. 0:06:13 21... 0:04:45 22. 0:06:04 22... 0:04:34 23. 0:05:58 23... 0:04:25 24. 0:05:58 24... 0:04:19 25. 0:05:48 25... 0:04:12 26. 0:05:46 26... 0:04:07 27. 0:05:42 27... 0:03:51 28. 0:05:25 28... 0:03:21 29. 0:05:13 29... 0:03:04 30. 0:05:11 30... 0:02:53 31. 0:05:06 31... 0:02:45 32. 0:05:06 32... 0:02:33 33. 0:05:03 33... 0:02:30 34. 0:04:50 34... 0:02:08 35. 0:04:39 35... 0:02:02 36. 0:04:36 36... 0:01:40 37. 0:04:23 37... 0:01:33 38. 0:04:14 38... 0:01:28 39. 0:04:07 39... 0:01:23 40. 0:04:04 40... 0:01:19 41. 0:03:54 41... 0:01:12 42. 0:03:52 42... 0:01:05 43. 0:03:45 43... 0:01:00 44. 0:03:43 44... 0:00:58 45. 0:03:41 45... 0:00:56 46. 0:03:41 46... 0:00:53 47. 0:03:34 47... 0:00:48
Rated Rapid game,https://lichess.org/tKXWED3w,2024.08.01,-,SulderM,chris01926,1-0,2024.08.01,23:49:17,1458,1422,,,C50,"Italian Game: Giuoco Pianissimo, Normal",600+0,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... Nf6 4. d3 4... Bc5 5. h3 5... d6 6. Ng5 6... O-O 7. c3 7... a6 8. Qb3 8... b5 9. Bxf7 9... Rxf7 10.
Qxf7 10... Kh8 11. Be3 11... Bxe3 12. fxe3 12...
Ne7 13. O-O 13... Neg8 14. Ne6 14... Bxe6 15.
Qxe6 15... Qd7 16. Qxd7 16... Nxd7 17. Nd2 17...
Nc5 18. d4 18... exd4 19. exd4 19... Nd3 20. b3 20... c5 21.
dxc5 21... dxc5 22. c4 22... Rd8 23. Nf3 23... Nf4 24. Rad1 24...
Rxd1 25. Rxd1 25... h6 26. Ne5 26... Nf6 27.
cxb5 27... axb5 28. Rc1 28... Nxe4 29. Kh2 29...
g5 30. Nd7 30... Ne2 31. Rc2 31... N4c3 32. Nxc5 32... Kg7 33. Ne6 33...
Kf6 34. Nc7 34... Ke5 35. g4 35... Kd4 36. Nxb5 36... Kd3 37. Rxe2 37...
Nxe2 38. a4 38... Nc3 39. Nxc3",1. 0:10:00 0. 0:10:00 1... 0:09:59 0. 0:09:58 2. 0:09:58 0. 0:09:56 2... 0:09:56 0. 0:09:54 3. 0:09:55 0. 0:09:47 3... 0:09:35 0. 0:09:44 4. 0:09:25 0. 0:09:34 4... 0:09:23 0. 0:09:32 5. 0:09:19 0. 0:09:31 5... 0:09:17 0. 0:09:29 6. 0:08:55 0. 0:09:20 6... 0:08:54 0. 0:08:49 7. 0:08:52 0. 0:08:47 7... 0:08:25 0. 0:08:41 8. 0:08:23 0. 0:08:19 8... 0:08:21 0. 0:08:18 9. 0:08:20 0. 0:08:14 9... 0:08:17 3. 0:08:06 10. 0:08:15 3. 0:08:01 10... 0:07:43 3. 0:07:53 11. 0:07:36 3. 0:07:51 11... 0:07:29 3. 0:07:34 12. 0:07:25 3. 0:07:24 12... 0:07:09 5. 0:07:17 13. 0:07:08 5. 0:07:10 13... 0:06:56 6. 0:07:04 14. 0:06:44 3. 0:07:02 14... 0:06:37 4. 0:07:01 15. 0:06:24 4. 0:06:37 15... 0:06:14 4. 0:06:20 16. 0:05:43 4. 0:06:18 16... 0:05:40 4. 0:06:16 17. 0:05:30 4. 0:06:15 17... 0:05:20 4. 0:06:10 18. 0:05:12 4. 0:06:05 18... 0:04:58 4. 0:06:01 19. 0:04:15 4. 0:06:00 19... 0:04:13 5. 0:05:58 20. 0:04:10
Rated Rapid game,https://lichess.org/wGiBEY65,2024.08.01,-,Barcelo64,acetaminophen,1-0,2024.08.01,23:49:17,2054,2109,,,A45,Indian Defense,600+0,Normal,"1. d4 1... Nf6 2. Bf4 2... d6 3. e3 3... Nbd7 4. h3 4... e5 5. Bg3 5... Qe7 6. c3 6...
Ne4 7. Bh2 7... g6 8.
Nf3 8... Bg7 9. Bd3 9... Nxf2 10. Kxf2 10... e4 11. Bxe4 11... Qxe4 12. Nbd2 12... Qe7 13. Re1 13... O-O 14. Kg1 14... b6 15. e4 15... Bb7 16. Qc2 16... Rac8 17.
Re2 17... c5 18. d5 18... Ne5 19. Nxe5 19... dxe5 20. c4 20... Bh6 21.
Rf1 21... f6 22. Rf3 22... Rcd8 23. Nf1 23... Rd6 24. Ne3 24... Ba6 25.
Ng4 25... Bg7 26. b3 26... Bc8 27. Ne3 27... f5 28. exf5 28... gxf5 29. Nxf5 29... Bxf5 30. Rxf5 30... Rxf5 31. Qxf5 31... Rf6 32. Qg4 32... Qf8 33. Bxe5 33... Rg6 34.
Bxg7 34... Kxg7 35. Qd7 35... Kh6 36. Re6 36... Qf4 37. Rxg6 37... hxg6 38. Qg4 38... Qc1 39.
Kh2 39... Qd2 40. Qh4 40... Kg7 41. Qe4 41... Kh6 42. a3 42... Kg7 43.
Kg3 43... Qc3 44. Qf3 44... Qe5 45. Qf4 45... Qc3 46. Qf3 46... Qe5 47.
Kf2 47... Qb2 48. Kg1 48... Qa1 49. Kh2 49... Qe5 50. Qg3 50... Qd4 51.
d6 51... Kh6 52. h4 52... Kg7 53. b4 53... Kh6 54. Qg5 54... Kg7 55.
Qe7 55... Kh6 56. d7 56... Qf4 57. Kh3 57... Qf5 58. Kg3 58... Qd3 59.
Kf4 59... Qf5 60. Ke3",1. 0:10:00 1... 0:10:00 2. 0:09:58 2... 0:09:59 3. 0:09:54 3... 0:09:57 4. 0:09:51 4... 0:09:55 5. 0:09:46 5... 0:09:50 6. 0:09:39 6... 0:09:41 7. 0:09:35 7... 0:09:31 8. 0:09:33 8... 0:09:29 9. 0:09:31 9... 0:09:18 10. 0:09:23 10... 0:09:17 11. 0:09:10 11... 0:09:17 12. 0:09:10 12... 0:09:12 13. 0:09:08 13... 0:09:08 14. 0:09:05 14... 0:09:02 15. 0:08:55 15... 0:08:59 16. 0:08:41 16... 0:08:51 17. 0:08:39 17... 0:08:49 18. 0:08:34 18... 0:08:45 19. 0:08:33 19... 0:08:37 20. 0:08:31 20... 0:08:32 21. 0:08:24 21... 0:08:29 22. 0:08:12 22... 0:08:25 23. 0:08:06 23... 0:08:21 24. 0:07:53 24... 0:07:38 25. 0:07:49 25... 0:07:30 26. 0:07:42 26... 0:06:44 27. 0:07:21 27... 0:06:30 28. 0:07:15 28... 0:06:27 29. 0:06:58 29... 0:06:22 30. 0:06:57 30... 0:06:11 31. 0:06:55 31... 0:06:10 32. 0:06:17 32... 0:05:46 33. 0:06:12 33... 0:05:09 34. 0:05:42 34... 0:04:50 35. 0:05:31 35... 0:04:45 36. 0:05:27 36... 0:04:34 37. 0:05:22 37... 0:04:33 38. 0:04:01 38... 0:04:01 39. 0:03:59 39... 0:04:01 40. 0:03:48 40... 0:03:57 41. 0:03:22 41... 0:03:33 42. 0:03:07 42... 0:03:20 43. 0:02:57 43... 0:03:01 44. 0:02:54 44... 0:02:58 45. 0:02:51 45... 0:02:56 46. 0:02:45 46... 0:02:55 47. 0:02:38 47... 0:02:50 48. 0:02:32 48... 0:02:41 49. 0:02:25 49... 0:02:40 50. 0:02:24 50... 0:02:32 51. 0:02:18 51... 0:02:22 52. 0:02:10 52... 0:02:17 53. 0:01:56 53... 0:02:10 54. 0:01:49 54... 0:02:07 55. 0:01:40 55... 0:02:02 56. 0:01:04 56... 0:01:59 57. 0:00:56 57... 0:01:55 58. 0:00:50 58... 0:01:52 59. 0:00:48 59... 0:01:38 60. 0:00:46
Rated Rapid game,https://lichess.org/2BPCaTyt,2024.08.01,-,pauvilla7,pupil0chess,0-1,2024.08.01,23:49:17,924,1001,,,A40,Mikenas Defense,600+0,Normal,"1. d4 1... Nc6 2. e3 2... Nf6 3. Nf3 3... g6 4. Nc3 4... Bg7 5. e4 5... O-O 6. e5 6...
Ng4 7. d5 7... Nb4 8.
Bf4 8... h5 9. Bc4 9... f6 10. e6 10... g5 11. Be3 11... Nxe3 12.
fxe3 12... dxe6 13. dxe6 13... Qxd1 14. Kxd1 14... Nc6 15. Nd4 15... Rd8 16. Kc1 16... Ne5 17.
Nf5 17... Nxc4 18. Nxe7 18... Kf8 19. Nxc8 19... Rdxc8 20. b3 20... Nxe3 21. Re1 21... f5 22.
Rxe3 22... f4 23. Rf3 23... Rd8 24. Ne4 24... Bxa1 25. Nxg5 25... Rd6 26.
e7 26... Kxe7 27. Rxf4 27... Rad8 28. Rf7 28... Ke8 29. Rxc7 29... Rd1",1. 0:10:00 1... 0:10:00 2. 0:09:58 2... 0:09:58 3. 0:09:54 3... 0:09:57 4. 0:09:51 4... 0:09:55 5. 0:09:47 5... 0:09:50 6. 0:09:41 6... 0:09:44 7. 0:09:24 7... 0:09:37 8. 0:09:15 8... 0:09:28 9. 0:09:13 9... 0:09:16 10. 0:09:02 10... 0:09:14 11. 0:08:54 11... 0:09:10 12. 0:08:52 12... 0:09:05 13. 0:08:50 13... 0:08:57 14. 0:08:49 14... 0:08:49 15. 0:08:39 15... 0:08:42 16. 0:08:33 16... 0:08:39 17. 0:08:21 17... 0:08:35 18. 0:08:17 18... 0:08:28 19. 0:08:09 19... 0:08:26 20. 0:08:05 20... 0:08:21 21. 0:07:56 21... 0:08:19 22. 0:07:54 22... 0:08:15 23. 0:07:46 23... 0:08:11 24. 0:07:37 24... 0:08:08 25. 0:07:30 25... 0:07:57 26. 0:07:14 26... 0:07:55 27. 0:07:09 27... 0:07:52 28. 0:07:04 28... 0:07:49 29. 0:06:53 29... 0:07:46
Rated Rapid game,https://lichess.org/OXQYtMS1,2024.08.01,-,feliksk,bignevdawg,1-0,2024.08.01,23:49:17,1670,1583,,,B00,Pirc Defense,600+0,Normal,"1. e4 1... d6 2. Nc3 2... Nf6 3. Bc4 3... g6 4. Nf3 4... Bg7 5. h3 5... O-O 6. O-O 6...
Nbd7 7. d3 7... c6 8.
Ne2 8... Ne5 9. Nxe5 9... dxe5 10. Bg5 10... Nd7 11. Qd2 11... Nb6 12.
Bb3 12... Qd6 13. c3 13... a5 14. f4 14... a4 15. Bc2 15... exf4 16.
Bxf4 16... Qc5 17. d4 17... Qh5 18. Ng3 18... Qh4 19. Rf3 19... Nd7 20.
Bg5 20... Qxg3 21. Rxg3 21... f6 22. Bh6 22...
e5 23. Bxg7 23... Kxg7 24. Rf1 24... b5 25. Bd1 25... c5 26. d5 26...
c4 27. Bh5 27... Nc5 28. Qe3 28... Kf7",1. 0:10:00 1... 0:10:00 2. 0:09:58 2... 0:09:58 3. 0:09:55 3... 0:09:55 4. 0:09:49 4... 0:09:53 5. 0:09:41 5... 0:09:51 6. 0:09:38 6... 0:09:24 7. 0:09:19 7... 0:09:13 8. 0:08:57 8... 0:08:37 9. 0:08:51 9... 0:08:37 10. 0:08:39 10... 0:07:48 11. 0:07:44 11... 0:06:24 12. 0:07:36 12... 0:06:09 13. 0:06:35 13... 0:05:55 14. 0:05:50 14... 0:05:47 15. 0:05:39 15... 0:04:41 16. 0:05:02 16... 0:04:39 17. 0:04:58 17... 0:04:37 18. 0:04:39 18... 0:04:26 19. 0:03:34 19... 0:04:07 20. 0:03:21 20... 0:03:37 21. 0:03:17 21... 0:03:33 22. 0:03:14 22... 0:03:27 23. 0:02:54 23... 0:03:27 24. 0:02:38 24... 0:02:38 25. 0:02:02 25... 0:02:35 26. 0:01:54 26... 0:02:33 27. 0:01:48 27... 0:02:30 28. 0:01:38 28... 0:02:21
Rated Rapid game,https://lichess.org/u0MlF89a,2024.08.01,-,Tosmu,nowaybruh,1/2-1/2,2024.08.01,23:49:17,1527,1493,,,A40,Englund Gambit,600+0,Normal,"1. d4 1... e5 2. dxe5 2...
Nc6 3. Nf3 3...
d6 4. Nc3 4... Nxe5 5. Nxe5 5... dxe5 6.
Qxd8 6... Kxd8 7. e4 7... Bb4 8. Bd2 8... Nf6 9. f3 9... Be6 10. O-O-O 10... Ke7 11. Nd5 11...
Nxd5 12. exd5 12... Bxd2 13. Rxd2 13... Bd7 14.
Bc4 14... Rhd8 15. Re1 15...
f6 16. f4 16...
c6 17. fxe5 17... fxe5 18.
Rxe5 18... Kf6 19. Rde2 19... Re8 20. Rxe8 20...
Rxe8 21. Rxe8 21... Bxe8 22.
dxc6 22... bxc6 23. Kd2 23...
Ke5 24. Ke3 24... Kd6 25. Kd4 25... c5 26.
Kc3 26... Ke5 27. Bd3 27...
Kf4 28. Bxh7 28... Ke3 29. b4 29... cxb4 30. Kxb4 30...
Kf2 31. c4 31... Kxg2 32. h4 32... Kg3 33.
Bf5 33... Kxh4 34. c5 34... g5 35. Be4 35... g4 36. c6 36... g3 37.
c7 37... Bd7 38. Bg2 38... Kg4 39. Kc5 39... Kf4 40. Kd6 40... Bg4 41. Ke7 41... Ke3 42. Kd8 42... Kf2 43. Bb7 43... g2 44. Bxg2 44... Kxg2 45. c8=Q 45...
Bxc8 46. Kxc8 46... a5 47. a4 47... Kf3 48. Kc7 48... Ke4 49. Kb6 49... Kd5 50. Kxa5 50... Kc6 51. Ka6 51... Kc7 52. Ka7 52... Kc6 53. a5 53... Kc7 54. a6 54... Kc8 55. Ka8 55... Kc7 56. a7 56... Kc8",1. 0:10:00 0. 0:10:00 1... 0:09:54 0. 0:09:59 2. 0:09:52 1. 0:09:54 2... 0:09:36 1. 0:09:41 3. 0:09:34 1. 0:09:41 3... 0:09:33 1. 0:09:41 4. 0:09:29 0. 0:09:37 4... 0:09:18 0. 0:09:32 5. 0:09:12 0. 0:09:25 5... 0:09:03 0. 0:09:21 6. 0:08:50 0. 0:09:08 6... 0:08:46 0. 0:09:07 7. 0:08:43 0. 0:08:49 7... 0:08:33 0. 0:08:44 8. 0:08:30 0. 0:08:42 8... 0:08:22 0. 0:08:32 9. 0:08:16 0. 0:08:25 9... 0:08:06 0. 0:08:23 10. 0:07:48 0. 0:08:09 10... 0:07:42 0. 0:08:01 11. 0:07:38 0. 0:08:01 11... 0:07:35 0. 0:07:59 12. 0:07:32 0. 0:07:57 12... 0:07:28 0. 0:07:55 13. 0:07:16 0. 0:07:53 13... 0:07:10 0. 0:07:49 14. 0:07:08 0. 0:07:45 14... 0:07:02 0. 0:07:33 15. 0:06:51 0. 0:07:29 15... 0:06:51 0. 0:07:28 16. 0:06:48 0. 0:07:25 16... 0:06:35 4. 0:06:52 17. 0:06:27 3. 0:06:49 17... 0:06:26 3. 0:06:48 18. 0:06:14 2. 0:06:30 18... 0:06:11 3. 0:06:18 19. 0:06:09 2. 0:06:17 19... 0:05:40 3. 0:06:13 20. 0:05:38 2. 0:06:09 20... 0:05:37 3. 0:06:01 21. 0:05:25 1. 0:05:59 21... 0:05:20 1. 0:05:56 22. 0:05:10 1. 0:05:49 22... 0:05:00 2. 0:05:47 23. 0:04:56 2. 0:05:44 23... 0:04:53 2. 0:05:43 24. 0:04:52 2. 0:05:42 24... 0:04:52 2. 0:05:41 25. 0:04:51 2. 0:05:36 25... 0:04:49 2. 0:05:35 26. 0:04:47 1. 0:05:33 26... 0:04:46 2. 0:05:32 27. 0:04:37 2. 0:05:31 27... 0:04:36 4. 0:05:29 28. 0:04:31 3. 0:05:27 28... 0:04:29 4. 0:05:26
Rated Rapid game,https://lichess.org/xDCN0fF4,2024.08.01,-,maestrohistoria,SOROSNUNA,1-0,2024.08.01,23:49:17,1543,1552,,,D00,Queen's Pawn Game: Accelerated London System,600+0,Normal,"1. d4 1... d5 2. Bf4 2... e6 3. e3 3... Nf6 4. Nf3 4... Nc6 5. c3 5... Bd6 6. Nbd2 6... Bxf4 7. exf4 7... O-O 8.
Ne5 8... Nxe5 9. fxe5 9... Nd7 10. Bd3 10... c5 11. f4 11... c4 12.
Bc2 12... f6 13. h4 13... fxe5 14. Bxh7 14... Kxh7 15. Qh5 15... Kg8 16.
fxe5 16... Rf5 17. Qg4 17... Nf8 18. Nf3 18... Nh7 19. O-O-O 19... Bd7 20. Ng5 20... Be8 21. Nxe6 21... Qe7 22. Qxf5 22... g6 23. Qg4 23... Bf7 24. Ng5 24... Nxg5 25.
hxg5 25... Kf8 26. Rh8 26... Bg8 27. Rf1 27... Kg7 28. Qh4 28... Qxg5 29. Qxg5 29... Kxh8 30. Rh1 30... Kg7 31. Qh6 31... Kf7 32. Rf1 32... Ke8 33. Qf8",1. 0:10:00 1... 0:10:00 2. 0:09:58 2... 0:09:57 3. 0:09:57 3... 0:09:55 4. 0:09:55 4... 0:09:51 5. 0:09:43 5... 0:09:48 6. 0:09:41 6... 0:09:46 7. 0:09:40 7... 0:09:45 8. 0:09:38 8... 0:09:37 9. 0:09:37 9... 0:09:34 10. 0:09:33 10... 0:09:32 11. 0:09:31 11... 0:09:26 12. 0:09:30 12... 0:09:24 13. 0:09:27 13... 0:09:22 14. 0:09:25 14... 0:09:20 15. 0:09:23 15... 0:09:18 16. 0:09:21 16... 0:09:14 17. 0:09:11 17... 0:08:59 18. 0:09:07 18... 0:08:46 19. 0:08:59 19... 0:08:37 20. 0:08:44 20... 0:08:30 21. 0:08:28 21... 0:08:22 22. 0:08:25 22... 0:08:14 23. 0:08:20 23... 0:08:09 24. 0:08:18 24... 0:08:07 25. 0:08:17 25... 0:07:45 26. 0:08:10 26... 0:07:43 27. 0:08:09 27... 0:07:40 28. 0:08:05 28... 0:06:53 29. 0:08:00 29... 0:06:52 30. 0:07:57 30... 0:06:51 31. 0:07:56 31... 0:06:49 32. 0:07:54 32... 0:06:47 33. 0:07:49
Rated Rapid game,https://lichess.org/xDqAgHIn,2024.08.01,-,avelpic,Nasilsyed,0-1,2024.08.01,23:49:17,1946,2002,,,B40,Sicilian Defense: Kramnik Variation,600+0,Normal,"1. e4 1... c5 2. Nf3 2... e6 3. c4 3... Nc6 4. d3 4... a6 5. Be2 5... e5 6. O-O 6... d6 7. Bg5 7... Qb6 8. Nbd2 8...
h6 9. Be3 9... Nf6 10. Nh4 10... g6 11.
Nb3 11... a5 12. Nd2 12... a4 13. f4 13... Bg7 14. f5 14... g5 15.
Nhf3 15... Ng4 16. Bxg5 16... hxg5 17. Nxg5 17... Ne3 18.
Qe1 18... Nxf1 19. Nxf1 19... Bf6 20. Qg3 20...
Rg8 21. h4 21... Nd4 22. Bh5 22... Bxg5 23. hxg5 23... Bd7 24. Ne3 24...
O-O-O 25. b3 25... Qa5 26. Nd5 26... Kb8 27.
b4 27... cxb4 28. Rc1 28... Bc6 29. Ne7 29...
Rh8 30. Bxf7 30... Ne2 31. Kf2 31... Nxg3 32. Kxg3 32...
Qc5 33. Kf3 33... Qd4 34. Rd1 34... b3 35.
Nxc6 35... bxc6 36. axb3 36... axb3 37. Rb1 37... Qxd3 38.
Kf2 38... Qxb1",1. 0:10:00 0. 0:10:00 1... 0:09:59 0. 0:09:56 2. 0:09:57 0. 0:09:48 2... 0:09:51 0. 0:09:41 3. 0:09:45 0. 0:09:39 3... 0:09:43 0. 0:09:37 4. 0:09:32 0. 0:09:33 4... 0:09:29 0. 0:09:31 5. 0:09:27 0. 0:09:28 5... 0:09:21 0. 0:09:21 6. 0:09:12 0. 0:09:16 6... 0:08:54 0. 0:09:13 7. 0:08:42 0. 0:09:10 7... 0:08:39 0. 0:09:09 8. 0:08:33 0. 0:09:04 8... 0:08:17 0. 0:09:01 9. 0:08:17 0. 0:08:57 9... 0:08:10 0. 0:08:55 10. 0:08:07 0. 0:08:52 10... 0:07:59 0. 0:08:47 11. 0:07:56 0. 0:08:44 11... 0:07:54 0. 0:08:39 12. 0:07:51 0. 0:08:35 12... 0:07:40 0. 0:08:31 13. 0:07:36 1. 0:08:23 13... 0:06:19 0. 0:08:17 14. 0:06:15 0. 0:08:06 14... 0:06:06 0. 0:07:53 15. 0:05:59 0. 0:07:48 15... 0:05:53 0. 0:07:46 16. 0:05:51 4. 0:07:44 16... 0:05:51 4. 0:07:39 17. 0:05:36 4. 0:07:32 17... 0:05:32 4. 0:07:23 18. 0:05:27 4. 0:07:21 18... 0:05:16 4. 0:07:20 19. 0:05:11 4. 0:07:17 19... 0:05:07 4. 0:07:16
