Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Rated Rapid game,https://lichess.org/BKUCJeTx,2024.08.01,-,didi28000,lopinnho2016,0-1,2024.08.01,20:54:11,1903,1889,,,C02,"French Defense: Advance Variation, Steinitz Variation",600+0,Normal,"1. e4 1... e6 2. d4 2... d5 3. e5 3... c5 4. dxc5 4... Bxc5 5. Bb5 5... Bd7 6. Bxd7 6...
Nxd7 7. Bf4 7... Qb6 8. Be3 8... Qxb2 9. Nd2 9... Qxe5 10. Ndf3 10... Qc7 11. Bxc5 11... Qxc5 12. Ne2 12... Ngf6 13.
O-O 13... O-O 14. Rb1 14... b6 15. Nf4 15... Rac8 16. Rb2 16... Ne4 17.
Nd3 17... Qa5 18. Nd4 18... Nc3 19. Qd2 19... Qa4 20. Nb4 20... a5 21.
Nbc6 21... Rxc6 22. Nxc6 22... Qxc6 23. Rb3 23... Nxa2 24. c3 24... Nc5 25. Ra3 25... Nxc3 26.
Rxc3 26... Qb5 27. Qc2 27... d4 28. Rg3 28... d3 29. Qb1 29... Qc6 30.
Rc1 30... Qd6 31. Rd1 31... e5 32. h3 32... e4 33. Rd2 33... Ne6 34.
Rg4 34... f5 35. Rh4 35... Nd4 36. Qa2 36... Kh8 37. g4 37... Nf3 38.
Kf1 38... Nxh4 39. gxf5 39... Rxf5 40. Qc4 40... Qf4 41. Rd1 41... Qxf2",1. 0:10:00 1... 0:10:00 2. 0:09:57 2... 0:09:59 3. 0:09:56 3... 0:09:57 4. 0:09:53 4... 0:09:56 5. 0:09:50 5... 0:09:51 6. 0:09:48 6... 0:09:49 7. 0:09:47 7... 0:09:44 8. 0:09:17 8... 0:09:39 9. 0:09:15 9... 0:09:32 10. 0:08:57 10... 0:09:23 11. 0:08:49 11... 0:09:18 12. 0:08:45 12... 0:09:13 13. 0:08:40 13... 0:09:10 14. 0:08:33 14... 0:09:07 15. 0:08:21 15... 0:08:58 16. 0:08:14 16... 0:08:50 17. 0:08:06 17... 0:08:29 18. 0:07:36 18... 0:08:14 19. 0:07:26 19... 0:07:45 20. 0:06:53 20... 0:07:23 21. 0:06:45 21... 0:07:13 22. 0:06:36 22... 0:07:10 23. 0:06:14 23... 0:06:57 24. 0:06:07 24... 0:06:46 25. 0:05:53 25... 0:06:28 26. 0:05:50 26... 0:06:15 27. 0:04:52 27... 0:05:59 28. 0:04:35 28... 0:05:51 29. 0:04:05 29... 0:05:31 30. 0:03:52 30... 0:05:19 31. 0:03:23 31... 0:05:15 32. 0:03:05 32... 0:05:13 33. 0:02:31 33... 0:04:53 34. 0:02:14 34... 0:04:40 35. 0:01:55 35... 0:04:22 36. 0:01:39 36... 0:04:19 37. 0:01:23 37... 0:04:15 38. 0:01:15 38... 0:04:10 39. 0:01:13 39... 0:04:06 40. 0:01:04 40... 0:03:38 41. 0:00:49 41... 0:03:27
Rated Rapid game,https://lichess.org/Sx2f7zKD,2024.08.01,-,brainlessmammal,urhandsomeahmed,0-1,2024.08.01,20:54:14,1345,1299,,,C00,French Defense: La Bourdonnais Variation,600+0,Normal,"1. e4 1... e6 2. f4 2... d5 3. d3 3... dxe4 4. dxe4 4... Qxd1 5.
Kxd1 5... Bb4 6. Nf3 6... Nc6 7. c3 7... Ba5 8. Be3 8... Bd7 9. Bb5 9... O-O-O 10. Bxc6 10... Bxc6 11. Kc2 11... Bxe4 12. Kc1 12... Nf6 13.
Bxa7 13... Bxf3 14. gxf3 14... Nd5 15. Rg1 15... Nxf4 16. Rxg7 16... Rhg8 17. Rxf7 17... Nd3 18. Kc2 18... Rg2 19. Nd2 19... Ne5 20. Rxh7 20... Rdxd2 21. Kb3 21... Rxb2 22. Ka4 22... Rxa2 23. Kb3 23... Rxa1",1. 0:10:00 1... 0:10:00 2. 0:09:53 2... 0:09:54 3. 0:09:42 3... 0:09:50 4. 0:09:39 4... 0:09:50 5. 0:09:37 5... 0:09:45 6. 0:09:32 6... 0:09:42 7. 0:09:30 7... 0:09:37 8. 0:09:26 8... 0:09:30 9. 0:09:17 9... 0:09:27 10. 0:09:13 10... 0:09:25 11. 0:09:11 11... 0:09:24 12. 0:09:04 12... 0:09:19 13. 0:09:02 13... 0:09:03 14. 0:08:58 14... 0:08:07 15. 0:08:46 15... 0:07:33 16. 0:08:41 16... 0:07:19 17. 0:08:31 17... 0:07:12 18. 0:08:27 18... 0:07:10 19. 0:08:23 19... 0:07:02 20. 0:08:08 20... 0:06:58 21. 0:08:02 21... 0:06:48 22. 0:07:55 22... 0:06:39 23. 0:07:50 23... 0:06:18
Rated Rapid game,https://lichess.org/Qn8q10ru,2024.08.01,-,inprogres,rod_1976,1-0,2024.08.01,20:54:14,1520,1427,,,B20,Sicilian Defense,600+0,Time forfeit,"1. e4 1... c5 2. e5 2... Nc6 3. Nf3 3... Qc7 4. d3 4... Nxe5 5. Bf4 5... d6 6. Nxe5 6...
dxe5 7. Bg3 7... Nf6 8. Nc3 8... a6 9. Be2 9... e6 10. O-O 10... Bd6 11. Ne4 11... Nxe4 12.
dxe4 12... O-O 13. h4 13... b5 14. c4 14... b4 15. b3 15... Bb7 16.
Qd3 16... Rad8 17. Qf3 17... Qe7 18. h5 18... h6 19. Qg4 19... f6 20.
f4 20... exf4 21. Bxf4 21... Bxf4 22. Rxf4 22... e5 23. Rf5 23... Rd4 24.
Bf3 24... Bc8 25. Rf1 25... Bxf5 26. Qxf5 26... Rd2 27. Ra1 27... Qd7 28.
Qg6 28... Qf7 29. a3 29... Qxg6 30. hxg6 30... a5 31. axb4 31... axb4 32. Ra5 32... Rc8 33. Ra1 33... Rb2 34. Bd1 34... Rd8 35. Bf3 35... Rxb3 36. Ra5 36... Rc8 37.
Rb5 37... Rd3 38. Be2 38... Re3 39. Kf2 39... Rc3 40. Rb7 40... Rc2 41.
Ke3 41... b3 42. Rxb3 42... Rd8 43. Rb5 43... Rc3 44. Kf2 44... Rd2 45.
Rxc5 45... Rcd3 46. Rc8",1. 0:10:00 1... 0:10:00 2. 0:09:58 2... 0:09:51 3. 0:09:55 3... 0:09:46 4. 0:09:37 4... 0:09:41 5. 0:09:35 5... 0:09:24 6. 0:09:11 6... 0:09:20 7. 0:09:09 7... 0:09:04 8. 0:08:47 8... 0:08:39 9. 0:08:20 9... 0:08:28 10. 0:08:13 10... 0:08:18 11. 0:07:47 11... 0:08:01 12. 0:07:44 12... 0:07:41 13. 0:06:59 13... 0:07:20 14. 0:06:50 14... 0:07:07 15. 0:06:44 15... 0:07:04 16. 0:05:50 16... 0:06:48 17. 0:05:47 17... 0:06:19 18. 0:05:36 18... 0:06:09 19. 0:05:25 19... 0:04:25 20. 0:04:39 20... 0:04:17 21. 0:04:37 21... 0:04:09 22. 0:04:35 22... 0:03:48 23. 0:04:18 23... 0:03:10 24. 0:03:43 24... 0:02:58 25. 0:03:09 25... 0:02:50 26. 0:03:07 26... 0:02:06 27. 0:03:04 27... 0:01:35 28. 0:02:46 28... 0:01:30 29. 0:02:38 29... 0:01:19 30. 0:02:36 30... 0:01:07 31. 0:02:28 31... 0:01:05 32. 0:02:12 32... 0:01:03 33. 0:01:45 33... 0:00:57 34. 0:01:43 34... 0:00:47 35. 0:01:39 35... 0:00:39 36. 0:01:36 36... 0:00:38 37. 0:01:32 37... 0:00:35 38. 0:01:28 38... 0:00:32 39. 0:01:27 39... 0:00:27 40. 0:01:17 40... 0:00:26 41. 0:01:13 41... 0:00:22 42. 0:01:09 42... 0:00:19 43. 0:01:03 43... 0:00:17 44. 0:01:01 44... 0:00:13 45. 0:00:56 45... 0:00:08 46. 0:00:54
Rated Rapid game,https://lichess.org/Ygt5BZZo,2024.08.01,-,jpvivanco,AVM_ren,1-0,2024.08.01,20:54:14,1881,1867,,,C70,"Ruy Lopez: Morphy Defense, Caro Variation",600+0,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bb5 3... a6 4. Ba4 4... b5 5. Bb3 5... Bb7 6. c3 6...
Bc5 7. O-O 7... d6 8.
d4 8... exd4 9. cxd4 9... Bb6 10. Bg5 10... f6 11. Bxg8 11... Rxg8 12. Be3 12... Qd7 13. d5 13... Ne5 14. Bxb6 14... cxb6 15. Nxe5 15... fxe5 16. Qc2 16... Rc8 17.
Qe2 17... Rc4 18. Nd2 18... Rc2 19. Rab1 19... Ke7 20. Qe3 20... Rgc8 21.
Qg5 21... Kf7 22. Nf3 22... h6 23. Qh5 23... Kg8 24. Nh4 24... R8c4 25.
Qg6 25... Bc8 26. Nf5 26... Rxe4 27. Nxh6 27... Kh8 28. Qxe4 28... Rc4 29.
Qf5 29... Qxf5 30. Nxf5 30... Bxf5 31. Rbc1 31... Rd4 32. Rfd1 32... Rxd1 33. Rxd1 33... Kg8 34.
a3 34... a5 35. f3 35... Kf7 36. g4 36... Bc2 37. Rd2 37... Bb3 38.
h4 38... a4 39. Kf2 39... Kf6 40. Ke3 40... g6 41. f4 41... Bc4 42.
Ke4 42... Ba2 43. fxe5 43... dxe5 44. d6 44... Bb1",1. 0:10:00 1... 0:10:00 2. 0:09:57 2... 0:09:59 3. 0:09:54 3... 0:09:57 4. 0:09:50 4... 0:09:56 5. 0:09:48 5... 0:09:55 6. 0:09:38 6... 0:09:53 7. 0:09:29 7... 0:09:48 8. 0:09:17 8... 0:09:46 9. 0:09:15 9... 0:09:45 10. 0:08:55 10... 0:09:41 11. 0:08:51 11... 0:09:31 12. 0:08:47 12... 0:09:27 13. 0:08:40 13... 0:09:25 14. 0:08:32 14... 0:09:25 15. 0:08:30 15... 0:09:19 16. 0:07:57 16... 0:09:16 17. 0:07:48 17... 0:08:42 18. 0:07:43 18... 0:08:35 19. 0:07:17 19... 0:08:26 20. 0:07:11 20... 0:08:15 21. 0:07:09 21... 0:08:13 22. 0:07:02 22... 0:08:10 23. 0:06:59 23... 0:08:09 24. 0:06:51 24... 0:07:54 25. 0:06:30 25... 0:06:15 26. 0:06:19 26... 0:05:35 27. 0:06:11 27... 0:05:28 28. 0:06:01 28... 0:05:19 29. 0:05:38 29... 0:04:56 30. 0:05:34 30... 0:04:55 31. 0:05:31 31... 0:04:50 32. 0:05:29 32... 0:04:30 33. 0:05:27 33... 0:04:28 34. 0:05:20 34... 0:04:19 35. 0:05:16 35... 0:04:03 36. 0:05:12 36... 0:03:41 37. 0:05:10 37... 0:03:38 38. 0:05:07 38... 0:03:28 39. 0:05:02 39... 0:03:22 40. 0:04:58 40... 0:03:13 41. 0:04:54 41... 0:03:01 42. 0:04:39 42... 0:02:30 43. 0:04:36 43... 0:02:21 44. 0:04:32 44... 0:02:06
Rated Rapid game,https://lichess.org/286Xt0Lx,2024.08.01,-,vladimir2288,Domenicogaburri,1-0,2024.08.01,20:54:14,745,760,,,C23,Bishop's Opening,600+0,Normal,"1. e4 1... e5 2. Bc4 2... Nc6 3. Qf3 3... f6 4. d4 4... Nxd4 5. Qd3 5... Bc5 6. Be3 6...
d6 7. c3 7... Bd7 8.
cxd4 8... exd4 9. Bxd4 9... Bb4 10. Nc3 10... Ne7 11. a3 11... Ba5 12.
b4 12... d5 13. exd5 13... Nxd5 14. Nxd5 14... Be6 15. bxa5 15... Bxd5 16. Bb5 16... c6 17. Bb6 17... Qe7 18. Ne2 18... cxb5 19. Qxd5 19... b4 20. axb4 20... Qxb4 21. Kf1 21... axb6 22. a6 22... bxa6 23. Qxa8 23... Kf7 24. Qxh8",1. 0:10:00 1... 0:10:00 2. 0:09:42 2... 0:09:49 3. 0:09:35 3... 0:09:23 4. 0:08:21 4... 0:09:18 5. 0:08:13 5... 0:09:06 6. 0:08:04 6... 0:08:46 7. 0:07:43 7... 0:08:19 8. 0:07:41 8... 0:08:16 9. 0:07:39 9... 0:07:45 10. 0:07:33 10... 0:07:33 11. 0:07:31 11... 0:07:26 12. 0:07:28 12... 0:07:01 13. 0:07:23 13... 0:06:57 14. 0:07:06 14... 0:06:36 15. 0:06:52 15... 0:06:33 16. 0:06:45 16... 0:06:22 17. 0:06:30 17... 0:06:06 18. 0:05:46 18... 0:05:57 19. 0:05:28 19... 0:05:44 20. 0:04:49 20... 0:05:39 21. 0:04:38 21... 0:05:26 22. 0:04:32 22... 0:05:20 23. 0:04:21 23... 0:05:13 24. 0:04:15
Rated Rapid game,https://lichess.org/2RmjnXmI,2024.08.01,-,elterry,ardakrzll,0-1,2024.08.01,20:54:14,974,959,,,B01,Scandinavian Defense,600+0,Normal,"1. e4 1... d5 2. f3 2... d4 3. d3 3... Nc6 4. Ne2 4... e5 5. c3 5... Bc5 6. Bd2 6... Nge7 7. h3 7... O-O 8. cxd4 8... exd4 9. Nf4 9...
f5 10. a3 10... g6 11.
b4 11... Bd6 12. b5 12... Bxf4 13. Bxf4 13... a6 14. bxc6 14... Nxc6 15. Qd2 15... b5 16. Bg5 16... Qd7 17. g4 17...
a5 18. gxf5 18... gxf5 19. Bh6 19... Rf6 20. Bg5 20... Rg6 21. Bh6 21... Bb7 22. f4 22... b4 23. Bg5 23... Qg7 24.
exf5 24... Ne7 25. fxg6 25... Bxh1 26. Bxe7 26... Qxe7 27. Qe2 27... Re8 28. Qxe7 28... Rxe7 29. Be2 29... Bf3 30. Kf2 30... Bxe2 31. Nd2 31... Bxd3 32. Re1 32... Rxe1 33. Kxe1 33... bxa3 34. Kd1 34... a2 35. Nb3 35... a4 36. gxh7 36... Kxh7 37. Na1 37... c5 38. Kd2 38... c4 39.
Kc1 39... c3 40. f5 40... Bxf5 41. h4 41... d3 42. Kd1 42... c2 43.
Kd2 43... Kg6 44. Ke3 44... c1=Q",1. 0:10:00 1... 0:10:00 2. 0:09:52 2... 0:09:54 3. 0:09:51 3... 0:09:51 4. 0:09:50 4... 0:09:49 5. 0:09:49 5... 0:09:45 6. 0:09:28 6... 0:09:29 7. 0:09:13 7... 0:09:23 8. 0:09:03 8... 0:09:18 9. 0:08:40 9... 0:09:03 10. 0:08:12 10... 0:08:49 11. 0:08:07 11... 0:08:41 12. 0:07:47 12... 0:08:25 13. 0:07:44 13... 0:07:56 14. 0:07:33 14... 0:07:50 15. 0:07:22 15... 0:07:41 16. 0:07:07 16... 0:07:30 17. 0:06:47 17... 0:07:22 18. 0:06:41 18... 0:07:16 19. 0:06:32 19... 0:07:11 20. 0:06:24 20... 0:07:01 21. 0:06:23 21... 0:06:47 22. 0:06:05 22... 0:06:37 23. 0:05:59 23... 0:06:12 24. 0:05:34 24... 0:05:49 25. 0:05:22 25... 0:05:49 26. 0:05:21 26... 0:05:43 27. 0:05:14 27... 0:05:32 28. 0:05:04 28... 0:05:31 29. 0:05:03 29... 0:05:27 30. 0:04:54 30... 0:05:22 31. 0:04:46 31... 0:05:17 32. 0:04:40 32... 0:05:12 33. 0:04:38 33... 0:05:09 34. 0:04:33 34... 0:05:06 35. 0:04:29 35... 0:05:00 36. 0:04:21 36... 0:04:58 37. 0:04:13 37... 0:04:46 38. 0:04:11 38... 0:04:43 39. 0:04:02 39... 0:04:33 40. 0:03:53 40... 0:04:28 41. 0:03:51 41... 0:04:22 42. 0:03:51 42... 0:04:20 43. 0:03:50 43... 0:04:16 44. 0:03:34 44... 0:04:10
Rated Rapid game,https://lichess.org/Rk0sqFsM,2024.08.01,-,GinAi,LELO1972,1-0,2024.08.01,20:54:14,1528,1536,,,D00,Queen's Pawn Game,600+0,Normal,"1. d4 1... d5 2. e3 2... Nf6 3. Nd2 3... g6 4. f4 4... Bg7 5. Bd3 5... O-O 6. e4 6...
dxe4 7. Nxe4 7... Qxd4 8. Nxf6 8... Qxf6 9. Nf3 9... Bg4 10. O-O 10...
Rd8 11. Qe1 11... c5 12. Ne5 12... Bf5 13. Bc4 13... e6 14. Qe2 14...
Nc6 15. g4 15... Nxe5 16. fxe5 16... Qh4 17. gxf5 17... Qg4 18. Kh1 18... exf5 19. Rg1 19... Qxe2 20. Bxe2 20... Bxe5 21. c3 21... Rd6 22. Bh6 22... Rad8 23. Rad1 23... Rxd1 24. Bxd1 24... Bg7 25. Bxg7 25... Kxg7 26. Re1 26... Rd2 27. b4 27... cxb4 28. cxb4 28... Rxa2 29. Bf3 29... a6 30. Bxb7 30... a5 31.
b5 31... Rb2 32. Bc6 32... a4 33. Ra1 33... Rb4 34. Kg2 34... g5 35.
Bd7 35... f4 36. Kf3 36... h6 37. h3 37... Rb3 38. Kg4 38... a3 39.
b6 39... Rxb6 40. Rxa3 40... Rd6 41. Bf5 41... Rb6 42. Rf3 42... Rb5 43.
Be4 43... Kf6 44. h4 44... Ke6 45. h5 45... f5 46. Bxf5 46... Rxf5 47. Rf1 47... Kf6 48. Rf3 48... Rb5 49. Rd3 49... Rb1 50. Rf3 50... Rg1",1. 0:10:00 1... 0:10:00 2. 0:09:57 2... 0:09:58 3. 0:09:52 3... 0:09:56 4. 0:09:47 4... 0:09:53 5. 0:09:42 5... 0:09:51 6. 0:09:36 6... 0:09:44 7. 0:09:32 7... 0:09:39 8. 0:09:20 8... 0:09:22 9. 0:09:15 9... 0:09:17 10. 0:09:09 10... 0:08:55 11. 0:08:33 11... 0:08:33 12. 0:08:21 12... 0:08:02 13. 0:08:02 13... 0:07:20 14. 0:06:54 14... 0:06:31 15. 0:06:50 15... 0:06:19 16. 0:06:39 16... 0:05:38 17. 0:06:28 17... 0:05:05 18. 0:06:12 18... 0:04:48 19. 0:05:42 19... 0:04:16 20. 0:05:35 20... 0:04:10 21. 0:05:29 21... 0:03:42 22. 0:05:26 22... 0:03:35 23. 0:05:21 23... 0:03:24 24. 0:05:18 24... 0:03:22 25. 0:05:14 25... 0:03:20 26. 0:05:10 26... 0:03:15 27. 0:04:48 27... 0:03:09 28. 0:04:47 28... 0:03:06 29. 0:04:25 29... 0:03:00 30. 0:04:22 30... 0:02:48 31. 0:04:17 31... 0:02:46 32. 0:04:15 32... 0:02:43 33. 0:04:13 33... 0:02:39 34. 0:04:09 34... 0:02:30 35. 0:03:57 35... 0:02:23 36. 0:03:52 36... 0:02:09 37. 0:03:42 37... 0:01:59 38. 0:03:37 38... 0:01:53 39. 0:03:28 39... 0:01:48 40. 0:03:27 40... 0:01:45 41. 0:03:23 41... 0:01:32 42. 0:03:15 42... 0:01:25 43. 0:03:09 43... 0:01:17 44. 0:03:00 44... 0:01:06 45. 0:02:51 45... 0:01:01 46. 0:02:32 46... 0:00:57 47. 0:02:26 47... 0:00:52 48. 0:02:18 48... 0:00:47 49. 0:02:11 49... 0:00:41 50. 0:02:02 50... 0:00:23
Rated Rapid game,https://lichess.org/key7j3HZ,2024.08.01,-,Memersy_2020,Devolviendoteles,0-1,2024.08.01,20:54:14,1983,1852,,,A06,Zukertort Opening: Tennison Gambit,600+0,Normal,"1. e4 1... d5 2. Nf3 2... dxe4 3. Ne5 3... Bf5 4. d3 4... exd3 5. Nc3 5... dxc2 6. Qxd8 6... Kxd8 7. Nxf7 7... Ke8 8. Nxh8 8... Nc6 9.
Bc4 9... Nh6 10. Bxh6 10... gxh6 11. Nf7 11... e6 12. Nb5 12... Kxf7 13.
O-O 13... Ne5 14. Bb3 14... c6 15. Nd4 15... Bd3 16. Rfe1 16... c5 17.
Nxc2 17... c4 18. Rxe5 18... cxb3 19. Nd4 19... Bg7 20. Re3 20... Bc4 21.
axb3 21... Bxd4 22. Rf3 22... Ke7 23. bxc4 23... Bxb2 24. Rb1 24... Bd4 25. Rxb7 25... Kd6 26. Rxh7 26... a5 27. Rxh6 27... a4 28. Rd3 28...
Kc5 29. Rh5 29... Kxc4 30. Ra3 30... Bb2 31.
Rh4 31... Kb5 32. Re3 32... a3 33. Rb3 33... Kc5 34. Rh7 34... a2 35.
Rc7 35... Kd6 36. Rc1 36... Bxc1 37. g3 37... a1=Q 38. Rd3 38... Ke7 39.
Kg2 39... Rf8 40. Rb3 40... Qa8 41. Kf1 41... Qh1 42. Ke2 42... Qxh2 43.
Rc3 43... Qxf2",1. 0:10:00 1... 0:10:00 2. 0:09:57 2... 0:09:55 3. 0:09:55 3... 0:09:27 4. 0:09:49 4... 0:09:24 5. 0:09:44 5... 0:09:20 6. 0:09:42 6... 0:09:17 7. 0:09:42 7... 0:09:11 8. 0:09:42 8... 0:09:08 9. 0:09:40 9... 0:09:04 10. 0:09:37 10... 0:09:03 11. 0:09:35 11... 0:08:57 12. 0:09:02 12... 0:08:52 13. 0:08:58 13... 0:08:40 14. 0:08:53 14... 0:08:33 15. 0:08:49 15... 0:08:30 16. 0:08:47 16... 0:08:11 17. 0:08:44 17... 0:07:59 18. 0:08:43 18... 0:07:57 19. 0:08:35 19... 0:07:54 20. 0:08:28 20... 0:06:48 21. 0:08:15 21... 0:06:39 22. 0:08:14 22... 0:06:31 23. 0:08:14 23... 0:06:29 24. 0:08:14 24... 0:06:06 25. 0:08:12 25... 0:06:03 26. 0:08:01 26... 0:06:01 27. 0:07:59 27... 0:05:59 28. 0:07:57 28... 0:05:56 29. 0:07:55 29... 0:05:54 30. 0:07:52 30... 0:05:43 31. 0:07:50 31... 0:05:33 32. 0:07:36 32... 0:05:29 33. 0:07:35 33... 0:05:17 34. 0:07:21 34... 0:04:47 35. 0:07:18 35... 0:04:45 36. 0:07:08 36... 0:04:43 37. 0:07:04 37... 0:04:40 38. 0:07:02 38... 0:04:39 39. 0:07:00 39... 0:04:30 40. 0:06:48 40... 0:04:27 41. 0:06:43 41... 0:04:22 42. 0:06:42 42... 0:04:16 43. 0:06:34 43... 0:04:13
Rated Rapid game,https://lichess.org/mfl2mwf6,2024.08.01,-,Endurance613,Jamesmitnik,0-1,2024.08.01,20:54:14,2275,2329,,,D30,Queen's Gambit Declined,600+0,Normal,"1. d4 1... d5 2. c4 2... e6 3. cxd5 3... exd5 4. Qa4 4... c6 5. Qd1 5...
Nf6 6. f3 6...
Bd6 7. g3 7... c5 8. e3 8... cxd4 9. exd4 9... O-O 10.
Bf4 10... Bxf4 11. gxf4 11... Nh5 12. Ne2 12... Qh4 13. Kd2 13... Re8 14. Nbc3 14... Nxf4 15. Nxf4 15... Qxf4 16. Kc2 16... Bf5 17. Kb3 17...
Nc6 18. Nxd5 18... Nxd4 19. Ka3 19... Qd6 20. b4 20... Qxd5 21. Qb3 21... Nxb3",1. 0:10:00 0. 0:10:00 1... 0:09:58 0. 0:09:55 2. 0:09:54 0. 0:09:50 2... 0:09:50 0. 0:09:43 3. 0:09:42 0. 0:09:37 3... 0:09:39 0. 0:09:32 4. 0:09:36 0. 0:09:28 4... 0:09:34 0. 0:09:22 5. 0:09:31 0. 0:09:17 5... 0:09:24 0. 0:09:10 6. 0:09:22 0. 0:09:06 6... 0:09:05 0. 0:09:01 7. 0:09:00 1. 0:08:55 7... 0:08:55 1. 0:08:50 8. 0:08:47 1. 0:08:45 8... 0:08:40 1. 0:08:40 9. 0:08:36 1. 0:08:36 9... 0:08:33 1. 0:08:31 10. 0:08:22 3. 0:08:26 10... 0:08:19 3. 0:08:21 11. 0:08:08 3. 0:08:15
Rated Rapid game,https://lichess.org/Q2zDFaON,2024.08.01,-,Andrew_X,bbbblunder,0-1,2024.08.01,20:54:14,1833,1792,,,B01,Scandinavian Defense: Valencian Variation,600+0,Normal,"1. e4 1... d5 2. exd5 2... Qxd5 3. Nc3 3... Qd8 4. Bb5 4... c6 5. Bc4 5... Nf6 6. d3 6... h6 7. Qf3 7... Bg4 8. Qg3 8... e6 9. Ne4 9...
Nxe4 10. Qxg4 10... Nf6 11. Qh4 11... Be7 12.
Bg5 12... Qa5 13. Bd2 13... Qe5 14. Ne2 14... Nd5 15. Qg4 15... Qxb2 16.
O-O 16... Qxc2 17. Qxg7 17... Rf8 18. Rfd1 18... Bf6 19. Qxh6 19... Bxa1 20. Rxa1 20... Nd7 21.
Bxd5 21... cxd5 22. Bb4 22... Rg8 23. Re1 23... Qxd3 24. Nf4 24... Qf5 25. Qh4 25... Nf6 26.
Bc3 26... Ne4 27. Bb4 27... Nf6 28. h3 28... Rc8 29. Nh5 29... Rg6 30.
Ng7 30... Rxg7 31. Qh8 31... Rg8",1. 0:10:00 1... 0:10:00 2. 0:09:59 2... 0:10:00 3. 0:09:58 3... 0:09:59 4. 0:09:52 4... 0:09:57 5. 0:09:49 5... 0:09:53 6. 0:09:41 6... 0:09:50 7. 0:09:36 7... 0:09:45 8. 0:09:19 8... 0:09:37 9. 0:09:11 9... 0:09:29 10. 0:09:03 10... 0:09:23 11. 0:08:57 11... 0:09:17 12. 0:08:52 12... 0:09:03 13. 0:08:49 13... 0:08:59 14. 0:08:39 14... 0:08:44 15. 0:08:33 15... 0:08:40 16. 0:08:10 16... 0:08:39 17. 0:08:01 17... 0:08:23 18. 0:07:19 18... 0:08:19 19. 0:07:05 19... 0:08:15 20. 0:07:03 20... 0:08:07 21. 0:07:01 21... 0:08:01 22. 0:06:57 22... 0:07:51 23. 0:04:30 23... 0:07:41 24. 0:04:22 24... 0:07:07 25. 0:03:57 25... 0:06:46 26. 0:03:23 26... 0:06:33 27. 0:02:59 27... 0:06:24 28. 0:02:24 28... 0:06:17 29. 0:02:14 29... 0:05:31 30. 0:01:26 30... 0:05:24 31. 0:01:25 31... 0:05:21
