Player,Games,AvgElo,Wins,Losses,Draws
babyfork,202,1610.0,109,89,4
shalapayuliy,165,1894.4,74,84,7
KAInov,152,2015.7,59,93,0
CactusCream,142,2139.7,61,71,10
jmanette411,141,1040.0,62,75,4
MehdiTayebi1352,134,1868.7,63,62,9
Anonimous1820,132,1851.1,59,70,3
EN2MA,130,1696.4,62,66,2
Francesco0903,124,1533.6,54,70,0
abja40,123,1757.4,63,59,1
deden17,122,1972.2,66,53,3
FZ140305,121,2293.6,41,73,7
jocality,120,1492.2,62,58,0
learnerbudhhi,118,1678.3,55,53,10
CatDevURandom,116,1484.6,51,61,4
yurisepp,115,1838.6,49,62,4
Pantoni,112,1485.4,51,58,3
Alexey_Rus,112,1510.6,51,52,9
Elwero7,112,1529.4,49,61,2
Blauregen,111,2308.0,55,51,5
lossydt,111,1641.4,55,51,5
Antonmcs,109,1513.1,44,58,7
Saeed_tz,109,2124.1,53,50,6
conweezy,108,1450.3,51,55,2
hotrabbit1978,108,1697.0,56,48,4
timurbek,107,2067.5,62,36,9
juguernaut,106,2062.5,46,57,3
Hamad86,106,1665.4,51,55,0
amrit06,103,1381.5,45,55,3
krishradio,101,1567.8,41,57,3
RAA74,100,1847.6,50,47,3
Hpsk,99,1866.2,44,54,1
Cheesy_Matucki,99,1193.1,38,58,3
elbeham,95,1581.7,41,52,2
JoeljesusValencia,94,1107.5,39,50,5
Pjotre1,94,1657.4,45,47,2
FrankyFigs,94,997.8,46,45,3
Derikvand_1999,93,1460.2,44,47,2
AprendiendoAperturas,92,2266.6,43,36,13
Andy_Efremov,92,1669.4,43,46,3
BulletBeni123,92,1965.2,44,42,6
Kinggambit59,92,1702.0,48,41,3
moonreign,91,1833.8,41,48,2
lhmolia,91,1276.5,57,32,2
domes0,90,1682.4,42,48,0
Nena_99,90,1923.1,34,55,1
EikeW95,90,1332.2,45,39,6
Nikolay_Car,89,1900.2,38,48,3
Hendriyono,89,1881.9,43,42,4
OsiGe,88,1822.3,34,45,9
laskmat,87,1852.7,43,41,3
tututu12,86,1790.3,45,36,5
Der_Patzer,86,1931.6,43,40,3
supersmurf999,86,2147.8,45,35,6
LarryLeeJr,86,1794.7,36,49,1
Poerba76,86,1899.1,35,46,5
gambi_shah,86,2285.6,46,30,10
afre1000,85,1686.9,50,33,2
Loks71,84,2163.5,39,37,8
brausefrosch,84,1889.4,41,40,3
kudaliarrinjani,84,2027.3,37,45,2
cimnono,84,1688.7,37,45,2
erer13,84,1629.4,40,41,3
lkosubek,83,1367.3,43,35,5
poiani3527,83,1885.9,35,46,2
ronron247,83,1483.1,44,38,1
dipeshrajput07,83,1620.3,36,47,0
JespushingKe12,83,1615.7,42,38,3
vbar,82,2011.0,32,45,5
chessbhargav,81,1250.2,41,37,3
carthagianwarrior,81,1846.6,32,47,2
draco041372,81,1834.4,39,39,3
Aa1886,81,1767.5,46,34,1
edbalagot,81,1761.0,34,43,4
EasyLanoff,81,1235.9,40,39,2
capogali,80,2086.4,39,33,8
mimokatana,80,1549.5,35,41,4
hesham_Ahmed99,80,2275.9,34,38,8
minermo,80,2283.3,43,30,7
CIENCIANOPAPA,80,2165.2,36,39,5
faiekg,79,1793.9,43,34,2
AtlantisSpringer,79,1700.8,43,34,2
isolated_pawn_7,79,1734.9,32,42,5
danilovbiysk,79,1954.7,40,36,3
DarkCob2,78,1831.1,39,37,2
wachauerlaberl,78,2473.2,40,27,11
Hermanni85,78,2193.3,35,32,11
alexflorus33,77,1622.8,38,36,3
rendykwang,77,1990.2,39,35,3
Bison4711,77,2026.5,37,38,2
velavan,77,1749.9,38,37,2
BestWhiteWineIsRed,76,2380.0,36,30,10
NIWDE1531,76,1979.5,36,39,1
GambitoCat,76,1830.6,44,28,4
shah_nach,76,1931.8,40,33,3
piedrasanta,76,2011.5,37,34,5
vasiliev_s-291976,75,1306.4,43,30,2
madcosbad,75,2013.3,35,36,4
gregorello,75,1777.1,40,33,2
eltvillekuhn,75,2086.8,27,39,9
sbhaythem,74,1636.7,39,31,4
Dervyn,74,2171.1,31,39,4
Ababile,74,1349.7,36,37,1
hanysayed,74,2351.8,39,28,7
Amem2154583,74,1672.7,37,32,5
Nemastah,74,989.9,26,44,4
dors,74,2274.3,33,39,2
groslundi,74,1993.2,37,36,1
popors,73,1191.1,36,34,3
tioemo2,73,2422.2,22,44,7
Blackbird65,73,2327.9,34,32,7
amarmohanty,73,1540.8,37,31,5
Dallson-Werner,73,1200.9,40,31,2
Bonsaimaster42,73,1400.9,33,32,8
jhonxrocknroll,73,1797.3,31,41,1
raouf76,73,1668.9,25,40,8
Magnolia69,73,1702.7,37,36,0
enayet1974,72,1427.8,29,42,1
fmgbera,72,2375.3,40,28,4
Marinelloo,72,2145.4,38,32,2
Elang29,72,1911.1,33,37,2
RAMZI-1-2024,72,1748.5,38,33,1
amresh81,71,1607.5,31,38,2
Michi3KF,71,1687.6,25,44,2
Blindman727,71,1848.2,36,34,1
Elfenpopo,71,1358.5,36,31,4
NidhalStruggle,71,1341.9,27,42,2
PramodKumar1100,71,2238.7,35,31,5
MANDIRGMA,71,1758.6,30,37,4
freakhead,71,1679.5,32,38,1
yaestoyborracho,71,2227.4,34,34,3
mohamedchess2023,71,1590.8,37,33,1
adnooo61,71,2092.6,34,33,4
M2O,70,2106.9,35,32,3
mohammed_fadil78,70,1919.9,35,33,2
JohnBestBlunder,70,1607.0,29,38,3
ankitbansal1,70,1942.0,32,33,5
Abdushakuur,69,1294.8,17,50,2
ruben_96,69,1680.9,25,42,2
Moh098,69,2023.9,30,35,4
gatolandia,69,1632.3,38,28,3
arashmm,69,1960.9,31,35,3
alexgromBOI,68,1865.4,25,33,10
HnD_SCBA,68,1854.7,30,37,1
Benngukunamale,68,2178.9,41,25,2
Munevarmvz,68,1841.3,39,27,2
ur_worst_kn1ghtmares,68,2159.1,29,37,2
ludwitty,68,1696.7,35,33,0
alamchess,68,1557.0,38,26,4
lopezt007,68,1750.1,35,29,4
myalin5049,68,1870.1,39,27,2
robert274,68,1307.1,31,32,5
PANGLIMASAGO_1812,67,1375.9,33,30,4
kvabit,67,1491.6,35,30,2
SAM7981,67,1932.0,31,34,2
Joelkings,67,1872.0,36,29,2
EBBLKU,67,1909.9,31,31,5
elbasrouisama,67,1811.2,31,34,2
De_Bever,67,1768.4,27,37,3
diarra_chess,67,1680.0,27,38,2
MiranovicRajko,67,2566.3,43,19,5
malilan,67,1837.7,32,32,3
sajjadghavami,66,1137.7,34,29,3
kilikidikoy,66,2279.2,32,29,5
Aquatico7,66,2165.3,29,28,9
noogaru,66,1006.3,28,37,1
Aabi,66,2203.7,22,39,5
elisglez,66,1790.6,29,35,2
kaiosparov,65,2201.6,29,31,5
Mr-Xai,65,1996.5,36,27,2
ABS-BMV-77a-53e,65,1909.5,33,30,2
Cisha0326,65,1429.8,35,28,2
shijina_ahmed,65,1274.4,33,31,1
Nikolay88888888,65,1352.9,33,29,3
Mr_my6,65,1526.8,22,41,2
sashamn,65,1470.6,33,31,1
Boygwaps,64,1899.1,33,24,7
vking2,64,1879.6,33,28,3
Ramumbi,64,2102.4,32,28,4
abhichess05,64,1581.7,30,30,4
nitinitsmyself,64,2001.3,39,22,3
Zap92,64,1574.1,27,35,2
jimsky_03,64,1881.8,24,33,7
hdsutnga,64,1716.2,30,33,1
nordsign,64,1774.1,22,40,2
amrj7389,64,1675.5,30,29,5
Felmoreda,64,2192.8,28,34,2
waveboarder,64,1244.6,28,34,2
WilhelmMeister,64,1892.4,27,34,3
shefner,63,1542.1,32,27,4
DocJayS,63,1157.1,31,30,2
gladiatormario,63,2015.6,29,26,8
Forkspins,63,1552.2,34,26,3
neopoldo,63,1923.6,33,27,3
qwess8,63,2188.7,30,29,4
gmxequemate,63,1876.9,33,28,2
quartz_112,63,1646.6,33,28,2
Al_Doctor_3000,63,2164.7,37,24,2
MoistyChessHair,63,1744.4,32,29,2
Tipary,63,1995.1,32,24,7
spirossss,63,2158.9,31,31,1
Onajor,63,2151.0,31,31,1
Keyra_la_unica,63,1956.1,27,33,3
brifry,63,1841.6,26,32,5
Enginksyk,62,1763.4,27,33,2
Philidor_Roraima,62,1837.1,34,27,1
kybot,62,2192.9,26,20,16
CHERN10,62,1840.7,27,28,7
fajardo69,62,1601.4,27,31,4
jafarimani,62,1638.0,28,32,2
Moindjie,62,2085.6,31,30,1
BocaNegraCaptain,62,1462.7,29,29,4
NO_FEELING,62,1625.1,34,27,1
Lakito1998,62,1658.3,28,32,2
vynese,62,1548.0,33,28,1
BlankCoyote,62,1941.0,34,26,2
alaltru,62,1736.7,31,30,1
MankenOsman,61,1316.8,28,26,7
balans777,61,2030.1,33,24,4
Ben_44,61,1761.5,26,32,3
Daniel-Ortega,61,2425.1,26,29,6
psychosanta,61,1608.8,30,31,0
AbdouOrabi,61,2055.6,29,25,7
jehafi6658,61,1685.5,32,26,3
BORSIGUEMICHAELC,61,1795.4,29,32,0
MJargalsain,61,1890.1,27,31,3
olbapodeclas,61,2089.4,26,30,5
DEHO,61,2351.7,30,24,7
vaksin,61,1898.6,32,25,4
ferrada_mario,61,1379.0,36,23,2
AeroImp,60,1466.3,28,30,2
DSS4,60,2090.9,28,28,4
Pratiknath10,60,890.5,30,27,3
Dekret,60,1982.5,28,30,2
Schachpeter,60,2019.3,36,23,1
anaksunamon,60,1726.2,22,34,4
asrazil,60,1149.8,29,28,3
ow-don,60,1652.5,26,33,1
alice_cascherina,60,1923.6,36,22,2
NovakovAndrew,60,1262.2,24,34,2
Raul67,60,2186.9,34,24,2
kareemeldoc,60,1704.2,37,21,2
Faruk87,59,2139.6,25,28,6
newrules2023,59,2267.4,29,27,3
KingDeathGR,59,2104.3,34,22,3
Defenderus,59,1456.1,36,22,1
L-younes,59,2084.5,28,28,3
Ismilasar1396,59,1611.8,41,17,1
Kozhanov_sergey65,59,1664.1,26,32,1
midnid,59,2224.2,29,24,6
MR_Bradman,59,1740.4,28,29,2
ahmadsamou123,59,1956.6,31,25,3
ehsanmotaki30,59,1534.5,28,30,1
auroral2,59,1721.6,31,26,2
fauveard,59,2110.5,34,21,4
mohsen_farouk,59,1134.0,28,30,1
Noroozi7686,58,1839.0,27,30,1
arno111,58,2455.2,30,20,8
czechbenoni,58,2388.4,22,32,4
BernieM,58,1826.8,26,32,0
luisferlie,58,1984.9,30,23,5
INPERATOREBT,58,1555.0,26,31,1
Alex120999,58,2158.3,28,28,2
egvmes,58,1979.1,25,28,5
SKKHans,58,2121.1,23,29,6
CominoSanJose,58,1947.5,24,32,2
martinhamel,58,1653.4,33,23,2
Fussell,58,1879.9,23,28,7
velrob,58,1820.0,24,31,3
Jarcker,58,2071.5,27,29,2
PavelAlojzov,58,1421.9,27,27,4
rickytobing,58,1827.3,21,33,4
Ifyouwereasheep,58,1216.7,32,24,2
MoezioNunes,58,1812.3,36,20,2
adelsanhoty,58,1372.0,28,27,3
deerosh,58,1040.1,28,27,3
JAHANDIDEHKOODEHI133,58,1683.3,29,29,0
marcovare,58,1169.3,32,25,1
Val6,57,1983.9,32,23,2
Dalahast,57,1940.4,21,30,6
Danaco,57,1442.6,26,31,0
PushaKap1,57,1082.4,24,31,2
cguezzy,57,1686.6,36,20,1
servusbayern,57,1434.4,25,32,0
yashek,57,1702.9,29,26,2
tianaja,57,1694.8,33,24,0
Avetiq,57,1365.4,42,15,0
Am_250355,57,1805.9,26,28,3
cuba0102,57,1774.2,30,23,4
white_horse_82,57,1321.2,30,26,1
Anatolyzaraysk,57,1548.7,33,23,1
lliilllliill,57,2218.5,22,31,4
izmirli350,57,1096.3,28,23,6
tradeforexnow,57,2054.6,21,28,8
KOSTAS1971,57,1595.4,26,23,8
nightraven2011,57,1770.9,25,30,2
MALIK-SABIR,57,2113.4,27,29,1
yousefd,57,2022.2,24,29,4
dr13511351dr,56,1859.1,31,22,3
RenatoSantos64,56,1105.3,24,31,1
nosniv29,56,1462.1,34,21,1
StarwaX,56,1603.7,26,29,1
starwax,56,1602.7,23,32,1
Crusher1981,56,1929.6,29,25,2
Igor_Peshkov,56,2112.9,30,24,2
Ceresian,56,1786.4,32,23,1
easivertsen,56,1863.5,27,27,2
Qemal1946,56,1522.1,30,26,0
kagocel,56,2146.9,22,29,5
MacGT,56,1899.3,33,21,2
ABDERRAZAKTANGER2,56,1664.6,24,31,1
YesYesPee,56,1633.0,30,23,3
Falcon6182,56,2225.1,25,30,1
manriquez3333,56,1989.7,23,29,4
BernardPetit,56,2211.6,25,29,2
Milton90,56,2105.2,26,27,3
patea40,55,1817.3,31,23,1
vroomies,55,1375.1,35,19,1
DeadHalt,55,1635.9,25,28,2
LUDIKA,55,2036.0,33,18,4
jayjaybr,55,1227.4,26,26,3
AlitaBatlle,55,2344.0,29,20,6
trrrasss,55,1902.5,28,24,3
Rilke34,55,1843.5,32,21,2
bijoy_rs,55,1471.5,31,24,0
Luapemil,55,1758.8,28,23,4
val6,55,1982.2,25,29,1
papperlapappappap,55,814.4,31,22,2
CocoZohan,55,1629.8,42,13,0
moppel1966,55,2318.1,29,20,6
oldboy59,55,1411.3,23,28,4
BobRag8,55,1629.1,23,29,3
asghar68,55,1813.4,25,28,2
RunAfterU,55,1877.9,24,28,3
Andrew67141,55,1454.2,22,31,2
hiboudiurne,55,1657.6,23,30,2
young_people,55,2464.3,25,22,8
javier15v,55,1821.5,21,33,1
goran5rovic,54,1833.4,23,29,2
DannPtrss,54,1493.1,27,25,2
DDestroyerrr,54,1169.7,29,25,0
jayg077,54,1646.1,25,22,7
RaulRealMadrid,54,1363.7,26,25,3
L60,54,1671.6,25,29,0
kiyai72,54,1208.1,29,22,3
gstavro,54,2118.6,20,34,0
mvm55,54,1916.9,30,22,2
Ameblasen,54,1364.1,29,25,0
medoelgendy,54,2010.2,26,25,3
EMK_chess64,54,2362.8,23,28,3
AndriyDymov,54,1382.6,27,27,0
edwiniski,54,2072.6,26,24,4
dimas_z,54,1782.8,24,27,3
Anko59,54,1320.9,28,25,1
Muzaffar_Knight,54,1887.6,28,23,3
inu_mate,54,1509.1,30,22,2
Ikigay28,54,1696.1,23,28,3
Boza84,54,2283.5,26,20,8
bvsd,54,1370.4,28,23,3
Lexer22,54,2106.4,28,23,3
sinyomakalew,54,1872.3,31,22,1
theepan_au,54,1948.7,31,22,1
Leily3399,54,1485.2,25,29,0
TheEloist,54,2485.4,29,22,3
ritschie,53,1735.4,30,23,0
schlafus_longus,53,1211.8,19,34,0
Diegoboina,53,1565.5,30,21,2
Capablanca982,53,2137.9,25,23,5
Meki1963BH,53,2018.1,26,19,8
hocinemam,53,1643.5,30,22,1
servenda,53,2075.3,26,24,3
AAashraf,53,1482.1,29,16,8
AncreNoire111,53,1767.6,20,29,4
AMRO85,53,1672.8,25,27,1
tagatabok,53,1465.9,26,26,1
Cowaboonga,53,1102.8,28,24,1
Funny_Bones,53,1988.6,26,25,2
PJWik,53,1374.5,28,24,1
Zembla2018,53,1433.3,23,25,5
Gordeev_Anton,53,1868.5,22,25,6
hk59,53,1412.1,26,24,3
MoLi60,53,2019.6,26,24,3
prasad17,53,1802.0,28,25,0
Mohammedkamel6987,53,1694.5,25,26,2
malorita1239,53,2286.4,15,32,6
riro1234,53,1435.8,21,30,2
Hop_Czar,53,1427.2,27,24,2
maniksarkarthe2nd,52,2015.4,27,23,2
leo123454321,52,1885.5,23,28,1
soleimanrashidbeglo,52,1829.8,23,24,5
axeljacob,52,1350.1,24,27,1
Al-Lalan,52,1949.0,22,29,1
drzip,52,1471.4,25,24,3
yoki1925,52,1969.5,26,21,5
camel9535,52,1540.7,23,26,3
belinjau,52,1938.8,26,22,4
Dober14,52,1721.4,30,19,3
RubinsteinZR,52,2395.4,29,13,10
Pp_mzdy,52,2127.8,22,24,6
Mekumach,52,1663.7,32,20,0
RH3379,52,1866.6,23,26,3
seventh_rank,52,1563.6,20,31,1
aldan-13,52,1628.8,27,24,1
utsav11tiwari,52,1602.9,13,37,2
AndronSh,52,1717.2,25,24,3
AlaskaITchess,52,1267.6,26,25,1
Albert-Kary,52,1640.8,28,23,1
Naser-7777,52,1832.5,26,24,2
Edgarius_8,52,1547.0,25,25,2
nietski,51,1875.1,28,21,2
Dhafer_mayahy,51,2033.8,26,22,3
vzarudniy,51,1983.1,23,28,0
timton,51,1865.5,21,29,1
Idaannn,51,1235.3,23,24,4
Flaris1952,51,2003.4,20,30,1
Caladb0lg,51,1530.1,21,30,0
IPolishchuk,51,2232.1,19,30,2
Krabiz,51,1617.8,25,23,3
MOESK,51,1417.7,30,19,2
DiegoMolinaP,51,1530.0,23,27,1
thehikingbadger,51,1322.3,27,23,1
Igorstepanovvvv,51,1824.3,18,27,6
Eduard643,51,2079.0,22,27,2
AlexRQM009,51,2350.7,23,21,7
tigre01,51,1580.3,24,26,1
tristefou53,51,1625.5,23,27,1
BankKing,51,2245.0,26,23,2
Dialog12,51,2443.0,23,25,3
angelcua,51,2039.1,22,26,3
alfross12,51,1730.0,29,20,2
Grinskeks1,51,1446.0,26,22,3
sergei77777777,51,1497.9,29,21,1
Kapal_perang,51,2195.9,23,28,0
moxse,51,1874.2,27,22,2
Josetorov,51,1468.0,19,30,2
seekerman,51,1750.8,25,24,2
sysadm81,51,1674.4,27,23,1
Firdovsi66,51,1684.3,27,22,2
mohamedkamel212,51,1343.4,26,25,0
Gonzaloluna,51,1469.1,28,23,0
arashbordbar,51,1679.0,27,22,2
Fudhailul_barri84,50,2342.4,31,18,1
shnou,50,1663.5,24,25,1
Meysam322,50,1695.2,19,29,2
biravahetzy,50,1969.5,21,28,1
dmkz7,50,1298.0,28,20,2
ethancr7,50,1526.6,23,24,3
rocky_rock,50,1593.7,21,28,1
Sashab1,50,2007.2,27,22,1
kashur_gur,50,1014.3,27,23,0
radekmuhlfeit,50,1966.3,22,22,6
Pabce,50,1667.2,23,23,4
omid1973,50,1866.2,22,28,0
Badaboom3373,50,1134.0,24,26,0
georgistrashimirov,50,1844.2,17,30,3
lichtj,50,1470.7,25,25,0
nopawnleft,50,1582.7,21,25,4
Anufriev_Vasiliy,50,2308.1,25,22,3
Pipo54,50,2053.8,19,26,5
pixel2464,50,1551.2,23,24,3
bronstein21,50,1732.3,26,23,1
kuppuka,50,1924.1,21,25,4
njk369,50,1708.4,23,26,1
Jomaalga,50,1122.3,26,20,4
ramadhan677,50,1968.5,21,27,2
kvuick,50,1329.7,22,27,1
infants,50,1854.2,18,30,2
kolbaska_dubova,50,1937.0,24,21,5
uacbira1,50,1880.6,24,25,1
srg_peper,49,1494.8,23,24,2
Mike_s7,49,1632.4,23,24,2
gergashyi,49,1920.2,20,28,1
haso2022,49,2471.1,24,21,4
taff10,49,1158.3,27,19,3
andromeda011,49,1824.9,24,19,6
buellboy,49,1622.3,22,27,0
sorokavorona,49,1338.2,24,22,3
paaaaa11,49,1198.0,23,24,2
ferdolarca,49,1507.1,29,18,2
D4nn1,49,1842.0,24,24,1
nwo19988,49,1964.3,21,24,4
lyam1,49,1468.3,26,23,0
lev18,49,1623.2,27,18,4
kobeinchess,49,1720.7,28,20,1
KettaniNawfal2020,49,1638.3,22,25,2
raz2209,49,1881.4,23,23,3
lisbonsijabat,49,1255.0,20,27,2
z1950i,49,1958.6,17,28,4
wilhelmmeister,49,1892.7,20,27,2
AGE_II_AGE,49,1584.3,20,28,1
byhongsuna,49,1619.6,24,21,4
no_way_dude,49,1694.0,26,21,2
endurance-man,49,1821.7,28,21,0
Esmailelsheikh,49,1882.2,26,23,0
vladz8,49,1487.7,27,20,2
ThomasHertzberger,49,1596.6,23,25,1
jaxdowns,49,1524.1,24,24,1
cwang,49,1266.6,19,30,0
orabichess,48,2093.2,23,23,2
BroccoliJuice,48,1596.7,27,20,1
RustemMuhametshin,48,1842.1,21,23,4
Brilliant_king7,48,1327.5,24,22,2
azulcolapsa,48,2155.7,25,21,2
MalenkyChervyiak997,48,1688.4,20,27,1
sej56,48,1264.2,25,20,3
Megazoid12,48,1872.1,20,24,4
kNOwWAYOUT,48,2421.9,24,22,2
wujekzestanow,48,1751.8,24,20,4
pmalley,48,1570.2,26,19,3
ol-newbie,48,1274.2,27,21,0
razriad,48,1924.0,20,25,3
S_SoekirmanPTDI,48,1992.7,16,31,1
KancerDiamond,48,1272.5,16,29,3
bunny1921,48,1978.3,25,22,1
KonstantinKuortti,48,1933.4,24,21,3
horacio-cadu,48,1961.8,28,16,4
Geisson311,48,1679.0,20,28,0
magician-ivan,48,1571.8,23,24,1
howiroll,48,1879.4,19,28,1
wildcard18,48,1450.6,22,25,1
Sebasqh,48,1374.2,25,23,0
jimy_umali,48,2085.0,28,19,1
valera69,48,1323.5,24,20,4
KnightsAreMyWeakness,48,1343.4,23,24,1
providez,48,2101.6,21,27,0
detomaso65,48,1148.7,22,25,1
aVague,48,1768.1,17,27,4
avb007,48,1535.6,25,21,2
serag70,48,1931.5,29,17,2
Al-20,48,2225.0,26,19,3
freddybaer,47,2329.0,24,18,5
radiata13,47,1509.7,21,24,2
aboalinajjar,47,1605.3,22,20,5
CarstenWerner,47,1907.3,22,23,2
kevvvvvvv,47,1572.7,19,25,3
hihinjo,47,1826.4,22,20,5
MattEagle_s,47,1522.5,19,23,5
DiegoHgo,47,1670.9,22,25,0
Ducadod,47,1402.6,24,21,2
mattllvw,47,1731.8,23,21,3
Pali365,47,1383.2,19,28,0
SachystaKuba,47,2083.9,22,20,5
spillemand,47,1599.8,17,28,2
EconRocks,47,1918.5,18,28,1
Indiakings,47,1682.4,23,23,1
Hossam0055,47,1180.7,23,22,2
alquimista51,47,1778.4,19,25,3
Schachspieler11111,47,2198.8,17,25,5
Petrsgarri,47,2208.7,29,15,3
fareselzamn,47,1857.9,22,22,3
krissigma,47,1653.2,20,27,0
FR33Z1NG,47,1447.7,25,21,1
SokoZ,47,2184.3,20,23,4
BBGHH86,47,1463.6,17,28,2
Dohaugen,47,1357.9,23,23,1
sandrokiller,47,1069.5,22,23,2
LucasLaurentiis,47,857.1,22,25,0
Anxur1,47,1951.4,21,25,1
GennadiyTarasov_46,47,1325.1,23,24,0
Feli_Jan,47,1456.5,21,23,3
Alexandr262626,47,2476.3,18,19,10
ariec6,47,1648.5,19,26,2
vbitymrf,47,1223.4,25,21,1
Othman_123,47,2119.1,27,16,4
vladrev,47,2277.6,17,26,4
GryZdz,47,1448.7,23,24,0
robche,46,2202.9,27,18,1
flow2204,46,1622.9,26,20,0
LUISFERNANDOB,46,2197.1,17,26,3
E_M_H,46,1679.2,23,20,3
Commius,46,2283.3,25,15,6
CARLOSTornquist,46,1948.3,22,24,0
Eswardeep,46,1202.2,24,21,1
sidarya,46,1554.5,23,21,2
DenisSkryabin,46,1798.8,20,22,4
amitsharmanse,46,1595.0,18,27,1
Iconpusher,46,2013.0,18,24,4
kvikiniks,46,1863.3,23,22,1
Paya_97,46,1783.0,24,22,0
moshin4786,46,1378.3,22,22,2
vada242,46,1080.0,8,37,1
Zlatkoz26,46,1939.7,19,26,1
purplesis,46,1883.3,29,16,1
KnightHunt,46,2036.8,24,22,0
Ahmed-abdelsattar,46,2447.4,23,17,6
jsiam60,46,2140.4,19,20,7
LoiuseMichel,46,2427.0,23,21,2
ABhisheK2112,46,1664.1,22,22,2
glurthy,46,1742.7,22,21,3
Endika79,46,2132.8,22,22,2
namikmm,46,1994.7,22,22,2
lebedzeu,46,1820.9,22,24,0
mafer_12345678,46,1733.0,19,24,3
AleksFortune,46,964.5,17,29,0
KarolyHonfi,46,2585.0,27,14,5
nhatlol123,46,1357.8,23,23,0
heribertoleal,45,1437.4,15,28,2
Luz8,45,1440.5,25,19,1
M_HASSAN97,45,1598.2,24,19,2
yamil830428,45,1636.0,23,20,2
clearEye,45,2327.4,24,20,1
Potemkin16,45,1573.7,27,18,0
VahidalltimE,45,1985.6,20,23,2
Twigger,45,1647.4,25,19,1
zeinabgamal1234,45,1553.5,17,26,2
karnan000,45,1420.5,23,22,0
niranjannidhi,45,1480.4,21,24,0
mati1992,45,1540.6,23,21,1
kraken2112,45,1527.4,24,17,4
Karlus_Charless,45,1431.7,21,21,3
AfanasievAA,45,1829.2,24,19,2
Kazoozee,45,1300.3,15,24,6
Kapitan_Ulitka,45,1677.2,23,22,0
Luvrules,45,1936.4,25,18,2
bobidgo70,45,1763.6,20,23,2
elmarjani,45,1431.1,22,22,1
Napoleon26,45,1835.9,22,20,3
Jaschalomaeus,45,1922.5,27,15,3
AlexdelaCruz,45,1580.9,22,21,2
rickynkarnax,45,2153.0,14,27,4
ghorbani-vaghei,45,1816.9,21,23,1
ramocop,45,2209.8,23,20,2
barbarbar94,45,1837.9,29,16,0
mike0512,45,1907.8,23,20,2
c_h_a_z_1018,45,1891.8,20,21,4
ratnik2057,45,1350.3,22,22,1
Marrak8,45,1562.8,22,22,1
Nabij21,45,2005.9,25,18,2
Sherlocked7,45,1635.3,24,18,3
ck54,45,1370.5,22,22,1
yasser_b3aj,44,1261.7,19,22,3
Albucid,44,2174.7,17,23,4
greekfoot,44,1469.5,24,17,3
GMjorge13,44,1929.5,16,24,4
Pablooo456,44,1415.8,26,15,3
ultra_chess_maniac,44,2040.2,26,13,5
Blindbutcher,44,1575.5,15,26,3
falconeone,44,1723.6,24,18,2
Pinox03,44,1880.3,27,15,2
sarayakob,44,1988.8,22,20,2
bidercio,44,973.4,22,19,3
ageresss,44,1279.2,21,21,2
mova56777,44,1017.2,23,20,1
El_Distinto,44,1767.5,24,19,1
Brijendra_Patel007,44,2006.2,22,21,1
Nikhil_k9,44,1269.5,18,25,1
Planter1144,44,1551.0,26,16,2
BNP64,44,1754.3,27,16,1
masterleo81,44,1948.9,22,22,0
andreszapico7,44,1776.1,25,16,3
abcalfa,44,1699.9,19,22,3
mcorelo,44,2114.7,17,26,1
Cyprianophobic78,44,2188.6,27,14,3
kon5-pedal5,44,1824.5,16,27,1
AntoniuxBlock,44,1931.7,21,20,3
iwanploso,44,1877.1,20,21,3
santa_klaus777,44,1807.4,22,21,1
Cornifex,44,1963.3,20,22,2
LaCasa-Cortes,44,928.7,22,21,1
stokes18,44,1658.0,23,21,0
sanosi2023,44,1738.7,23,21,0
amulyak,44,1366.2,26,17,1
Jmb123,44,1301.5,24,19,1
Antoniorubert,44,1527.5,21,22,1
LuisRC21,44,2060.7,21,20,3
ruderdog,44,1460.5,15,26,3
pajk013,44,1473.0,23,21,0
HansHotel,44,1868.9,20,23,1
LyhuynhnhatanhDTH,44,1623.8,17,23,4
Giuseppe1954,44,1885.7,14,27,3
undercover1983,44,1935.4,23,17,4
rscdo,44,1588.6,24,17,3
zembla2018,44,1431.1,18,23,3
king_staunton,44,1997.5,18,24,2
Greetos,44,1562.8,16,26,2
chhandamarengsi,44,1791.4,24,19,1
keleont,44,981.4,21,21,2
tatlifen,44,939.2,17,26,1
Aslan1900,44,1789.7,21,23,0
hoppalong2,43,1353.2,19,22,2
Enigme520,43,1159.1,17,24,2
zloidv,43,1936.2,19,21,3
PeterKoza1133,43,1802.7,19,23,1
SaavedraCOL,43,1855.6,12,29,2
knIgHtMarz,43,1149.4,24,18,1
Rooney-goal,43,2098.1,14,20,9
faka45rus,43,1924.7,17,24,2
KAPITAN0810,43,2015.7,19,19,5
NuniMF,43,2190.8,19,23,1
Nikolay-penzev,43,1202.9,27,14,2
Salvavergara,43,1902.0,18,25,0
sumardi_mardi,43,1821.0,18,20,5
RandyAndy64,43,2073.2,25,18,0
tuofeek,43,1303.6,22,20,1
tufao123,43,1675.7,20,23,0
freddykluger,43,1502.9,20,23,0
MrMoti,43,2141.7,14,28,1
Yuriy1953,43,1867.6,20,22,1
Zahakaido,43,1527.7,23,16,4
Ecki1,43,1725.8,24,15,4
Gentilimpalador,43,1623.6,22,20,1
MrGaona15,43,1070.3,22,19,2
Adn16031995,43,1635.4,22,18,3
